,5dacaea50cd3ff0016e3f493
Pond7Fish4_FishLatency,5.454545454545454
Pond7Fish4_CatchTime,0.88
Pond7Fish4_PondTime,32.45
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,473
Pond7Fish4_TimeLeft,701.311
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,6
Pond7Fish5_CatchTime,1.682
Pond7Fish5_PondTime,41.486
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,484
Pond7Fish5_TimeLeft,692.275
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,6.666666666666667
Pond7Fish6_CatchTime,0.609
Pond7Fish6_PondTime,51.351
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,495
Pond7Fish6_TimeLeft,682.41
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,7.5
Pond7Fish7_CatchTime,0.696
Pond7Fish7_PondTime,62.286
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,506
Pond7Fish7_TimeLeft,671.475
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,8.571428571428571
Pond7Fish8_CatchTime,1.532
Pond7Fish8_PondTime,74.651
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,517
Pond7Fish8_TimeLeft,659.11
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,10
Pond7Fish9_CatchTime,0.842
Pond7Fish9_PondTime,89.018
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,528
Pond7Fish9_TimeLeft,644.743
Type,N
FishN,15
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,12
Pond7Fish10_CatchTime,1.076
Pond7Fish10_PondTime,106.384
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,539
Pond7Fish10_TimeLeft,627.377
Type,N
FishN,15
Fish,11
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,15
Pond7Fish11_CatchTime,1.119
Pond7Fish11_PondTime,128.751
Pond7Fish11_PondOutcome,121
Pond7Fish11_TotalOutcome,550
Pond7Fish11_TimeLeft,605.01
PondEnd_LastFish,11
FishN,14
Type,N
GiveUpTime,28.608
PondTime,156.689
TimeLeft,576.569
PondOutcome,121
TotalOutcome,550
PondStart,PondStart
PondIntroTime,19.673211581539363
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,1.212
Pond9Fish1_PondTime,8.554
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,561
Pond9Fish1_TimeLeft,547.726
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4.285714285714286
