,5d1b2b80f18c6c00017deee4
Type,N
FishN,15
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,0.946
Pond9Fish8_PondTime,54.869
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,231
Pond9Fish8_TimeLeft,999.109
Type,N
FishN,15
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,1.423
Pond9Fish9_PondTime,63.252
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,242
Pond9Fish9_TimeLeft,990.726
Type,N
FishN,15
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,1.623
Pond9Fish10_PondTime,72.289
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,253
Pond9Fish10_TimeLeft,981.688
Type,N
FishN,15
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,1.173
Pond9Fish11_PondTime,82.168
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,264
Pond9Fish11_TimeLeft,971.81
Type,N
FishN,15
Fish,12
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,1.471
Pond9Fish12_PondTime,93.114
Pond9Fish12_PondOutcome,132
Pond9Fish12_TotalOutcome,275
Pond9Fish12_TimeLeft,960.864
Type,N
FishN,15
Fish,13
Pond9Fish13_FishType,green
Pond9Fish13_FishLatency,8.571428571428571
Pond9Fish13_CatchTime,1.542
Pond9Fish13_PondTime,105.501
Pond9Fish13_PondOutcome,143
Pond9Fish13_TotalOutcome,286
Pond9Fish13_TimeLeft,948.477
PondEnd_LastFish,13
FishN,19
Type,N
GiveUpTime,8.142
PondTime,113.39
TimeLeft,940.085
PondOutcome,143
TotalOutcome,286
PondStart,PondStart
PondIntroTime,19.063731834758073
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,1.145
Pond6Fish1_PondTime,8.577
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,297
Pond6Fish1_TimeLeft,911.826
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,1.415
Pond6Fish2_PondTime,15.558
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,308
Pond6Fish2_TimeLeft,904.845
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,4.615384615384615
Pond6Fish3_CatchTime,1.091
Pond6Fish3_PondTime,22.929
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,319
Pond6Fish3_TimeLeft,897.474
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,5
Pond6Fish4_CatchTime,1.933
Pond6Fish4_PondTime,31.002
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,330
Pond6Fish4_TimeLeft,889.401
PondEnd_LastFish,4
FishN,15
Type,N
GiveUpTime,0.733
PondTime,39.353
TimeLeft,880.546
PondOutcome,44
TotalOutcome,330
PondStart,PondStart
PondIntroTime,19.82472406467423
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,1.015
Pond1Fish1_PondTime,9.74
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,341
Pond1Fish1_TimeLeft,850.35
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,0.96
Pond1Fish2_PondTime,18.116
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,352
Pond1Fish2_TimeLeft,841.974
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,1.002
Pond1Fish3_PondTime,27.153
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,363
Pond1Fish3_TimeLeft,832.937
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,1.347
Pond1Fish4_PondTime,37.035
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,374
Pond1Fish4_TimeLeft,823.055
PondEnd_LastFish,4
FishN,12
Type,N
GiveUpTime,1.31
PondTime,37.89
TimeLeft,821.698
PondOutcome,44
TotalOutcome,374
PondStart,PondStart
PondIntroTime,16.61111871013418
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,1.439
Pond5Fish1_PondTime,9.738
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,385
Pond5Fish1_TimeLeft,794.72
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,1.099
Pond5Fish2_PondTime,18.111
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,396
Pond5Fish2_TimeLeft,786.347
Type,N
FishN,18
