,5cddb06d025b0b001ce92176
Pond3Fish10_TotalOutcome,440
Pond3Fish10_TimeLeft,786.614
Type,N
FishN,18
Fish,11
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,1.07
Pond3Fish11_PondTime,82.162
Pond3Fish11_PondOutcome,121
Pond3Fish11_TotalOutcome,451
Pond3Fish11_TimeLeft,776.745
Type,N
FishN,18
Fish,12
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,1.884
Pond3Fish12_PondTime,93.292
Pond3Fish12_PondOutcome,132
Pond3Fish12_TotalOutcome,462
Pond3Fish12_TimeLeft,765.614
Type,N
FishN,18
Fish,13
Pond3Fish13_FishType,green
Pond3Fish13_FishLatency,8.571428571428571
Pond3Fish13_CatchTime,1.362
Pond3Fish13_PondTime,105.655
Pond3Fish13_PondOutcome,143
Pond3Fish13_TotalOutcome,473
Pond3Fish13_TimeLeft,753.252
Type,N
FishN,18
Fish,14
Pond3Fish14_FishType,green
Pond3Fish14_FishLatency,10
Pond3Fish14_CatchTime,1.497
Pond3Fish14_PondTime,120.041
Pond3Fish14_PondOutcome,154
Pond3Fish14_TotalOutcome,484
Pond3Fish14_TimeLeft,738.866
Type,N
FishN,18
Fish,15
Pond3Fish15_FishType,green
Pond3Fish15_FishLatency,12
Pond3Fish15_CatchTime,1.502
Pond3Fish15_PondTime,137.403
Pond3Fish15_PondOutcome,165
Pond3Fish15_TotalOutcome,495
Pond3Fish15_TimeLeft,721.504
PondEnd_LastFish,15
FishN,19
Type,N
GiveUpTime,5.758
PondTime,142.873
TimeLeft,715.526
PondOutcome,165
TotalOutcome,495
PondStart,PondStart
PondIntroTime,14.884768484625965
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,1.171
Pond2Fish1_PondTime,8.283
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,506
Pond2Fish1_TimeLeft,691.727
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,1.517
Pond2Fish2_PondTime,14.938
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,517
Pond2Fish2_TimeLeft,685.072
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,1.235
Pond2Fish3_PondTime,21.916
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,528
Pond2Fish3_TimeLeft,678.094
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,1.653
Pond2Fish4_PondTime,29.273
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,539
Pond2Fish4_TimeLeft,670.737
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,1.269
Pond2Fish5_PondTime,37.095
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,550
Pond2Fish5_TimeLeft,662.915
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,1.384
Pond2Fish6_PondTime,45.463
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,561
Pond2Fish6_TimeLeft,654.547
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,1.061
Pond2Fish7_PondTime,54.488
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,572
Pond2Fish7_TimeLeft,645.522
Type,N
FishN,13
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,6.666666666666667
Pond2Fish8_CatchTime,1.322
Pond2Fish8_PondTime,64.363
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,583
Pond2Fish8_TimeLeft,635.647
Type,N
FishN,13
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,7.5
Pond2Fish9_CatchTime,1.135
Pond2Fish9_PondTime,75.312
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,594
Pond2Fish9_TimeLeft,624.698
Type,N
FishN,13
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,8.571428571428571
Pond2Fish10_CatchTime,0.984
Pond2Fish10_PondTime,87.676
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,605
Pond2Fish10_TimeLeft,612.333
Type,N
FishN,13
Fish,11
Pond2Fish11_FishType,green
Pond2Fish11_FishLatency,10
Pond2Fish11_CatchTime,1.161
Pond2Fish11_PondTime,102.045
Pond2Fish11_PondOutcome,121
Pond2Fish11_TotalOutcome,616
Pond2Fish11_TimeLeft,597.965
Type,N
FishN,13
Fish,12
Pond2Fish12_FishType,green
Pond2Fish12_FishLatency,12
Pond2Fish12_CatchTime,0.996
Pond2Fish12_PondTime,119.426
Pond2Fish12_PondOutcome,132
Pond2Fish12_TotalOutcome,627
Pond2Fish12_TimeLeft,580.584
Type,N
FishN,13
Fish,13
Pond2Fish13_FishType,green
Pond2Fish13_FishLatency,15
Pond2Fish13_CatchTime,1.009
Pond2Fish13_PondTime,141.793
Pond2Fish13_PondOutcome,143
Pond2Fish13_TotalOutcome,638
Pond2Fish13_TimeLeft,558.217
PondEnd_LastFish,13
FishN,16
Type,N
GiveUpTime,29.031
PondTime,170.045
TimeLeft,529.459
PondOutcome,143
TotalOutcome,638
