,Anto20
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,1.354
Pond5Fish3_PondTime,25.451
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,924
Pond5Fish3_TimeLeft,34.268
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,1.073
Pond5Fish4_PondTime,34.484
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,935
Pond5Fish4_TimeLeft,25.235
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,0.75
Pond5Fish5_PondTime,44.352
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,946
Pond5Fish5_TimeLeft,15.367
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,1.369
Pond5Fish6_PondTime,55.286
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,957
Pond5Fish6_TimeLeft,4.433
