,Anto20
Pond4Fish10_TimeLeft,768.367
Type,N
FishN,19
Fish,11
Pond4Fish11_FishType,green
Pond4Fish11_FishLatency,8.571428571428571
Pond4Fish11_CatchTime,1.216
Pond4Fish11_PondTime,93.835
Pond4Fish11_PondOutcome,110
Pond4Fish11_TotalOutcome,451
Pond4Fish11_TimeLeft,756.001
Type,N
FishN,19
Fish,12
Pond4Fish12_FishType,green
Pond4Fish12_FishLatency,10
Pond4Fish12_CatchTime,0.881
Pond4Fish12_PondTime,108.203
Pond4Fish12_PondOutcome,121
Pond4Fish12_TotalOutcome,462
Pond4Fish12_TimeLeft,741.634
Type,N
FishN,19
Fish,13
Pond4Fish13_FishType,green
Pond4Fish13_FishLatency,12
Pond4Fish13_CatchTime,1.355
Pond4Fish13_PondTime,125.568
Pond4Fish13_PondOutcome,132
Pond4Fish13_TotalOutcome,473
Pond4Fish13_TimeLeft,724.269
PondEnd_LastFish,13
FishN,17
Type,N
GiveUpTime,17.152
PondTime,142.285
TimeLeft,707.05
PondOutcome,132
TotalOutcome,473
PondStart,PondStart
PondIntroTime,14.942063039634377
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,1.633
Pond6Fish1_PondTime,8.883
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,484
Pond6Fish1_TimeLeft,682.603
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,-1
Pond6Fish2_PondTime,16.316
Pond6Fish2_PondOutcome,11
Pond6Fish2_TotalOutcome,484
Pond6Fish2_TimeLeft,675.17
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,5
Pond6Fish3_CatchTime,0.895
Pond6Fish3_PondTime,24.133
Pond6Fish3_PondOutcome,22
Pond6Fish3_TotalOutcome,495
Pond6Fish3_TimeLeft,667.353
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,0.784
Pond6Fish4_PondTime,32.502
Pond6Fish4_PondOutcome,33
Pond6Fish4_TotalOutcome,506
Pond6Fish4_TimeLeft,658.984
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,0.894
Pond6Fish5_PondTime,41.535
Pond6Fish5_PondOutcome,44
Pond6Fish5_TotalOutcome,517
Pond6Fish5_TimeLeft,649.951
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,0.955
Pond6Fish6_PondTime,51.401
Pond6Fish6_PondOutcome,55
Pond6Fish6_TotalOutcome,528
Pond6Fish6_TimeLeft,640.085
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,7.5
Pond6Fish7_CatchTime,1.222
Pond6Fish7_PondTime,62.333
Pond6Fish7_PondOutcome,66
Pond6Fish7_TotalOutcome,539
Pond6Fish7_TimeLeft,629.153
Type,N
FishN,18
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,8.571428571428571
Pond6Fish8_CatchTime,0.919
Pond6Fish8_PondTime,74.701
Pond6Fish8_PondOutcome,77
Pond6Fish8_TotalOutcome,550
Pond6Fish8_TimeLeft,616.785
Type,N
FishN,18
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,10
Pond6Fish9_CatchTime,0.818
Pond6Fish9_PondTime,89.068
Pond6Fish9_PondOutcome,88
Pond6Fish9_TotalOutcome,561
Pond6Fish9_TimeLeft,602.418
Type,N
FishN,18
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,12
Pond6Fish10_CatchTime,0.97
Pond6Fish10_PondTime,106.433
Pond6Fish10_PondOutcome,99
Pond6Fish10_TotalOutcome,572
Pond6Fish10_TimeLeft,585.053
Type,N
FishN,18
Fish,11
Pond6Fish11_FishType,green
Pond6Fish11_FishLatency,15
Pond6Fish11_CatchTime,1.307
Pond6Fish11_PondTime,128.8
Pond6Fish11_PondOutcome,110
Pond6Fish11_TotalOutcome,583
Pond6Fish11_TimeLeft,562.685
Type,N
FishN,18
Fish,12
Pond6Fish12_FishType,green
Pond6Fish12_FishLatency,20
Pond6Fish12_CatchTime,1.364
Pond6Fish12_PondTime,161.168
Pond6Fish12_PondOutcome,121
Pond6Fish12_TotalOutcome,594
Pond6Fish12_TimeLeft,530.318
PondEnd_LastFish,12
FishN,14
Type,N
GiveUpTime,39.266
PondTime,199.999
TimeLeft,490.986
PondOutcome,121
TotalOutcome,594
PondStart,PondStart
PondIntroTime,16.141254112590104
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,0.955
Pond8Fish1_PondTime,8.569
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,605
Pond8Fish1_TimeLeft,465.667
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,1.172
Pond8Fish2_PondTime,15.552
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,616
Pond8Fish2_TimeLeft,458.684
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,0.893
Pond8Fish3_PondTime,22.919
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,627
Pond8Fish3_TimeLeft,451.317
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,1.26
Pond8Fish4_PondTime,30.735
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,638
Pond8Fish4_TimeLeft,443.501
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,0.654
Pond8Fish5_PondTime,39.102
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,649
Pond8Fish5_TimeLeft,435.134
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,1.068
Pond8Fish6_PondTime,48.136
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,660
Pond8Fish6_TimeLeft,426.1
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,6.666666666666667
Pond8Fish7_CatchTime,1.074
Pond8Fish7_PondTime,58.002
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,671
Pond8Fish7_TimeLeft,416.233
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,7.5
Pond8Fish8_CatchTime,0.764
Pond8Fish8_PondTime,68.936
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,682
Pond8Fish8_TimeLeft,405.3
Type,N
FishN,15
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,8.571428571428571
Pond8Fish9_CatchTime,1.102
Pond8Fish9_PondTime,81.303
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,693
Pond8Fish9_TimeLeft,392.933
Type,N
FishN,15
Fish,10
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,10
Pond8Fish10_CatchTime,1.463
Pond8Fish10_PondTime,95.669
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,704
Pond8Fish10_TimeLeft,378.567
Type,N
FishN,15
Fish,11
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,12
Pond8Fish11_CatchTime,0.984
Pond8Fish11_PondTime,113.036
Pond8Fish11_PondOutcome,121
Pond8Fish11_TotalOutcome,715
Pond8Fish11_TimeLeft,361.2
Type,N
FishN,15
Fish,12
Pond8Fish12_FishType,green
Pond8Fish12_FishLatency,15
Pond8Fish12_CatchTime,1.153
Pond8Fish12_PondTime,135.401
Pond8Fish12_PondOutcome,132
Pond8Fish12_TotalOutcome,726
Pond8Fish12_TimeLeft,338.835
PondEnd_LastFish,12
FishN,15
Type,N
GiveUpTime,30.782
PondTime,165.549
TimeLeft,308.186
PondOutcome,132
TotalOutcome,726
PondStart,PondStart
PondIntroTime,16.560109667479992
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,1.296
Pond2Fish1_PondTime,7.801
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,737
Pond2Fish1_TimeLeft,283.201
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,0.795
Pond2Fish2_PondTime,13.918
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,748
Pond2Fish2_TimeLeft,277.083
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,1.004
Pond2Fish3_PondTime,20.286
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,759
Pond2Fish3_TimeLeft,270.716
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,4
Pond2Fish4_CatchTime,1.211
Pond2Fish4_PondTime,26.935
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,770
Pond2Fish4_TimeLeft,264.067
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,4.285714285714286
Pond2Fish5_CatchTime,0.843
Pond2Fish5_PondTime,33.918
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,781
Pond2Fish5_TimeLeft,257.084
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,4.615384615384615
Pond2Fish6_CatchTime,0.933
Pond2Fish6_PondTime,41.284
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,792
Pond2Fish6_TimeLeft,249.718
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,5
Pond2Fish7_CatchTime,0.876
Pond2Fish7_PondTime,49.101
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,803
Pond2Fish7_TimeLeft,241.901
Type,N
FishN,13
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,5.454545454545454
Pond2Fish8_CatchTime,0.781
Pond2Fish8_PondTime,57.468
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,814
Pond2Fish8_TimeLeft,233.534
Type,N
FishN,13
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,6
Pond2Fish9_CatchTime,1.068
Pond2Fish9_PondTime,66.503
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,825
Pond2Fish9_TimeLeft,224.499
Type,N
FishN,13
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,6.666666666666667
Pond2Fish10_CatchTime,0.889
Pond2Fish10_PondTime,76.367
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,836
Pond2Fish10_TimeLeft,214.635
Type,N
FishN,13
Fish,11
Pond2Fish11_FishType,green
Pond2Fish11_FishLatency,7.5
Pond2Fish11_CatchTime,0.981
Pond2Fish11_PondTime,87.302
Pond2Fish11_PondOutcome,121
Pond2Fish11_TotalOutcome,847
Pond2Fish11_TimeLeft,203.699
Type,N
FishN,13
Fish,12
Pond2Fish12_FishType,green
Pond2Fish12_FishLatency,8.571428571428571
Pond2Fish12_CatchTime,1.053
Pond2Fish12_PondTime,99.669
Pond2Fish12_PondOutcome,132
Pond2Fish12_TotalOutcome,858
Pond2Fish12_TimeLeft,191.333
Type,N
FishN,13
Fish,13
Pond2Fish13_FishType,green
Pond2Fish13_FishLatency,10
Pond2Fish13_CatchTime,1.326
Pond2Fish13_PondTime,114.035
Pond2Fish13_PondOutcome,143
Pond2Fish13_TotalOutcome,869
Pond2Fish13_TimeLeft,176.967
Type,N
FishN,13
Fish,14
Pond2Fish14_FishType,green
Pond2Fish14_FishLatency,12
Pond2Fish14_CatchTime,1.079
Pond2Fish14_PondTime,131.402
Pond2Fish14_PondOutcome,154
Pond2Fish14_TotalOutcome,880
Pond2Fish14_TimeLeft,159.6
Type,N
FishN,13
Fish,15
Pond2Fish15_FishType,green
Pond2Fish15_FishLatency,15
Pond2Fish15_CatchTime,-1
Pond2Fish15_PondTime,153.817
Pond2Fish15_PondOutcome,154
Pond2Fish15_TotalOutcome,880
Pond2Fish15_TimeLeft,137.185
Type,N
FishN,13
Fish,16
Pond2Fish16_FishType,green
Pond2Fish16_FishLatency,20
Pond2Fish16_CatchTime,1.024
Pond2Fish16_PondTime,186.186
Pond2Fish16_PondOutcome,165
Pond2Fish16_TotalOutcome,891
Pond2Fish16_TimeLeft,104.816
PondEnd_LastFish,16
FishN,18
Type,N
GiveUpTime,25.115
PondTime,210.531
TimeLeft,79.968
PondOutcome,165
TotalOutcome,891
PondStart,PondStart
PondIntroTime,19.62610346497968
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,0.913
Pond5Fish1_PondTime,9.269
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,902
Pond5Fish1_TimeLeft,50.45
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,0.921
Pond5Fish2_PondTime,17.086
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,913
Pond5Fish2_TimeLeft,42.633
Type,N
FishN,18
Fish,3
