,5dc2c8cc9be08f1e3be48352
Pond1Fish7_TotalOutcome,220
Pond1Fish7_TimeLeft,951.077
Type,N
FishN,16
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,12
Pond1Fish8_CatchTime,1.163
Pond1Fish8_PondTime,92.137
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,231
Pond1Fish8_TimeLeft,933.699
Type,N
FishN,16
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,15
Pond1Fish9_CatchTime,0.921
Pond1Fish9_PondTime,114.517
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,242
Pond1Fish9_TimeLeft,911.319
PondEnd_LastFish,9
FishN,12
Type,N
GiveUpTime,0.984
PondTime,114.621
TimeLeft,910.71
PondOutcome,99
TotalOutcome,242
PondStart,PondStart
PondIntroTime,17.213008219841868
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,1.183
Pond6Fish1_PondTime,9.725
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,253
Pond6Fish1_TimeLeft,883.151
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,0.903
Pond6Fish2_PondTime,18.115
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,264
Pond6Fish2_TimeLeft,874.761
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,1.281
Pond6Fish3_PondTime,27.153
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,275
Pond6Fish3_TimeLeft,865.723
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,0.878
Pond6Fish4_PondTime,37.028
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,286
Pond6Fish4_TimeLeft,855.848
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,1.045
Pond6Fish5_PondTime,47.977
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,297
Pond6Fish5_TimeLeft,844.899
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,8.571428571428571
Pond6Fish6_CatchTime,0.77
Pond6Fish6_PondTime,60.349
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,308
Pond6Fish6_TimeLeft,832.527
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,10
Pond6Fish7_CatchTime,1.142
Pond6Fish7_PondTime,74.718
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,319
Pond6Fish7_TimeLeft,818.158
PondEnd_LastFish,7
FishN,12
Type,N
GiveUpTime,0.52
PondTime,91.885
TimeLeft,800.481
PondOutcome,77
TotalOutcome,319
PondStart,PondStart
PondIntroTime,16.724381323438138
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,1.033
Pond3Fish1_PondTime,8.029
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,330
Pond3Fish1_TimeLeft,775.096
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.75
Pond3Fish2_CatchTime,0.877
Pond3Fish2_PondTime,14.386
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,341
Pond3Fish2_TimeLeft,768.739
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,4
Pond3Fish3_CatchTime,0.995
Pond3Fish3_PondTime,21.051
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,352
Pond3Fish3_TimeLeft,762.074
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4.285714285714286
Pond3Fish4_CatchTime,1.05
Pond3Fish4_PondTime,28.045
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,363
Pond3Fish4_TimeLeft,755.08
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4.615384615384615
Pond3Fish5_CatchTime,0.719
Pond3Fish5_PondTime,35.415
Pond3Fish5_PondOutcome,55
