,5b7e344a818ce60001ce18cf
Pond6Fish4_TimeLeft,928.13
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,0.889
Pond6Fish5_PondTime,34.077
Pond6Fish5_PondOutcome,44
Pond6Fish5_TotalOutcome,231
Pond6Fish5_TimeLeft,921.115
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,0.78
Pond6Fish6_PondTime,41.462
Pond6Fish6_PondOutcome,55
Pond6Fish6_TotalOutcome,242
Pond6Fish6_TimeLeft,913.73
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,0.888
Pond6Fish7_PondTime,49.298
Pond6Fish7_PondOutcome,66
Pond6Fish7_TotalOutcome,253
Pond6Fish7_TimeLeft,905.894
Type,N
FishN,18
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,5.454545454545454
Pond6Fish8_CatchTime,0.967
Pond6Fish8_PondTime,57.664
Pond6Fish8_PondOutcome,77
Pond6Fish8_TotalOutcome,264
Pond6Fish8_TimeLeft,897.528
Type,N
FishN,18
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,6
Pond6Fish9_CatchTime,0.802
Pond6Fish9_PondTime,66.69
Pond6Fish9_PondOutcome,88
Pond6Fish9_TotalOutcome,275
Pond6Fish9_TimeLeft,888.502
Type,N
FishN,18
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,6.666666666666667
Pond6Fish10_CatchTime,0.978
Pond6Fish10_PondTime,76.545
Pond6Fish10_PondOutcome,99
Pond6Fish10_TotalOutcome,286
Pond6Fish10_TimeLeft,878.647
Type,N
FishN,18
Fish,11
Pond6Fish11_FishType,green
Pond6Fish11_FishLatency,7.5
Pond6Fish11_CatchTime,-1
Pond6Fish11_PondTime,87.564
Pond6Fish11_PondOutcome,99
Pond6Fish11_TotalOutcome,286
Pond6Fish11_TimeLeft,867.628
Type,N
FishN,18
Fish,12
Pond6Fish12_FishType,green
