,5ccffd21b09ec90001f3f92e
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,6
Pond9Fish9_CatchTime,1.36
Pond9Fish9_PondTime,66.995
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,594
Pond9Fish9_TimeLeft,513.121
Type,N
FishN,15
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6.666666666666667
Pond9Fish10_CatchTime,1.317
Pond9Fish10_PondTime,76.949
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,605
Pond9Fish10_TimeLeft,503.166
Type,N
FishN,15
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,7.5
Pond9Fish11_CatchTime,1.473
Pond9Fish11_PondTime,87.922
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,616
Pond9Fish11_TimeLeft,492.194
Type,N
FishN,15
Fish,12
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,8.571428571428571
Pond9Fish12_CatchTime,1.391
Pond9Fish12_PondTime,100.305
Pond9Fish12_PondOutcome,132
Pond9Fish12_TotalOutcome,627
Pond9Fish12_TimeLeft,479.811
Type,N
FishN,15
Fish,13
Pond9Fish13_FishType,green
Pond9Fish13_FishLatency,10
Pond9Fish13_CatchTime,1.282
Pond9Fish13_PondTime,114.741
Pond9Fish13_PondOutcome,143
Pond9Fish13_TotalOutcome,638
Pond9Fish13_TimeLeft,465.375
Type,N
FishN,15
Fish,14
Pond9Fish14_FishType,green
Pond9Fish14_FishLatency,12
Pond9Fish14_CatchTime,1.359
Pond9Fish14_PondTime,132.164
Pond9Fish14_PondOutcome,154
Pond9Fish14_TotalOutcome,649
Pond9Fish14_TimeLeft,447.952
PondEnd_LastFish,14
FishN,18
Type,N
GiveUpTime,1.167
PondTime,132.871
TimeLeft,446.739
PondOutcome,154
TotalOutcome,649
PondStart,PondStart
PondIntroTime,17.037180899642408
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,1.299
Pond8Fish1_PondTime,8.288
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,660
Pond8Fish1_TimeLeft,420.785
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4
Pond8Fish2_CatchTime,1.563
Pond8Fish2_PondTime,15.001
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,671
Pond8Fish2_TimeLeft,414.072
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,4.285714285714286
Pond8Fish3_CatchTime,0.945
Pond8Fish3_PondTime,22.05
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,682
Pond8Fish3_TimeLeft,407.023
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4.615384615384615
Pond8Fish4_CatchTime,1.214
Pond8Fish4_PondTime,29.469
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,693
Pond8Fish4_TimeLeft,399.604
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,5
Pond8Fish5_CatchTime,1.089
Pond8Fish5_PondTime,37.338
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,704
Pond8Fish5_TimeLeft,391.735
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,5.454545454545454
Pond8Fish6_CatchTime,1.26
Pond8Fish6_PondTime,45.716
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,715
Pond8Fish6_TimeLeft,383.357
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,6
Pond8Fish7_CatchTime,1.204
Pond8Fish7_PondTime,54.809
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,726
Pond8Fish7_TimeLeft,374.264
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,6.666666666666667
Pond8Fish8_CatchTime,1.056
Pond8Fish8_PondTime,64.728
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,737
Pond8Fish8_TimeLeft,364.345
Type,N
FishN,15
Fish,9
Pond8Fish9_FishType,green
