,5dcee15fa6438002940762a7
Pond7Fish8_TotalOutcome,297
Pond7Fish8_TimeLeft,898.958
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,7.5
Pond7Fish9_CatchTime,0.976
Pond7Fish9_PondTime,75.283
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,308
Pond7Fish9_TimeLeft,888.024
Type,N
FishN,15
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,8.571428571428571
Pond7Fish10_CatchTime,0.978
Pond7Fish10_PondTime,87.649
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,319
Pond7Fish10_TimeLeft,875.658
Type,N
FishN,15
Fish,11
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,10
Pond7Fish11_CatchTime,0.931
Pond7Fish11_PondTime,102.016
Pond7Fish11_PondOutcome,121
Pond7Fish11_TotalOutcome,330
Pond7Fish11_TimeLeft,861.291
Type,N
FishN,15
Fish,12
Pond7Fish12_FishType,green
Pond7Fish12_FishLatency,12
Pond7Fish12_CatchTime,1.118
Pond7Fish12_PondTime,119.384
Pond7Fish12_PondOutcome,132
Pond7Fish12_TotalOutcome,341
Pond7Fish12_TimeLeft,843.923
PondEnd_LastFish,12
FishN,16
Type,N
GiveUpTime,0.835
PondTime,119.551
TimeLeft,843.249
PondOutcome,132
TotalOutcome,341
PondStart,PondStart
PondIntroTime,12.130012414418161
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,0.905
Pond5Fish1_PondTime,8.883
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,352
Pond5Fish1_TimeLeft,821.607
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.219
Pond5Fish2_PondTime,16.251
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,363
Pond5Fish2_TimeLeft,814.239
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,0.944
Pond5Fish3_PondTime,24.066
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,374
Pond5Fish3_TimeLeft,806.424
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.042
Pond5Fish4_PondTime,32.432
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,385
Pond5Fish4_TimeLeft,798.058
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,0.928
Pond5Fish5_PondTime,41.466
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,396
Pond5Fish5_TimeLeft,789.024
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.093
Pond5Fish6_PondTime,51.333
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,407
Pond5Fish6_TimeLeft,779.157
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,0.896
Pond5Fish7_PondTime,62.266
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,418
Pond5Fish7_TimeLeft,768.224
Type,N
FishN,18
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,0.907
Pond5Fish8_PondTime,74.633
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,429
Pond5Fish8_TimeLeft,755.857
Type,N
FishN,18
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,-1
Pond5Fish9_PondTime,89.065
Pond5Fish9_PondOutcome,88
Pond5Fish9_TotalOutcome,429
Pond5Fish9_TimeLeft,741.425
PondEnd_LastFish,9
FishN,14
Type,N
GiveUpTime,16.921
PondTime,90.669
TimeLeft,739.317
PondOutcome,88
TotalOutcome,429
PondStart,PondStart
PondIntroTime,14.587870431132615
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,4.615384615384615
Pond3Fish1_CatchTime,1.08
Pond3Fish1_PondTime,9.274
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,440
Pond3Fish1_TimeLeft,714.824
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,5
Pond3Fish2_CatchTime,0.696
Pond3Fish2_PondTime,17.091
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,451
Pond3Fish2_TimeLeft,707.007
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,5.454545454545454
Pond3Fish3_CatchTime,0.69
Pond3Fish3_PondTime,25.457
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,462
Pond3Fish3_TimeLeft,698.64
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,6
Pond3Fish4_CatchTime,1.17
Pond3Fish4_PondTime,34.49
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,473
Pond3Fish4_TimeLeft,689.608
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,6.666666666666667
Pond3Fish5_CatchTime,0.87
Pond3Fish5_PondTime,44.357
