,5c1add5a3b09a900014c74e5
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,902
Pond10Fish4_TimeLeft,213.159
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,2.013
Pond10Fish5_PondTime,48.427
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,913
Pond10Fish5_TimeLeft,202.144
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,1.206
Pond10Fish6_PondTime,60.792
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,924
Pond10Fish6_TimeLeft,189.779
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,1.605
Pond10Fish7_PondTime,75.161
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,935
Pond10Fish7_TimeLeft,175.41
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,12
Pond10Fish8_CatchTime,1.072
Pond10Fish8_PondTime,92.522
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,946
Pond10Fish8_TimeLeft,158.049
Type,N
FishN,17
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,15
Pond10Fish9_CatchTime,1.351
Pond10Fish9_PondTime,114.908
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,957
Pond10Fish9_TimeLeft,135.663
Type,N
FishN,17
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,20
Pond10Fish10_CatchTime,1.454
Pond10Fish10_PondTime,147.288
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,968
Pond10Fish10_TimeLeft,103.283
PondEnd_LastFish,10
FishN,12
Type,N
GiveUpTime,0.902
PondTime,147.853
TimeLeft,102.215
PondOutcome,110
TotalOutcome,968
PondStart,PondStart
PondIntroTime,14.219188131392002
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.469
Pond5Fish1_PondTime,8.897
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,979
Pond5Fish1_TimeLeft,78.47
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.242
Pond5Fish2_PondTime,16.255
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,990
Pond5Fish2_TimeLeft,71.111
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,-1
Pond5Fish3_PondTime,24.129
Pond5Fish3_PondOutcome,22
Pond5Fish3_TotalOutcome,990
Pond5Fish3_TimeLeft,63.238
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.024
Pond5Fish4_PondTime,32.513
Pond5Fish4_PondOutcome,33
Pond5Fish4_TotalOutcome,1001
Pond5Fish4_TimeLeft,54.854
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.059
Pond5Fish5_PondTime,41.56
Pond5Fish5_PondOutcome,44
Pond5Fish5_TotalOutcome,1012
Pond5Fish5_TimeLeft,45.806
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.093
Pond5Fish6_PondTime,51.445
Pond5Fish6_PondOutcome,55
Pond5Fish6_TotalOutcome,1023
Pond5Fish6_TimeLeft,35.922
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.368
Pond5Fish7_PondTime,62.378
Pond5Fish7_PondOutcome,66
Pond5Fish7_TotalOutcome,1034
Pond5Fish7_TimeLeft,24.989
Type,N
FishN,18
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.205
Pond5Fish8_PondTime,74.739
Pond5Fish8_PondOutcome,77
Pond5Fish8_TotalOutcome,1045
Pond5Fish8_TimeLeft,12.628
