,5c1add5a3b09a900014c74e5
TotalOutcome,308
PondStart,PondStart
PondIntroTime,17.12606079876423
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,1.678
Pond2Fish1_PondTime,8.917
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,319
Pond2Fish1_TimeLeft,881.417
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,4.615384615384615
Pond2Fish2_CatchTime,1.462
Pond2Fish2_PondTime,16.299
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,330
Pond2Fish2_TimeLeft,874.036
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5
Pond2Fish3_CatchTime,1.278
Pond2Fish3_PondTime,24.131
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,341
Pond2Fish3_TimeLeft,866.204
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,5.454545454545454
Pond2Fish4_CatchTime,0.972
Pond2Fish4_PondTime,32.515
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,352
Pond2Fish4_TimeLeft,857.82
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,6
Pond2Fish5_CatchTime,1.836
Pond2Fish5_PondTime,41.714
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,363
Pond2Fish5_TimeLeft,848.62
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,6.666666666666667
Pond2Fish6_CatchTime,1.478
Pond2Fish6_PondTime,51.596
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,374
Pond2Fish6_TimeLeft,838.739
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,7.5
Pond2Fish7_CatchTime,1.218
Pond2Fish7_PondTime,62.529
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,385
Pond2Fish7_TimeLeft,827.806
Type,N
FishN,13
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,8.571428571428571
Pond2Fish8_CatchTime,1.353
Pond2Fish8_PondTime,74.913
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,396
Pond2Fish8_TimeLeft,815.422
Type,N
FishN,13
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,10
Pond2Fish9_CatchTime,2.004
Pond2Fish9_PondTime,89.341
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,407
Pond2Fish9_TimeLeft,800.994
Type,N
FishN,13
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,12
Pond2Fish10_CatchTime,1.676
Pond2Fish10_PondTime,106.718
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,418
Pond2Fish10_TimeLeft,783.617
PondEnd_LastFish,10
FishN,14
Type,N
GiveUpTime,19.716
PondTime,126.305
TimeLeft,763.525
PondOutcome,110
TotalOutcome,418
PondStart,PondStart
PondIntroTime,12.46805477887392
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,1.089
Pond8Fish1_PondTime,7.815
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,429
