,5d0006ba9d9bd30001e1323c
TimeLeft,107.576
PondOutcome,121
TotalOutcome,913
PondStart,PondStart
PondIntroTime,14.532744723837823
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,1.398
Pond7Fish1_PondTime,8.94
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,924
Pond7Fish1_TimeLeft,83.494
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4.615384615384615
Pond7Fish2_CatchTime,1.585
Pond7Fish2_PondTime,16.332
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,935
Pond7Fish2_TimeLeft,76.102
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,5
Pond7Fish3_CatchTime,1.431
Pond7Fish3_PondTime,24.184
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,946
Pond7Fish3_TimeLeft,68.25
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,5.454545454545454
Pond7Fish4_CatchTime,1.458
Pond7Fish4_PondTime,32.555
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,957
Pond7Fish4_TimeLeft,59.878
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,6
Pond7Fish5_CatchTime,1.632
Pond7Fish5_PondTime,41.621
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,968
Pond7Fish5_TimeLeft,50.813
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,6.666666666666667
Pond7Fish6_CatchTime,1.639
Pond7Fish6_PondTime,51.526
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,979
Pond7Fish6_TimeLeft,40.908
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,7.5
Pond7Fish7_CatchTime,1.36
Pond7Fish7_PondTime,62.486
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,990
Pond7Fish7_TimeLeft,29.948
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,8.571428571428571
Pond7Fish8_CatchTime,1.615
Pond7Fish8_PondTime,74.876
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,1001
Pond7Fish8_TimeLeft,17.557
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,10
Pond7Fish9_CatchTime,1.439
Pond7Fish9_PondTime,89.246
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,1012
Pond7Fish9_TimeLeft,3.188
