,5c6eddd631a6c600011029ba
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,451
Pond8Fish5_TimeLeft,677.212
PondEnd_LastFish,5
FishN,15
Type,N
GiveUpTime,0.709
PondTime,48.003
TimeLeft,667.809
PondOutcome,55
TotalOutcome,451
PondStart,PondStart
PondIntroTime,14.823922445066273
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.75
Pond12Fish1_CatchTime,1.053
Pond12Fish1_PondTime,8.279
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,462
Pond12Fish1_TimeLeft,644.087
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4
Pond12Fish2_CatchTime,1.772
Pond12Fish2_PondTime,15.012
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,473
Pond12Fish2_TimeLeft,637.354
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.285714285714286
Pond12Fish3_CatchTime,1.089
Pond12Fish3_PondTime,21.997
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,484
Pond12Fish3_TimeLeft,630.369
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4.615384615384615
Pond12Fish4_CatchTime,1.115
Pond12Fish4_PondTime,29.363
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,495
Pond12Fish4_TimeLeft,623.003
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5
Pond12Fish5_CatchTime,-1
Pond12Fish5_PondTime,37.261
Pond12Fish5_PondOutcome,44
Pond12Fish5_TotalOutcome,495
Pond12Fish5_TimeLeft,615.105
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,5.454545454545454
Pond12Fish6_CatchTime,1.25
Pond12Fish6_PondTime,45.628
Pond12Fish6_PondOutcome,55
Pond12Fish6_TotalOutcome,506
Pond12Fish6_TimeLeft,606.738
Type,N
FishN,17
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6
Pond12Fish7_CatchTime,-1
Pond12Fish7_PondTime,54.727
Pond12Fish7_PondOutcome,55
Pond12Fish7_TotalOutcome,506
Pond12Fish7_TimeLeft,597.639
Type,N
FishN,17
Fish,8
Pond12Fish8_FishType,green
