,5c07f9ce7ce1dd0001a4efec
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,5.454545454545454
Pond6Fish4_CatchTime,0.712
Pond6Fish4_PondTime,32.422
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,319
Pond6Fish4_TimeLeft,918.914
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,6
Pond6Fish5_CatchTime,0.719
Pond6Fish5_PondTime,41.447
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,330
Pond6Fish5_TimeLeft,909.889
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,0.924
Pond6Fish6_PondTime,51.306
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,341
Pond6Fish6_TimeLeft,900.03
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,7.5
Pond6Fish7_CatchTime,0.944
Pond6Fish7_PondTime,62.245
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,352
Pond6Fish7_TimeLeft,889.091
Type,N
FishN,18
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,8.571428571428571
Pond6Fish8_CatchTime,1.078
Pond6Fish8_PondTime,74.615
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,363
Pond6Fish8_TimeLeft,876.721
Type,N
FishN,18
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,10
Pond6Fish9_CatchTime,0.652
Pond6Fish9_PondTime,88.986
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,374
Pond6Fish9_TimeLeft,862.35
PondEnd_LastFish,9
FishN,14
Type,N
GiveUpTime,16.567
PondTime,104.417
TimeLeft,846.416
PondOutcome,99
TotalOutcome,374
PondStart,PondStart
PondIntroTime,15.074989381246269
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,1.705
Pond10Fish1_PondTime,8.575
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,385
Pond10Fish1_TimeLeft,822.14
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,1.327
Pond10Fish2_PondTime,15.558
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,396
Pond10Fish2_TimeLeft,815.157
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,-1
Pond10Fish3_PondTime,22.979
Pond10Fish3_PondOutcome,22
Pond10Fish3_TotalOutcome,396
Pond10Fish3_TimeLeft,807.736
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,0.732
Pond10Fish4_PondTime,30.807
Pond10Fish4_PondOutcome,33
Pond10Fish4_TotalOutcome,407
Pond10Fish4_TimeLeft,799.908
Type,N
FishN,17
