,5dfbabdfdd997b8ccc6ece2b
PondIntroTime,13.010035327170044
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,-1
Pond6Fish1_PondTime,8.071
Pond6Fish1_PondOutcome,0
Pond6Fish1_TotalOutcome,550
Pond6Fish1_TimeLeft,460.63
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,1.076
Pond6Fish2_PondTime,14.434
Pond6Fish2_PondOutcome,11
Pond6Fish2_TotalOutcome,561
Pond6Fish2_TimeLeft,454.267
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,0.834
Pond6Fish3_PondTime,21.079
Pond6Fish3_PondOutcome,22
Pond6Fish3_TotalOutcome,572
Pond6Fish3_TimeLeft,447.622
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,0.772
Pond6Fish4_PondTime,28.057
Pond6Fish4_PondOutcome,33
Pond6Fish4_TotalOutcome,583
Pond6Fish4_TimeLeft,440.644
Type,N
FishN,18
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,0.863
Pond6Fish5_PondTime,35.418
Pond6Fish5_PondOutcome,44
Pond6Fish5_TotalOutcome,594
Pond6Fish5_TimeLeft,433.283
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,1.037
Pond6Fish6_PondTime,43.232
Pond6Fish6_PondOutcome,55
Pond6Fish6_TotalOutcome,605
Pond6Fish6_TimeLeft,425.469
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,1.059
Pond6Fish7_PondTime,51.592
Pond6Fish7_PondOutcome,66
Pond6Fish7_TotalOutcome,616
Pond6Fish7_TimeLeft,417.109
Type,N
FishN,18
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,0.926
Pond6Fish8_PondTime,60.612
Pond6Fish8_PondOutcome,77
Pond6Fish8_TotalOutcome,627
