,5c1522f64c29140001cdad7e
Pond6Fish13_TimeLeft,499.028
PondEnd_LastFish,13
FishN,18
Type,N
GiveUpTime,0.518
PondTime,131.301
TimeLeft,481.432
PondOutcome,143
TotalOutcome,682
PondStart,PondStart
PondIntroTime,10.547469542361796
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,1.086
Pond1Fish1_PondTime,7.798
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,693
Pond1Fish1_TimeLeft,462.456
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,1.01
Pond1Fish2_PondTime,13.914
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,704
Pond1Fish2_TimeLeft,456.34
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,1.342
Pond1Fish3_PondTime,20.279
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,715
Pond1Fish3_TimeLeft,449.975
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,1.029
Pond1Fish4_PondTime,26.929
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,726
Pond1Fish4_TimeLeft,443.325
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,1.057
Pond1Fish5_PondTime,33.911
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,737
Pond1Fish5_TimeLeft,436.343
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,0.835
Pond1Fish6_PondTime,41.275
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,748
Pond1Fish6_TimeLeft,428.979
Type,N
FishN,16
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,1.461
Pond1Fish7_PondTime,49.088
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,759
Pond1Fish7_TimeLeft,421.166
Type,N
FishN,16
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,1.036
Pond1Fish8_PondTime,57.457
Pond1Fish8_PondOutcome,88
