,5e207baaa79c2b39625495cb
Pond10Fish7_FishLatency,4.615384615384615
Pond10Fish7_CatchTime,1.321
Pond10Fish7_PondTime,47.009
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,924
Pond10Fish7_TimeLeft,122.762
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,5
Pond10Fish8_CatchTime,1.258
Pond10Fish8_PondTime,54.864
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,935
Pond10Fish8_TimeLeft,114.907
Type,N
FishN,17
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,5.454545454545454
Pond10Fish9_CatchTime,1.199
Pond10Fish9_PondTime,63.233
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,946
Pond10Fish9_TimeLeft,106.538
Type,N
FishN,17
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,6
Pond10Fish10_CatchTime,1.508
Pond10Fish10_PondTime,72.287
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,957
Pond10Fish10_TimeLeft,97.485
Type,N
FishN,17
Fish,11
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,6.666666666666667
Pond10Fish11_CatchTime,1.161
Pond10Fish11_PondTime,82.167
Pond10Fish11_PondOutcome,121
Pond10Fish11_TotalOutcome,968
Pond10Fish11_TimeLeft,87.605
Type,N
FishN,17
Fish,12
Pond10Fish12_FishType,green
Pond10Fish12_FishLatency,7.5
Pond10Fish12_CatchTime,1.452
Pond10Fish12_PondTime,93.147
Pond10Fish12_PondOutcome,132
Pond10Fish12_TotalOutcome,979
Pond10Fish12_TimeLeft,76.625
Type,N
FishN,17
Fish,13
Pond10Fish13_FishType,green
Pond10Fish13_FishLatency,8.571428571428571
Pond10Fish13_CatchTime,1.967
Pond10Fish13_PondTime,105.791
Pond10Fish13_PondOutcome,143
Pond10Fish13_TotalOutcome,990
Pond10Fish13_TimeLeft,63.98
Type,N
FishN,17
Fish,14
Pond10Fish14_FishType,green
Pond10Fish14_FishLatency,10
Pond10Fish14_CatchTime,1.442
Pond10Fish14_PondTime,120.16
Pond10Fish14_PondOutcome,154
Pond10Fish14_TotalOutcome,1001
Pond10Fish14_TimeLeft,49.612
Type,N
FishN,17
Fish,15
Pond10Fish15_FishType,green
Pond10Fish15_FishLatency,12
Pond10Fish15_CatchTime,1.161
Pond10Fish15_PondTime,137.524
Pond10Fish15_PondOutcome,165
Pond10Fish15_TotalOutcome,1012
Pond10Fish15_TimeLeft,32.248
Type,N
FishN,17
Fish,16
Pond10Fish16_FishType,green
Pond10Fish16_FishLatency,15
Pond10Fish16_CatchTime,1.273
Pond10Fish16_PondTime,159.892
Pond10Fish16_PondOutcome,176
Pond10Fish16_TotalOutcome,1023
Pond10Fish16_TimeLeft,9.88
