,5c33821f6f160f00013489cb
Pond1Fish6_PondTime,45.685
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,440
Pond1Fish6_TimeLeft,587.075
Type,N
FishN,16
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,6
Pond1Fish7_CatchTime,1.129
Pond1Fish7_PondTime,54.734
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,451
Pond1Fish7_TimeLeft,578.027
Type,N
FishN,16
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,6.666666666666667
Pond1Fish8_CatchTime,0.844
Pond1Fish8_PondTime,64.651
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,462
Pond1Fish8_TimeLeft,568.109
Type,N
FishN,16
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,7.5
Pond1Fish9_CatchTime,1.186
Pond1Fish9_PondTime,75.582
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,473
Pond1Fish9_TimeLeft,557.179
Type,N
FishN,16
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,8.571428571428571
Pond1Fish10_CatchTime,1.306
Pond1Fish10_PondTime,87.951
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,484
Pond1Fish10_TimeLeft,544.81
Type,N
FishN,16
Fish,11
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,10
Pond1Fish11_CatchTime,1.082
Pond1Fish11_PondTime,102.388
Pond1Fish11_PondOutcome,121
Pond1Fish11_TotalOutcome,495
Pond1Fish11_TimeLeft,530.373
Type,N
FishN,16
Fish,12
Pond1Fish12_FishType,green
Pond1Fish12_FishLatency,12
Pond1Fish12_CatchTime,1.437
Pond1Fish12_PondTime,119.755
Pond1Fish12_PondOutcome,132
Pond1Fish12_TotalOutcome,506
Pond1Fish12_TimeLeft,513.006
Type,N
FishN,16
Fish,13
Pond1Fish13_FishType,green
Pond1Fish13_FishLatency,15
Pond1Fish13_CatchTime,1.094
Pond1Fish13_PondTime,142.114
Pond1Fish13_PondOutcome,143
Pond1Fish13_TotalOutcome,517
Pond1Fish13_TimeLeft,490.647
Type,N
FishN,16
Fish,14
Pond1Fish14_FishType,green
Pond1Fish14_FishLatency,20
