,5e208aa1e87b8e000b43675d
Pond2Fish4_PondTime,28.101
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,374
Pond2Fish4_TimeLeft,824.654
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,4.615384615384615
Pond2Fish5_CatchTime,0.788
Pond2Fish5_PondTime,35.467
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,385
Pond2Fish5_TimeLeft,817.288
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,5
Pond2Fish6_CatchTime,0.908
Pond2Fish6_PondTime,43.284
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,396
Pond2Fish6_TimeLeft,809.471
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,5.454545454545454
Pond2Fish7_CatchTime,0.865
Pond2Fish7_PondTime,51.649
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,407
Pond2Fish7_TimeLeft,801.106
Type,N
FishN,13
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,6
Pond2Fish8_CatchTime,0.838
Pond2Fish8_PondTime,60.684
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,418
Pond2Fish8_TimeLeft,792.071
Type,N
FishN,13
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,6.666666666666667
Pond2Fish9_CatchTime,0.674
Pond2Fish9_PondTime,70.551
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,429
Pond2Fish9_TimeLeft,782.204
Type,N
FishN,13
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,7.5
Pond2Fish10_CatchTime,0.736
Pond2Fish10_PondTime,81.484
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,440
Pond2Fish10_TimeLeft,771.271
PondEnd_LastFish,10
FishN,17
Type,N
GiveUpTime,0.572
PondTime,93.772
TimeLeft,758.479
PondOutcome,110
TotalOutcome,440
PondStart,PondStart
PondIntroTime,19.57612903555855
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,0.937
Pond11Fish1_PondTime,8.033
Pond11Fish1_PondOutcome,11
