,czujsn
Pond8Fish3_FishLatency,4.285714285714286
Pond8Fish3_CatchTime,0.88
Pond8Fish3_PondTime,21.9
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,924
Pond8Fish3_TimeLeft,150.321
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4.615384615384615
Pond8Fish4_CatchTime,0.871
Pond8Fish4_PondTime,29.268
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,935
Pond8Fish4_TimeLeft,142.953
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,5
Pond8Fish5_CatchTime,0.595
Pond8Fish5_PondTime,37.084
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,946
Pond8Fish5_TimeLeft,135.137
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,5.454545454545454
Pond8Fish6_CatchTime,0.921
Pond8Fish6_PondTime,45.45
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,957
Pond8Fish6_TimeLeft,126.771
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,6
Pond8Fish7_CatchTime,0.794
Pond8Fish7_PondTime,54.482
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,968
Pond8Fish7_TimeLeft,117.739
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,6.666666666666667
Pond8Fish8_CatchTime,0.93
Pond8Fish8_PondTime,64.349
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,979
Pond8Fish8_TimeLeft,107.872
Type,N
FishN,15
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,7.5
Pond8Fish9_CatchTime,0.848
Pond8Fish9_PondTime,75.281
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,990
Pond8Fish9_TimeLeft,96.94
Type,N
FishN,15
Fish,10
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,8.571428571428571
Pond8Fish10_CatchTime,0.592
Pond8Fish10_PondTime,87.649
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,1001
Pond8Fish10_TimeLeft,84.572
PondEnd_LastFish,10
FishN,16
Type,N
GiveUpTime,0.652
PondTime,101.782
TimeLeft,69.935
PondOutcome,110
TotalOutcome,1001
PondStart,PondStart
PondIntroTime,12.624730640091002
Type,N
FishN,16
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4.285714285714286
Pond1Fish1_CatchTime,0.948
Pond1Fish1_PondTime,8.882
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,1012
Pond1Fish1_TimeLeft,47.807
Type,N
FishN,16
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4.615384615384615
Pond1Fish2_CatchTime,0.891
Pond1Fish2_PondTime,16.247
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,1023
Pond1Fish2_TimeLeft,40.442
Type,N
FishN,16
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,5
Pond1Fish3_CatchTime,0.958
Pond1Fish3_PondTime,24.066
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,1034
Pond1Fish3_TimeLeft,32.623
Type,N
FishN,16
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,5.454545454545454
Pond1Fish4_CatchTime,0.863
Pond1Fish4_PondTime,32.431
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,1045
Pond1Fish4_TimeLeft,24.258
Type,N
FishN,16
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,6
Pond1Fish5_CatchTime,0.819
Pond1Fish5_PondTime,41.466
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,1056
Pond1Fish5_TimeLeft,15.223
Type,N
FishN,16
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,6.666666666666667
Pond1Fish6_CatchTime,0.861
Pond1Fish6_PondTime,51.329
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,1067
Pond1Fish6_TimeLeft,5.36
