,czujsn
PondStart,PondStart
PondIntroTime,17.475654792506248
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,1.139
Pond11Fish1_PondTime,8.017
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,363
Pond11Fish1_TimeLeft,804.25
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,1.087
Pond11Fish2_PondTime,14.382
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,374
Pond11Fish2_TimeLeft,797.885
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,0.558
Pond11Fish3_PondTime,21.032
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,385
Pond11Fish3_TimeLeft,791.235
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,0.497
Pond11Fish4_PondTime,28.016
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,396
Pond11Fish4_TimeLeft,784.251
Type,N
FishN,16
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,0.52
Pond11Fish5_PondTime,35.384
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,407
Pond11Fish5_TimeLeft,776.883
Type,N
FishN,16
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,0.801
Pond11Fish6_PondTime,43.198
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,418
Pond11Fish6_TimeLeft,769.069
Type,N
FishN,16
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,0.784
Pond11Fish7_PondTime,51.566
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,429
Pond11Fish7_TimeLeft,760.701
Type,N
FishN,16
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,6
Pond11Fish8_CatchTime,0.845
Pond11Fish8_PondTime,60.599
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,440
Pond11Fish8_TimeLeft,751.668
Type,N
FishN,16
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,6.666666666666667
Pond11Fish9_CatchTime,1.122
Pond11Fish9_PondTime,70.466
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,451
Pond11Fish9_TimeLeft,741.801
Type,N
FishN,16
Fish,10
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,7.5
Pond11Fish10_CatchTime,0.859
Pond11Fish10_PondTime,81.399
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,462
Pond11Fish10_TimeLeft,730.867
Type,N
FishN,16
Fish,11
Pond11Fish11_FishType,green
Pond11Fish11_FishLatency,8.571428571428571
Pond11Fish11_CatchTime,0.805
Pond11Fish11_PondTime,93.763
Pond11Fish11_PondOutcome,121
Pond11Fish11_TotalOutcome,473
Pond11Fish11_TimeLeft,718.504
Type,N
FishN,16
Fish,12
Pond11Fish12_FishType,green
Pond11Fish12_FishLatency,10
Pond11Fish12_CatchTime,0.713
Pond11Fish12_PondTime,108.13
Pond11Fish12_PondOutcome,132
Pond11Fish12_TotalOutcome,484
Pond11Fish12_TimeLeft,704.137
PondEnd_LastFish,12
FishN,17
Type,N
GiveUpTime,0.523
PondTime,125.069
TimeLeft,686.695
PondOutcome,132
TotalOutcome,484
PondStart,PondStart
PondIntroTime,10.212569427676499
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,0.661
Pond10Fish1_PondTime,9.734
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,495
Pond10Fish1_TimeLeft,666.137
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,0.647
Pond10Fish2_PondTime,18.098
