,5d56e5a6ed4dff00155112ea
Pond8Fish14_PondOutcome,143
Pond8Fish14_TotalOutcome,341
Pond8Fish14_TimeLeft,853.183
PondEnd_LastFish,14
FishN,18
Type,N
GiveUpTime,19.623
PondTime,150.736
TimeLeft,833.637
PondOutcome,143
TotalOutcome,341
PondStart,PondStart
PondIntroTime,15.307785621844232
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,1.284
Pond2Fish1_PondTime,7.644
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,352
Pond2Fish1_TimeLeft,810.023
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,1.206
Pond2Fish2_PondTime,13.553
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,363
Pond2Fish2_TimeLeft,804.114
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,0.683
Pond2Fish3_PondTime,19.679
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,374
Pond2Fish3_TimeLeft,797.988
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,1.17
Pond2Fish4_PondTime,26.053
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,385
Pond2Fish4_TimeLeft,791.614
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,0.897
Pond2Fish5_PondTime,32.723
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,396
Pond2Fish5_TimeLeft,784.944
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,1.059
Pond2Fish6_PondTime,39.711
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,407
Pond2Fish6_TimeLeft,777.956
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,4.615384615384615
Pond2Fish7_CatchTime,1.139
Pond2Fish7_PondTime,47.103
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,418
Pond2Fish7_TimeLeft,770.564
Type,N
FishN,13
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,1.048
Pond2Fish8_PondTime,54.943
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,429
Pond2Fish8_TimeLeft,762.724
Type,N
FishN,13
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,5.454545454545454
Pond2Fish9_CatchTime,1.294
Pond2Fish9_PondTime,63.325
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,440
Pond2Fish9_TimeLeft,754.342
