,5ca5153892dc750016e7bb35
Pond6Fish5_PondOutcome,55
Pond6Fish5_TotalOutcome,242
Pond6Fish5_TimeLeft,802.518
Type,N
FishN,18
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,0.614
Pond6Fish6_PondTime,43.233
Pond6Fish6_PondOutcome,66
Pond6Fish6_TotalOutcome,253
Pond6Fish6_TimeLeft,794.691
Type,N
FishN,18
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,0.694
Pond6Fish7_PondTime,51.615
Pond6Fish7_PondOutcome,77
Pond6Fish7_TotalOutcome,264
Pond6Fish7_TimeLeft,786.309
Type,N
FishN,18
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,1.702
Pond6Fish8_PondTime,60.68
Pond6Fish8_PondOutcome,88
Pond6Fish8_TotalOutcome,275
Pond6Fish8_TimeLeft,777.244
Type,N
FishN,18
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,6.666666666666667
Pond6Fish9_CatchTime,1.557
Pond6Fish9_PondTime,70.57
Pond6Fish9_PondOutcome,99
Pond6Fish9_TotalOutcome,286
Pond6Fish9_TimeLeft,767.354
Type,N
FishN,18
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,7.5
Pond6Fish10_CatchTime,0.724
Pond6Fish10_PondTime,81.518
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,297
Pond6Fish10_TimeLeft,756.406
Type,N
FishN,18
Fish,11
Pond6Fish11_FishType,green
Pond6Fish11_FishLatency,8.571428571428571
Pond6Fish11_CatchTime,0.801
Pond6Fish11_PondTime,93.882
Pond6Fish11_PondOutcome,121
Pond6Fish11_TotalOutcome,308
Pond6Fish11_TimeLeft,744.042
Type,N
FishN,18
Fish,12
Pond6Fish12_FishType,green
Pond6Fish12_FishLatency,10
Pond6Fish12_CatchTime,0.561
