,5ce787a02ba98d000149f18c
Pond10Fish5_CatchTime,1.434
Pond10Fish5_PondTime,47.94
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,561
Pond10Fish5_TimeLeft,608.664
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,1.39
Pond10Fish6_PondTime,60.338
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,572
Pond10Fish6_TimeLeft,596.265
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,1.436
Pond10Fish7_PondTime,74.754
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,583
Pond10Fish7_TimeLeft,581.85
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,12
Pond10Fish8_CatchTime,1.483
Pond10Fish8_PondTime,92.112
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,594
Pond10Fish8_TimeLeft,564.492
PondEnd_LastFish,8
FishN,12
Type,N
GiveUpTime,19.293
PondTime,111.102
TimeLeft,544.996
PondOutcome,88
TotalOutcome,594
PondStart,PondStart
PondIntroTime,18.176988335326314
Type,N
FishN,13
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4
Pond2Fish1_CatchTime,-1
Pond2Fish1_PondTime,8.66
Pond2Fish1_PondOutcome,0
Pond2Fish1_TotalOutcome,594
Pond2Fish1_TimeLeft,517.476
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,4.285714285714286
Pond2Fish2_CatchTime,1.783
Pond2Fish2_PondTime,15.742
Pond2Fish2_PondOutcome,11
Pond2Fish2_TotalOutcome,605
Pond2Fish2_TimeLeft,510.393
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,4.615384615384615
Pond2Fish3_CatchTime,1.2
Pond2Fish3_PondTime,23.11
Pond2Fish3_PondOutcome,22
Pond2Fish3_TotalOutcome,616
Pond2Fish3_TimeLeft,503.026
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,5
Pond2Fish4_CatchTime,1.363
Pond2Fish4_PondTime,30.945
Pond2Fish4_PondOutcome,33
Pond2Fish4_TotalOutcome,627
Pond2Fish4_TimeLeft,495.191
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,5.454545454545454
Pond2Fish5_CatchTime,-1
Pond2Fish5_PondTime,39.439
Pond2Fish5_PondOutcome,33
Pond2Fish5_TotalOutcome,627
Pond2Fish5_TimeLeft,486.697
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,6
Pond2Fish6_CatchTime,-1
Pond2Fish6_PondTime,48.76
Pond2Fish6_PondOutcome,33
Pond2Fish6_TotalOutcome,627
Pond2Fish6_TimeLeft,477.376
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,6.666666666666667
Pond2Fish7_CatchTime,1.238
Pond2Fish7_PondTime,58.653
Pond2Fish7_PondOutcome,44
Pond2Fish7_TotalOutcome,638
Pond2Fish7_TimeLeft,467.482
Type,N
FishN,13
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,7.5
Pond2Fish8_CatchTime,1.617
Pond2Fish8_PondTime,69.586
Pond2Fish8_PondOutcome,55
Pond2Fish8_TotalOutcome,649
Pond2Fish8_TimeLeft,456.55
Type,N
FishN,13
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,8.571428571428571
Pond2Fish9_CatchTime,1.04
Pond2Fish9_PondTime,81.96
Pond2Fish9_PondOutcome,66
Pond2Fish9_TotalOutcome,660
Pond2Fish9_TimeLeft,444.176
PondEnd_LastFish,9
FishN,15
Type,N
GiveUpTime,0.94
PondTime,82.147
TimeLeft,443.486
PondOutcome,66
TotalOutcome,660
PondStart,PondStart
PondIntroTime,10.893985696602613
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,4.615384615384615
Pond7Fish1_CatchTime,1.111
Pond7Fish1_PondTime,11.17
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,671
Pond7Fish1_TimeLeft,418.982
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,5
Pond7Fish2_CatchTime,1.52
Pond7Fish2_PondTime,19.05
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,682
Pond7Fish2_TimeLeft,411.102
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
