,5dd92c52d3ac2aa788add9ea
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,1.022
Pond2Fish1_PondTime,8.281
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,891
Pond2Fish1_TimeLeft,105.769
Type,N
FishN,13
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,-1
Pond2Fish2_PondTime,15.006
Pond2Fish2_PondOutcome,11
Pond2Fish2_TotalOutcome,891
Pond2Fish2_TimeLeft,99.045
Type,N
FishN,13
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,1.094
Pond2Fish3_PondTime,21.986
Pond2Fish3_PondOutcome,22
Pond2Fish3_TotalOutcome,902
Pond2Fish3_TimeLeft,92.064
Type,N
FishN,13
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,1.307
Pond2Fish4_PondTime,29.346
Pond2Fish4_PondOutcome,33
Pond2Fish4_TotalOutcome,913
Pond2Fish4_TimeLeft,84.704
Type,N
FishN,13
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,1.253
Pond2Fish5_PondTime,37.167
Pond2Fish5_PondOutcome,44
Pond2Fish5_TotalOutcome,924
Pond2Fish5_TimeLeft,76.884
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,1.1
Pond2Fish6_PondTime,45.565
Pond2Fish6_PondOutcome,55
Pond2Fish6_TotalOutcome,935
Pond2Fish6_TimeLeft,68.485
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,1.342
Pond2Fish7_PondTime,54.615
Pond2Fish7_PondOutcome,66
Pond2Fish7_TotalOutcome,946
Pond2Fish7_TimeLeft,59.435
Type,N
FishN,13
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,6.666666666666667
Pond2Fish8_CatchTime,1.336
Pond2Fish8_PondTime,64.49
Pond2Fish8_PondOutcome,77
Pond2Fish8_TotalOutcome,957
Pond2Fish8_TimeLeft,49.56
Type,N
FishN,13
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,7.5
Pond2Fish9_CatchTime,1.218
Pond2Fish9_PondTime,75.432
Pond2Fish9_PondOutcome,88
Pond2Fish9_TotalOutcome,968
Pond2Fish9_TimeLeft,38.618
Type,N
FishN,13
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,8.571428571428571
Pond2Fish10_CatchTime,1.175
Pond2Fish10_PondTime,87.833
Pond2Fish10_PondOutcome,99
Pond2Fish10_TotalOutcome,979
Pond2Fish10_TimeLeft,26.217
Type,N
FishN,13
Fish,11
Pond2Fish11_FishType,green
Pond2Fish11_FishLatency,10
Pond2Fish11_CatchTime,1.026
Pond2Fish11_PondTime,102.206
Pond2Fish11_PondOutcome,110
Pond2Fish11_TotalOutcome,990
Pond2Fish11_TimeLeft,11.845
