,taly10
FishN,14
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,1.946
Pond7Fish1_PondTime,7.864
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,53
Pond7Fish1_TimeLeft,1095.287
PondEnd_LastFish,1
FishN,14
Type,RT
GiveUpTime,1.456
PondTime,9.218
TimeLeft,1093.428
PondOutcome,10
TotalOutcome,53
PondStart,PondStart
PondIntroTime,17.790557069238275
Type,RD
FishN,15
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.722
Pond2Fish1_PondTime,9.316
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,65
Pond2Fish1_TimeLeft,1065.704
PondEnd_LastFish,1
FishN,15
Type,RD
GiveUpTime,1.08
PondTime,10.294
TimeLeft,1064.222
PondOutcome,12
TotalOutcome,65
PondStart,PondStart
PondIntroTime,13.627054488752037
Type,N
FishN,17
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,1.206
Pond8Fish1_PondTime,9.687
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,76
Pond8Fish1_TimeLeft,1038.802
PondEnd_LastFish,1
FishN,17
Type,N
GiveUpTime,0.891
PondTime,9.992
TimeLeft,1037.994
PondOutcome,11
TotalOutcome,76
PondStart,PondStart
PondIntroTime,13.6217226437293
Type,N
FishN,15
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4
Pond11Fish1_CatchTime,1.052
Pond11Fish1_PondTime,8.569
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,87
Pond11Fish1_TimeLeft,1015.166
PondEnd_LastFish,1
FishN,15
Type,N
GiveUpTime,0.831
PondTime,8.66
TimeLeft,1014.572
PondOutcome,11
TotalOutcome,87
PondStart,PondStart
PondIntroTime,19.64861481450498
Type,RT
FishN,16
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,1.087
Pond1Fish1_PondTime,9.735
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,97
Pond1Fish1_TimeLeft,984.569
PondEnd_LastFish,1
FishN,16
Type,RT
GiveUpTime,0.727
PondTime,9.759
TimeLeft,984.042
PondOutcome,10
TotalOutcome,97
PondStart,PondStart
PondIntroTime,19.04619686305523
