,5e233d14e8ff3a5f4cdf11ea
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,5.454545454545454
Pond10Fish4_CatchTime,1.567
Pond10Fish4_PondTime,32.437
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,270
Pond10Fish4_TimeLeft,906.246
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,6
Pond10Fish5_CatchTime,1.428
Pond10Fish5_PondTime,41.472
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,280
Pond10Fish5_TimeLeft,897.211
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,6.666666666666667
Pond10Fish6_CatchTime,1.579
Pond10Fish6_PondTime,51.338
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,290
Pond10Fish6_TimeLeft,887.345
PondEnd_LastFish,6
FishN,14
Type,RT
GiveUpTime,2.743
PondTime,53.863
TimeLeft,884.317
PondOutcome,60
TotalOutcome,290
PondStart,PondStart
PondIntroTime,15.36843444686383
Type,N
FishN,12
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,1.596
Pond7Fish1_PondTime,7.601
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,301
Pond7Fish1_TimeLeft,860.724
Type,N
FishN,12
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,1.435
Pond7Fish2_PondTime,13.5
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,312
Pond7Fish2_TimeLeft,854.825
Type,N
FishN,12
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,3.5294117647058822
Pond7Fish3_CatchTime,1.262
Pond7Fish3_PondTime,19.617
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,323
Pond7Fish3_TimeLeft,848.707
Type,N
FishN,12
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,3.75
Pond7Fish4_CatchTime,1.59
Pond7Fish4_PondTime,25.985
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,334
Pond7Fish4_TimeLeft,842.34
Type,N
FishN,12
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4
Pond7Fish5_CatchTime,1.098
Pond7Fish5_PondTime,32.635
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,345
Pond7Fish5_TimeLeft,835.69
Type,N
FishN,12
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,4.285714285714286
Pond7Fish6_CatchTime,1.462
Pond7Fish6_PondTime,39.62
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,356
Pond7Fish6_TimeLeft,828.705
Type,N
FishN,12
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,4.615384615384615
Pond7Fish7_CatchTime,1.32
Pond7Fish7_PondTime,46.988
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,367
Pond7Fish7_TimeLeft,821.337
Type,N
FishN,12
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,5
Pond7Fish8_CatchTime,1.216
Pond7Fish8_PondTime,54.805
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,378
Pond7Fish8_TimeLeft,813.519
Type,N
FishN,12
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,5.454545454545454
Pond7Fish9_CatchTime,1.174
Pond7Fish9_PondTime,63.174
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,389
Pond7Fish9_TimeLeft,805.151
Type,N
FishN,12
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,6
Pond7Fish10_CatchTime,1.205
Pond7Fish10_PondTime,72.208
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,400
Pond7Fish10_TimeLeft,796.117
Type,N
FishN,12
Fish,11
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,6.666666666666667
Pond7Fish11_CatchTime,1.395
Pond7Fish11_PondTime,82.073
Pond7Fish11_PondOutcome,121
Pond7Fish11_TotalOutcome,411
Pond7Fish11_TimeLeft,786.252
Type,N
FishN,12
Fish,12
Pond7Fish12_FishType,green
Pond7Fish12_FishLatency,7.5
Pond7Fish12_CatchTime,1.423
Pond7Fish12_PondTime,93.008
Pond7Fish12_PondOutcome,132
Pond7Fish12_TotalOutcome,422
Pond7Fish12_TimeLeft,775.317
Type,N
FishN,12
Fish,13
Pond7Fish13_FishType,green
Pond7Fish13_FishLatency,8.571428571428571
Pond7Fish13_CatchTime,1.114
Pond7Fish13_PondTime,105.376
Pond7Fish13_PondOutcome,143
Pond7Fish13_TotalOutcome,433
Pond7Fish13_TimeLeft,762.949
PondEnd_LastFish,13
FishN,19
Type,N
GiveUpTime,13.072
PondTime,117.763
TimeLeft,750.06
PondOutcome,143
TotalOutcome,433
PondStart,PondStart
PondIntroTime,17.398175317794085
Type,N
FishN,15
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4
Pond1Fish1_CatchTime,-1
Pond1Fish1_PondTime,8.616
Pond1Fish1_PondOutcome,0
Pond1Fish1_TotalOutcome,433
Pond1Fish1_TimeLeft,723.429
Type,N
FishN,15
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4.285714285714286
Pond1Fish2_CatchTime,1.237
Pond1Fish2_PondTime,15.6
Pond1Fish2_PondOutcome,11
Pond1Fish2_TotalOutcome,444
Pond1Fish2_TimeLeft,716.445
Type,N
FishN,15
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,4.615384615384615
Pond1Fish3_CatchTime,1.158
Pond1Fish3_PondTime,22.97
Pond1Fish3_PondOutcome,22
Pond1Fish3_TotalOutcome,455
Pond1Fish3_TimeLeft,709.075
Type,N
FishN,15
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,5
Pond1Fish4_CatchTime,1.543
Pond1Fish4_PondTime,30.787
Pond1Fish4_PondOutcome,33
Pond1Fish4_TotalOutcome,466
Pond1Fish4_TimeLeft,701.258
Type,N
FishN,15
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,5.454545454545454
Pond1Fish5_CatchTime,1.401
Pond1Fish5_PondTime,39.155
Pond1Fish5_PondOutcome,44
Pond1Fish5_TotalOutcome,477
Pond1Fish5_TimeLeft,692.89
Type,N
FishN,15
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,6
Pond1Fish6_CatchTime,1.16
Pond1Fish6_PondTime,48.189
Pond1Fish6_PondOutcome,55
Pond1Fish6_TotalOutcome,488
Pond1Fish6_TimeLeft,683.856
Type,N
FishN,15
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,6.666666666666667
Pond1Fish7_CatchTime,1.474
Pond1Fish7_PondTime,58.054
Pond1Fish7_PondOutcome,66
Pond1Fish7_TotalOutcome,499
Pond1Fish7_TimeLeft,673.991
Type,N
FishN,15
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,7.5
Pond1Fish8_CatchTime,-1
Pond1Fish8_PondTime,69.054
Pond1Fish8_PondOutcome,66
Pond1Fish8_TotalOutcome,499
Pond1Fish8_TimeLeft,662.991
