,5decb11b9b8f2437f63f1d8b
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,354
Pond7Fish8_TimeLeft,885.301
Type,N
FishN,12
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,8.571428571428571
Pond7Fish9_CatchTime,0.761
Pond7Fish9_PondTime,81.235
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,365
Pond7Fish9_TimeLeft,872.942
Type,N
FishN,12
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,10
Pond7Fish10_CatchTime,0.738
Pond7Fish10_PondTime,95.593
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,376
Pond7Fish10_TimeLeft,858.584
PondEnd_LastFish,10
FishN,15
Type,N
GiveUpTime,0.391
PondTime,112.756
TimeLeft,840.917
PondOutcome,110
TotalOutcome,376
PondStart,PondStart
PondIntroTime,16.37913843849674
Type,RD
FishN,14
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.75
Pond4Fish1_CatchTime,0.772
Pond4Fish1_PondTime,8.267
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,388
Pond4Fish1_TimeLeft,815.652
Type,RD
FishN,14
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4
Pond4Fish2_CatchTime,1.131
Pond4Fish2_PondTime,14.909
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,400
Pond4Fish2_TimeLeft,809.01
Type,RD
FishN,14
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4.285714285714286
Pond4Fish3_CatchTime,0.916
Pond4Fish3_PondTime,21.884
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,412
Pond4Fish3_TimeLeft,802.035
Type,RD
FishN,14
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4.615384615384615
Pond4Fish4_CatchTime,0.661
Pond4Fish4_PondTime,29.243
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,424
Pond4Fish4_TimeLeft,794.676
Type,RD
FishN,14
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,5
Pond4Fish5_CatchTime,0.572
Pond4Fish5_PondTime,37.052
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,436
Pond4Fish5_TimeLeft,786.866
Type,RD
FishN,14
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,5.454545454545454
Pond4Fish6_CatchTime,0.671
Pond4Fish6_PondTime,45.41
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,448
Pond4Fish6_TimeLeft,778.509
Type,RD
FishN,14
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,6
Pond4Fish7_CatchTime,0.903
Pond4Fish7_PondTime,54.434
Pond4Fish7_PondOutcome,84
Pond4Fish7_TotalOutcome,460
Pond4Fish7_TimeLeft,769.484
Type,RD
FishN,14
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,6.666666666666667
Pond4Fish8_CatchTime,1.012
Pond4Fish8_PondTime,64.293
Pond4Fish8_PondOutcome,96
Pond4Fish8_TotalOutcome,472
Pond4Fish8_TimeLeft,759.626
Type,RD
FishN,14
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,7.5
Pond4Fish9_CatchTime,0.943
Pond4Fish9_PondTime,75.217
Pond4Fish9_PondOutcome,108
Pond4Fish9_TotalOutcome,484
Pond4Fish9_TimeLeft,748.702
Type,RD
FishN,14
Fish,10
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,8.571428571428571
Pond4Fish10_CatchTime,0.833
Pond4Fish10_PondTime,87.577
Pond4Fish10_PondOutcome,120
Pond4Fish10_TotalOutcome,496
Pond4Fish10_TimeLeft,736.342
PondEnd_LastFish,10
FishN,16
Type,RD
GiveUpTime,0.467
PondTime,101.682
TimeLeft,721.736
PondOutcome,120
TotalOutcome,496
PondStart,PondStart
PondIntroTime,13.211329320911318
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.5294117647058822
Pond8Fish1_CatchTime,0.856
Pond8Fish1_PondTime,8.018
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,507
Pond8Fish1_TimeLeft,699.894
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.75
Pond8Fish2_CatchTime,0.984
Pond8Fish2_PondTime,14.378
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,518
Pond8Fish2_TimeLeft,693.534
Type,N
FishN,15
Fish,3
