,5d96108d33f8930017e85506
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,0.883
Pond10Fish3_PondTime,27.135
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,666
Pond10Fish3_TimeLeft,500.422
Type,RD
FishN,16
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,0.81
Pond10Fish4_PondTime,37
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,678
Pond10Fish4_TimeLeft,490.557
Type,RD
FishN,16
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,0.934
Pond10Fish5_PondTime,47.933
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,690
Pond10Fish5_TimeLeft,479.624
Type,RD
FishN,16
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,0.868
Pond10Fish6_PondTime,60.301
Pond10Fish6_PondOutcome,72
Pond10Fish6_TotalOutcome,702
Pond10Fish6_TimeLeft,467.256
Type,RD
FishN,16
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,0.92
Pond10Fish7_PondTime,74.666
Pond10Fish7_PondOutcome,84
Pond10Fish7_TotalOutcome,714
Pond10Fish7_TimeLeft,452.891
Type,RD
FishN,16
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,12
Pond10Fish8_CatchTime,1.187
Pond10Fish8_PondTime,92.033
Pond10Fish8_PondOutcome,96
Pond10Fish8_TotalOutcome,726
Pond10Fish8_TimeLeft,435.524
PondEnd_LastFish,8
FishN,12
Type,RD
GiveUpTime,17.83
PondTime,109.261
TimeLeft,417.793
PondOutcome,96
TotalOutcome,726
PondStart,PondStart
PondIntroTime,19.9599323538132
Type,N
FishN,17
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,1.052
Pond5Fish1_PondTime,7.801
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,737
Pond5Fish1_TimeLeft,389.423
Type,N
FishN,17
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,0.639
Pond5Fish2_PondTime,13.917
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,748
Pond5Fish2_TimeLeft,383.307
Type,N
FishN,17
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,0.767
Pond5Fish3_PondTime,20.283
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,759
Pond5Fish3_TimeLeft,376.941
Type,N
FishN,17
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,4
Pond5Fish4_CatchTime,0.736
Pond5Fish4_PondTime,26.934
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,770
Pond5Fish4_TimeLeft,370.29
Type,N
FishN,17
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,4.285714285714286
Pond5Fish5_CatchTime,0.714
Pond5Fish5_PondTime,33.916
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,781
Pond5Fish5_TimeLeft,363.308
Type,N
FishN,17
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,4.615384615384615
Pond5Fish6_CatchTime,0.937
Pond5Fish6_PondTime,41.284
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,792
Pond5Fish6_TimeLeft,355.94
Type,N
FishN,17
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,5
Pond5Fish7_CatchTime,0.846
Pond5Fish7_PondTime,49.099
