,5dac65e10cd3ff0013e3ee17
Pond5Fish7_FishLatency,8.571428571428571
Pond5Fish7_CatchTime,1.495
Pond5Fish7_PondTime,67.834
Pond5Fish7_PondOutcome,50
Pond5Fish7_TotalOutcome,341
Pond5Fish7_TimeLeft,827.047
Type,RT
FishN,17
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,10
Pond5Fish8_CatchTime,1.478
Pond5Fish8_PondTime,82.197
Pond5Fish8_PondOutcome,60
Pond5Fish8_TotalOutcome,351
Pond5Fish8_TimeLeft,812.683
Type,RT
FishN,17
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,12
Pond5Fish9_CatchTime,1.241
Pond5Fish9_PondTime,99.571
Pond5Fish9_PondOutcome,70
Pond5Fish9_TotalOutcome,361
Pond5Fish9_TimeLeft,795.31
PondEnd_LastFish,9
FishN,13
Type,RT
GiveUpTime,3.879
PondTime,102.901
TimeLeft,791.475
PondOutcome,70
TotalOutcome,361
PondStart,PondStart
PondIntroTime,15.086988483089954
Type,RD
FishN,12
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,-1
Pond7Fish1_PondTime,9.801
Pond7Fish1_PondOutcome,0
Pond7Fish1_TotalOutcome,361
Pond7Fish1_TimeLeft,765.953
Type,RD
FishN,12
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,-1
Pond7Fish2_PondTime,18.214
Pond7Fish2_PondOutcome,0
Pond7Fish2_TotalOutcome,361
Pond7Fish2_TimeLeft,757.54
