,5d8d0f36f5c589001ac56ce2
Pond8Fish3_TotalOutcome,529
Pond8Fish3_TimeLeft,655.438
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,1.125
Pond8Fish4_PondTime,32.562
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,540
Pond8Fish4_TimeLeft,647.048
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,1.183
Pond8Fish5_PondTime,41.606
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,551
Pond8Fish5_TimeLeft,638.004
PondEnd_LastFish,5
FishN,14
Type,N
GiveUpTime,7.522
PondTime,48.509
TimeLeft,630.596
PondOutcome,55
TotalOutcome,551
PondStart,PondStart
PondIntroTime,14.630372072570026
Type,RD
FishN,14
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.827
Pond4Fish1_PondTime,9.04
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,563
Pond4Fish1_TimeLeft,606.291
Type,RD
FishN,14
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,1.131
Pond4Fish2_PondTime,16.433
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,575
Pond4Fish2_TimeLeft,598.898
Type,RD
FishN,14
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,0.835
Pond4Fish3_PondTime,24.3
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,587
Pond4Fish3_TimeLeft,591.031
Type,RD
FishN,14
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,0.865
Pond4Fish4_PondTime,32.697
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,599
Pond4Fish4_TimeLeft,582.634
Type,RD
FishN,14
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,1.185
Pond4Fish5_PondTime,41.758
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,611
Pond4Fish5_TimeLeft,573.573
Type,RD
FishN,14
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,1.209
Pond4Fish6_PondTime,51.653
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,623
Pond4Fish6_TimeLeft,563.677
Type,RD
FishN,14
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,0.997
Pond4Fish7_PondTime,62.625
Pond4Fish7_PondOutcome,84
Pond4Fish7_TotalOutcome,635
Pond4Fish7_TimeLeft,552.706
PondEnd_LastFish,7
FishN,14
Type,RD
GiveUpTime,0.546
PondTime,74.796
TimeLeft,540.032
PondOutcome,84
TotalOutcome,635
PondStart,PondStart
PondIntroTime,19.660627623088658
Type,RD
FishN,17
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,4
Pond5Fish1_CatchTime,1.091
Pond5Fish1_PondTime,8.59
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,647
Pond5Fish1_TimeLeft,511.146
Type,RD
FishN,17
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4.285714285714286
Pond5Fish2_CatchTime,0.83
Pond5Fish2_PondTime,15.627
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,659
Pond5Fish2_TimeLeft,504.109
Type,RD
FishN,17
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,4.615384615384615
Pond5Fish3_CatchTime,0.919
Pond5Fish3_PondTime,23.02
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,671
Pond5Fish3_TimeLeft,496.716
Type,RD
FishN,17
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,5
Pond5Fish4_CatchTime,0.792
Pond5Fish4_PondTime,30.88
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,683
Pond5Fish4_TimeLeft,488.856
Type,RD
FishN,17
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,5.454545454545454
Pond5Fish5_CatchTime,0.859
Pond5Fish5_PondTime,39.274
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,695
Pond5Fish5_TimeLeft,480.462
Type,RD
FishN,17
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,6
Pond5Fish6_CatchTime,1.757
Pond5Fish6_PondTime,48.411
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,707
Pond5Fish6_TimeLeft,471.325
Type,RD
FishN,17
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,6.666666666666667
Pond5Fish7_CatchTime,1.003
Pond5Fish7_PondTime,58.33
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,719
Pond5Fish7_TimeLeft,461.406
PondEnd_LastFish,7
FishN,15
Type,RD
GiveUpTime,0.644
PondTime,69.001
TimeLeft,450.229
PondOutcome,84
TotalOutcome,719
PondStart,PondStart
PondIntroTime,18.136807351838797
Type,N
FishN,15
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,1.396
Pond1Fish1_PondTime,7.84
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,730
Pond1Fish1_TimeLeft,423.61
Type,N
FishN,15
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,1.301
Pond1Fish2_PondTime,14.001
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,741
Pond1Fish2_TimeLeft,417.449
Type,N
FishN,15
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,1.463
Pond1Fish3_PondTime,20.406
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,752
Pond1Fish3_TimeLeft,411.044
Type,N
FishN,15
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,1.12
Pond1Fish4_PondTime,27.081
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,763
Pond1Fish4_TimeLeft,404.369
Type,N
FishN,15
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,1.109
Pond1Fish5_PondTime,34.092
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,774
Pond1Fish5_TimeLeft,397.358
Type,N
FishN,15
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,1.01
Pond1Fish6_PondTime,41.484
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,785
Pond1Fish6_TimeLeft,389.966
PondEnd_LastFish,6
FishN,18
Type,N
GiveUpTime,0.988
PondTime,41.675
TimeLeft,389.271
PondOutcome,66
TotalOutcome,785
PondStart,PondStart
PondIntroTime,18.521460604388267
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,1.217
Pond3Fish1_PondTime,8.923
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,795
Pond3Fish1_TimeLeft,361.21
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,1.424
Pond3Fish2_PondTime,16.347
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,805
Pond3Fish2_TimeLeft,353.787
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,1.262
Pond3Fish3_PondTime,24.203
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,815
Pond3Fish3_TimeLeft,345.931
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,1.187
Pond3Fish4_PondTime,32.592
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,825
Pond3Fish4_TimeLeft,337.542
PondEnd_LastFish,4
FishN,14
Type,RT
GiveUpTime,1.337
PondTime,33.316
TimeLeft,336.312
PondOutcome,40
TotalOutcome,825
PondStart,PondStart
PondIntroTime,18.76663772854954
Type,RD
FishN,14
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,1.467
Pond9Fish1_PondTime,9.772
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,837
