,5dca4e4e5e2a777494753fd3
Pond3Fish14_PondOutcome,140
Pond3Fish14_TotalOutcome,930
Pond3Fish14_TimeLeft,174.732
Type,RT
FishN,18
Fish,15
Pond3Fish15_FishType,purple
Pond3Fish15_FishLatency,12
Pond3Fish15_CatchTime,1.03
Pond3Fish15_PondTime,137.103
Pond3Fish15_PondOutcome,150
Pond3Fish15_TotalOutcome,940
Pond3Fish15_TimeLeft,157.367
Type,RT
FishN,18
Fish,16
Pond3Fish16_FishType,purple
Pond3Fish16_FishLatency,15
Pond3Fish16_CatchTime,0.824
Pond3Fish16_PondTime,162.775
Pond3Fish16_PondOutcome,160
Pond3Fish16_TotalOutcome,950
Pond3Fish16_TimeLeft,131.695
PondEnd_LastFish,16
FishN,19
Type,RT
GiveUpTime,34.466
PondTime,192.966
TimeLeft,101.002
PondOutcome,160
TotalOutcome,950
PondStart,PondStart
PondIntroTime,13.284213698934764
Type,RD
FishN,17
Fish,1
Pond5Fish1_FishType,gray
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,0.921
Pond5Fish1_PondTime,8.902
Pond5Fish1_PondOutcome,2
Pond5Fish1_TotalOutcome,952
Pond5Fish1_TimeLeft,78.186
Type,RD
FishN,17
Fish,2
Pond5Fish2_FishType,gray
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.137
Pond5Fish2_PondTime,16.27
Pond5Fish2_PondOutcome,4
Pond5Fish2_TotalOutcome,954
Pond5Fish2_TimeLeft,70.818
Type,RD
FishN,17
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.643
Pond5Fish3_PondTime,24.083
Pond5Fish3_PondOutcome,16
Pond5Fish3_TotalOutcome,966
Pond5Fish3_TimeLeft,63.005
Type,RD
FishN,17
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,0.951
Pond5Fish4_PondTime,32.448
Pond5Fish4_PondOutcome,28
Pond5Fish4_TotalOutcome,978
Pond5Fish4_TimeLeft,54.64
Type,RD
FishN,17
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.072
Pond5Fish5_PondTime,41.477
Pond5Fish5_PondOutcome,40
Pond5Fish5_TotalOutcome,990
Pond5Fish5_TimeLeft,45.611
Type,RD
FishN,17
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,1.083
Pond5Fish6_PondTime,51.341
Pond5Fish6_PondOutcome,52
Pond5Fish6_TotalOutcome,1002
Pond5Fish6_TimeLeft,35.747
Type,RD
FishN,17
Fish,7
Pond5Fish7_FishType,gray
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,0.902
Pond5Fish7_PondTime,62.281
Pond5Fish7_PondOutcome,54
Pond5Fish7_TotalOutcome,1004
Pond5Fish7_TimeLeft,24.807
Type,RD
FishN,17
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.56
Pond5Fish8_PondTime,74.64
Pond5Fish8_PondOutcome,66
Pond5Fish8_TotalOutcome,1016
Pond5Fish8_TimeLeft,12.448
