,59a734ce0c87a000017481ed
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,0.839
Pond7Fish7_PondTime,51.92
Pond7Fish7_PondOutcome,84
Pond7Fish7_TotalOutcome,270
Pond7Fish7_TimeLeft,923.911
Type,RD
FishN,12
Fish,8
Pond7Fish8_FishType,gray
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,1.209
Pond7Fish8_PondTime,61.215
Pond7Fish8_PondOutcome,86
Pond7Fish8_TotalOutcome,272
Pond7Fish8_TimeLeft,914.616
Type,RD
FishN,12
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,0.689
Pond7Fish9_PondTime,71.108
Pond7Fish9_PondOutcome,98
Pond7Fish9_TotalOutcome,284
Pond7Fish9_TimeLeft,904.722
Type,RD
FishN,12
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,0.968
Pond7Fish10_PondTime,82.352
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,296
Pond7Fish10_TimeLeft,893.479
Type,RD
FishN,12
Fish,11
Pond7Fish11_FishType,blue
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,1.016
Pond7Fish11_PondTime,94.818
Pond7Fish11_PondOutcome,122
Pond7Fish11_TotalOutcome,308
Pond7Fish11_TimeLeft,881.013
Type,RD
FishN,12
Fish,12
Pond7Fish12_FishType,gray
Pond7Fish12_FishLatency,10
Pond7Fish12_CatchTime,1.831
Pond7Fish12_PondTime,109.435
Pond7Fish12_PondOutcome,124
Pond7Fish12_TotalOutcome,310
Pond7Fish12_TimeLeft,866.396
PondEnd_LastFish,12
FishN,17
Type,RD
GiveUpTime,1.157
PondTime,110.489
TimeLeft,864.823
PondOutcome,124
TotalOutcome,310
PondStart,PondStart
PondIntroTime,16.930470222141594
Type,RT
FishN,15
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,0.798
Pond1Fish1_PondTime,8.586
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,320
Pond1Fish1_TimeLeft,838.674
Type,RT
FishN,15
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,1.067
Pond1Fish2_PondTime,15.282
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,330
Pond1Fish2_TimeLeft,831.978
Type,RT
FishN,15
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,1.048
Pond1Fish3_PondTime,22.339
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,340
Pond1Fish3_TimeLeft,824.922
Type,RT
FishN,15
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,1.029
Pond1Fish4_PondTime,29.746
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,350
Pond1Fish4_TimeLeft,817.515
Type,RT
FishN,15
Fish,5
Pond1Fish5_FishType,golden
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,0.743
Pond1Fish5_PondTime,37.72
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,370
Pond1Fish5_TimeLeft,809.541
Type,RT
FishN,15
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,0.967
Pond1Fish6_PondTime,46.142
Pond1Fish6_PondOutcome,70
Pond1Fish6_TotalOutcome,380
Pond1Fish6_TimeLeft,801.119
Type,RT
FishN,15
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,6
Pond1Fish7_CatchTime,1.095
Pond1Fish7_PondTime,55.221
Pond1Fish7_PondOutcome,80
Pond1Fish7_TotalOutcome,390
Pond1Fish7_TimeLeft,792.04
Type,RT
FishN,15
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,6.666666666666667
Pond1Fish8_CatchTime,0.812
Pond1Fish8_PondTime,65.108
Pond1Fish8_PondOutcome,90
Pond1Fish8_TotalOutcome,400
Pond1Fish8_TimeLeft,782.153
Type,RT
FishN,15
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,7.5
Pond1Fish9_CatchTime,0.838
Pond1Fish9_PondTime,76.088
Pond1Fish9_PondOutcome,100
Pond1Fish9_TotalOutcome,410
Pond1Fish9_TimeLeft,771.173
Type,RT
FishN,15
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,8.571428571428571
Pond1Fish10_CatchTime,0.772
Pond1Fish10_PondTime,88.506
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,420
Pond1Fish10_TimeLeft,758.755
Type,RT
FishN,15
Fish,11
Pond1Fish11_FishType,golden
Pond1Fish11_FishLatency,10
Pond1Fish11_CatchTime,0.815
Pond1Fish11_PondTime,102.905
Pond1Fish11_PondOutcome,130
Pond1Fish11_TotalOutcome,440
Pond1Fish11_TimeLeft,744.356
Type,RT
FishN,15
Fish,12
Pond1Fish12_FishType,purple
Pond1Fish12_FishLatency,12
Pond1Fish12_CatchTime,0.856
Pond1Fish12_PondTime,120.282
Pond1Fish12_PondOutcome,140
Pond1Fish12_TotalOutcome,450
Pond1Fish12_TimeLeft,726.979
Type,RT
FishN,15
Fish,13
Pond1Fish13_FishType,purple
Pond1Fish13_FishLatency,15
Pond1Fish13_CatchTime,0.911
Pond1Fish13_PondTime,142.676
Pond1Fish13_PondOutcome,150
Pond1Fish13_TotalOutcome,460
Pond1Fish13_TimeLeft,704.585
Type,RT
FishN,15
Fish,14
Pond1Fish14_FishType,purple
Pond1Fish14_FishLatency,20
Pond1Fish14_CatchTime,0.977
Pond1Fish14_PondTime,175.073
Pond1Fish14_PondOutcome,160
Pond1Fish14_TotalOutcome,470
Pond1Fish14_TimeLeft,672.188
PondEnd_LastFish,14
FishN,16
Type,RT
GiveUpTime,34.638
PondTime,208.897
TimeLeft,637.859
PondOutcome,160
TotalOutcome,470
PondStart,PondStart
PondIntroTime,19.827029809821397
Type,N
FishN,15
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,1.17
Pond12Fish1_PondTime,9.47
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,481
Pond12Fish1_TimeLeft,607.847
Type,N
FishN,15
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,1.196
Pond12Fish2_PondTime,17.347
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,492
Pond12Fish2_TimeLeft,599.97
Type,N
FishN,15
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,0.99
Pond12Fish3_PondTime,25.746
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,503
Pond12Fish3_TimeLeft,591.571
Type,N
FishN,15
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,1.078
Pond12Fish4_PondTime,34.817
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,514
Pond12Fish4_TimeLeft,582.5
Type,N
FishN,15
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,6.666666666666667
Pond12Fish5_CatchTime,1.08
Pond12Fish5_PondTime,44.728
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,525
Pond12Fish5_TimeLeft,572.589
Type,N
FishN,15
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,7.5
Pond12Fish6_CatchTime,0.947
Pond12Fish6_PondTime,55.693
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,536
Pond12Fish6_TimeLeft,561.624
Type,N
FishN,15
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,8.571428571428571
Pond12Fish7_CatchTime,1.122
Pond12Fish7_PondTime,68.256
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,547
Pond12Fish7_TimeLeft,549.061
Type,N
FishN,15
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,10
Pond12Fish8_CatchTime,1.046
Pond12Fish8_PondTime,82.65
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,558
Pond12Fish8_TimeLeft,534.667
Type,N
FishN,15
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,12
Pond12Fish9_CatchTime,1.14
Pond12Fish9_PondTime,100.033
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,569
Pond12Fish9_TimeLeft,517.284
Type,N
FishN,15
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,15
Pond12Fish10_CatchTime,0.828
Pond12Fish10_PondTime,122.446
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,580
Pond12Fish10_TimeLeft,494.871
PondEnd_LastFish,10
FishN,13
Type,N
GiveUpTime,25.316
PondTime,146.762
TimeLeft,470.046
PondOutcome,110
TotalOutcome,580
PondStart,PondStart
PondIntroTime,13.257498026359826
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.1578947368421053
Pond8Fish1_CatchTime,1.179
Pond8Fish1_PondTime,7.756
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,591
Pond8Fish1_TimeLeft,448.391
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.3333333333333335
Pond8Fish2_CatchTime,1.284
Pond8Fish2_PondTime,13.716
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,602
Pond8Fish2_TimeLeft,442.431
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,3.5294117647058822
Pond8Fish3_CatchTime,0.848
Pond8Fish3_PondTime,19.866
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,613
Pond8Fish3_TimeLeft,436.281
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,3.75
Pond8Fish4_CatchTime,1.218
Pond8Fish4_PondTime,26.248
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,624
Pond8Fish4_TimeLeft,429.899
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,4
Pond8Fish5_CatchTime,1.084
Pond8Fish5_PondTime,32.957
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,635
Pond8Fish5_TimeLeft,423.19
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,4.285714285714286
Pond8Fish6_CatchTime,1.167
Pond8Fish6_PondTime,39.935
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,646
Pond8Fish6_TimeLeft,416.212
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,4.615384615384615
Pond8Fish7_CatchTime,0.81
Pond8Fish7_PondTime,47.32
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,657
Pond8Fish7_TimeLeft,408.827
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,5
Pond8Fish8_CatchTime,1.099
Pond8Fish8_PondTime,55.227
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,668
Pond8Fish8_TimeLeft,400.919
Type,N
FishN,15
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,5.454545454545454
Pond8Fish9_CatchTime,1.124
Pond8Fish9_PondTime,63.639
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,679
Pond8Fish9_TimeLeft,392.508
Type,N
FishN,15
Fish,10
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,6
Pond8Fish10_CatchTime,1.141
Pond8Fish10_PondTime,72.681
Pond8Fish10_PondOutcome,110
