,5c9f36824563540012472fc5
Pond1Fish1_CatchTime,1.335
Pond1Fish1_PondTime,9
Pond1Fish1_PondOutcome,20
Pond1Fish1_TotalOutcome,570
Pond1Fish1_TimeLeft,520.899
Type,RT
FishN,15
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.75
Pond1Fish2_CatchTime,0.98
Pond1Fish2_PondTime,15.366
Pond1Fish2_PondOutcome,30
Pond1Fish2_TotalOutcome,580
Pond1Fish2_TimeLeft,514.533
Type,RT
FishN,15
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4
Pond1Fish3_CatchTime,0.876
Pond1Fish3_PondTime,22.017
Pond1Fish3_PondOutcome,40
Pond1Fish3_TotalOutcome,590
Pond1Fish3_TimeLeft,507.882
Type,RT
FishN,15
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4.285714285714286
Pond1Fish4_CatchTime,1.221
Pond1Fish4_PondTime,29.003
Pond1Fish4_PondOutcome,50
Pond1Fish4_TotalOutcome,600
Pond1Fish4_TimeLeft,500.896
Type,RT
FishN,15
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4.615384615384615
Pond1Fish5_CatchTime,0.752
Pond1Fish5_PondTime,36.368
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,610
Pond1Fish5_TimeLeft,493.531
Type,RT
FishN,15
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,5
Pond1Fish6_CatchTime,1.021
Pond1Fish6_PondTime,44.184
Pond1Fish6_PondOutcome,70
Pond1Fish6_TotalOutcome,620
Pond1Fish6_TimeLeft,485.715
PondEnd_LastFish,6
FishN,17
Type,RT
GiveUpTime,0.786
PondTime,52.436
TimeLeft,476.958
PondOutcome,70
TotalOutcome,620
PondStart,PondStart
PondIntroTime,18.19426291389391
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,1.247
Pond8Fish1_PondTime,8.301
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,631
Pond8Fish1_TimeLeft,449.845
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4
Pond8Fish2_CatchTime,1.024
Pond8Fish2_PondTime,14.95
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,642
Pond8Fish2_TimeLeft,443.196
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,4.285714285714286
Pond8Fish3_CatchTime,1.053
Pond8Fish3_PondTime,21.933
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,653
Pond8Fish3_TimeLeft,436.212
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4.615384615384615
Pond8Fish4_CatchTime,-1
Pond8Fish4_PondTime,29.368
Pond8Fish4_PondOutcome,33
Pond8Fish4_TotalOutcome,653
Pond8Fish4_TimeLeft,428.778
PondEnd_LastFish,4
FishN,16
Type,N
GiveUpTime,10.083
PondTime,31.282
TimeLeft,426.363
PondOutcome,33
TotalOutcome,653
PondStart,PondStart
PondIntroTime,18.922075764276087
Type,N
FishN,15
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.3333333333333335
Pond12Fish1_CatchTime,0.937
Pond12Fish1_PondTime,7.804
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,664
Pond12Fish1_TimeLeft,399.023
Type,N
FishN,15
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,3.5294117647058822
Pond12Fish2_CatchTime,0.579
Pond12Fish2_PondTime,13.917
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,675
Pond12Fish2_TimeLeft,392.91
Type,N
FishN,15
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,3.75
Pond12Fish3_CatchTime,0.598
Pond12Fish3_PondTime,20.287
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,686
Pond12Fish3_TimeLeft,386.54
Type,N
FishN,15
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,4
Pond12Fish4_CatchTime,0.769
Pond12Fish4_PondTime,26.933
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,697
Pond12Fish4_TimeLeft,379.894
Type,N
FishN,15
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,4.285714285714286
Pond12Fish5_CatchTime,0.992
Pond12Fish5_PondTime,33.918
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,708
Pond12Fish5_TimeLeft,372.909
Type,N
FishN,15
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,4.615384615384615
Pond12Fish6_CatchTime,1.125
Pond12Fish6_PondTime,41.284
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,719
Pond12Fish6_TimeLeft,365.543
Type,N
FishN,15
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,5
Pond12Fish7_CatchTime,1.155
Pond12Fish7_PondTime,49.1
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,730
Pond12Fish7_TimeLeft,357.726
Type,N
FishN,15
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,5.454545454545454
Pond12Fish8_CatchTime,0.988
Pond12Fish8_PondTime,57.467
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,741
Pond12Fish8_TimeLeft,349.36
PondEnd_LastFish,8
FishN,18
Type,N
GiveUpTime,0.815
PondTime,57.482
TimeLeft,348.836
PondOutcome,88
TotalOutcome,741
PondStart,PondStart
PondIntroTime,10.893240428995341
Type,RD
FishN,17
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,0.672
Pond6Fish1_PondTime,7.619
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,753
Pond6Fish1_TimeLeft,329.704
Type,RD
FishN,17
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,0.558
Pond6Fish2_PondTime,13.515
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,765
Pond6Fish2_TimeLeft,323.808
Type,RD
FishN,17
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,1.413
Pond6Fish3_PondTime,19.635
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,777
Pond6Fish3_TimeLeft,317.688
Type,RD
FishN,17
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,0.597
Pond6Fish4_PondTime,25.999
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,789
Pond6Fish4_TimeLeft,311.324
Type,RD
FishN,17
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,0.737
Pond6Fish5_PondTime,32.649
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,801
Pond6Fish5_TimeLeft,304.674
