,5d1666ea78167300018d39b7
Pond9Fish8_FishLatency,5.454545454545454
Pond9Fish8_CatchTime,0.97
Pond9Fish8_PondTime,57.606
Pond9Fish8_PondOutcome,90
Pond9Fish8_TotalOutcome,593
Pond9Fish8_TimeLeft,627.952
Type,RT
FishN,14
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,6
Pond9Fish9_CatchTime,1.702
Pond9Fish9_PondTime,66.634
Pond9Fish9_PondOutcome,100
Pond9Fish9_TotalOutcome,603
Pond9Fish9_TimeLeft,618.924
PondEnd_LastFish,9
FishN,18
Type,RT
GiveUpTime,0.436
PondTime,66.968
TimeLeft,618.088
PondOutcome,100
TotalOutcome,603
PondStart,PondStart
PondIntroTime,12.933996345382184
Type,RD
FishN,15
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,1.066
Pond1Fish1_PondTime,8.292
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,615
Pond1Fish1_TimeLeft,596.237
Type,RD
FishN,15
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,0.942
Pond1Fish2_PondTime,14.961
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,627
Pond1Fish2_TimeLeft,589.568
Type,RD
FishN,15
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,0.69
Pond1Fish3_PondTime,21.968
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,639
Pond1Fish3_TimeLeft,582.561
Type,RD
FishN,15
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,1.079
Pond1Fish4_PondTime,29.385
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,651
Pond1Fish4_TimeLeft,575.144
Type,RD
FishN,15
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,0.877
Pond1Fish5_PondTime,37.238
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,663
Pond1Fish5_TimeLeft,567.291
Type,RD
FishN,15
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,1.07
Pond1Fish6_PondTime,45.64
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,675
Pond1Fish6_TimeLeft,558.889
Type,RD
FishN,15
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,6
Pond1Fish7_CatchTime,1.045
Pond1Fish7_PondTime,54.715
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,687
Pond1Fish7_TimeLeft,549.814
Type,RD
FishN,15
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,6.666666666666667
Pond1Fish8_CatchTime,0.988
Pond1Fish8_PondTime,64.611
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,699
Pond1Fish8_TimeLeft,539.917
PondEnd_LastFish,8
FishN,16
Type,RD
GiveUpTime,0.357
PondTime,74.965
TimeLeft,529.054
PondOutcome,96
TotalOutcome,699
PondStart,PondStart
PondIntroTime,11.216533870901912
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,4.615384615384615
Pond6Fish1_CatchTime,-1
Pond6Fish1_PondTime,9.346
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,709
Pond6Fish1_TimeLeft,507.879
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,5
Pond6Fish2_CatchTime,0.977
Pond6Fish2_PondTime,17.183
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,719
Pond6Fish2_TimeLeft,500.043
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,5.454545454545454
Pond6Fish3_CatchTime,1.306
Pond6Fish3_PondTime,25.586
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,729
Pond6Fish3_TimeLeft,491.64
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,6
Pond6Fish4_CatchTime,1.779
Pond6Fish4_PondTime,34.716
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,739
Pond6Fish4_TimeLeft,482.51
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,6.666666666666667
Pond6Fish5_CatchTime,1.196
Pond6Fish5_PondTime,44.576
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,749
Pond6Fish5_TimeLeft,472.65
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,7.5
Pond6Fish6_CatchTime,0.597
Pond6Fish6_PondTime,55.534
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,759
Pond6Fish6_TimeLeft,461.692
PondEnd_LastFish,6
FishN,13
Type,RT
GiveUpTime,0.467
PondTime,67.566
TimeLeft,449.159
PondOutcome,60
TotalOutcome,759
PondStart,PondStart
PondIntroTime,15.44844574527815
Type,RT
FishN,15
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,3.5294117647058822
Pond12Fish1_CatchTime,0.966
Pond12Fish1_PondTime,8.04
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,769
Pond12Fish1_TimeLeft,425.053
Type,RT
FishN,15
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,3.75
Pond12Fish2_CatchTime,1.219
Pond12Fish2_PondTime,14.413
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,779
Pond12Fish2_TimeLeft,418.68
Type,RT
FishN,15
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,4
Pond12Fish3_CatchTime,0.969
Pond12Fish3_PondTime,21.067
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,789
Pond12Fish3_TimeLeft,412.026
Type,RT
FishN,15
Fish,4
Pond12Fish4_FishType,golden
Pond12Fish4_FishLatency,4.285714285714286
Pond12Fish4_CatchTime,1.066
Pond12Fish4_PondTime,28.091
Pond12Fish4_PondOutcome,50
Pond12Fish4_TotalOutcome,809
Pond12Fish4_TimeLeft,405.002
Type,RT
FishN,15
Fish,5
Pond12Fish5_FishType,golden
Pond12Fish5_FishLatency,4.615384615384615
Pond12Fish5_CatchTime,0.956
Pond12Fish5_PondTime,35.529
Pond12Fish5_PondOutcome,70
Pond12Fish5_TotalOutcome,829
Pond12Fish5_TimeLeft,397.564
Type,RT
FishN,15
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,5
Pond12Fish6_CatchTime,0.805
Pond12Fish6_PondTime,43.342
Pond12Fish6_PondOutcome,80
Pond12Fish6_TotalOutcome,839
Pond12Fish6_TimeLeft,389.751
Type,RT
FishN,15
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,5.454545454545454
Pond12Fish7_CatchTime,1.006
Pond12Fish7_PondTime,51.73
Pond12Fish7_PondOutcome,90
Pond12Fish7_TotalOutcome,849
Pond12Fish7_TimeLeft,381.363
Type,RT
FishN,15
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,6
Pond12Fish8_CatchTime,0.781
Pond12Fish8_PondTime,60.791
Pond12Fish8_PondOutcome,100
Pond12Fish8_TotalOutcome,859
Pond12Fish8_TimeLeft,372.302
PondEnd_LastFish,8
FishN,17
Type,RT
GiveUpTime,0.615
PondTime,70.535
TimeLeft,362.057
PondOutcome,100
TotalOutcome,859
PondStart,PondStart
PondIntroTime,13.99120325455442
Type,RD
FishN,18
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,4
Pond3Fish1_CatchTime,1.454
Pond3Fish1_PondTime,8.575
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,871
Pond3Fish1_TimeLeft,338.884
Type,RD
FishN,18
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4.285714285714286
Pond3Fish2_CatchTime,0.988
Pond3Fish2_PondTime,15.548
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,883
Pond3Fish2_TimeLeft,331.911
Type,RD
FishN,18
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4.615384615384615
Pond3Fish3_CatchTime,0.888
Pond3Fish3_PondTime,22.923
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,895
Pond3Fish3_TimeLeft,324.536
Type,RD
FishN,18
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,5
Pond3Fish4_CatchTime,1.199
Pond3Fish4_PondTime,30.759
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,907
Pond3Fish4_TimeLeft,316.7
Type,RD
FishN,18
Fish,5
Pond3Fish5_FishType,gray
Pond3Fish5_FishLatency,5.454545454545454
Pond3Fish5_CatchTime,0.86
Pond3Fish5_PondTime,39.139
Pond3Fish5_PondOutcome,50
