,5e242ec4c4edc46afd062d55
FishN,15
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,7.5
Pond1Fish8_CatchTime,1.469
Pond1Fish8_PondTime,68.934
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,88
Pond1Fish8_TimeLeft,1133.465
Type,N
FishN,15
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,8.571428571428571
Pond1Fish9_CatchTime,0.854
Pond1Fish9_PondTime,81.3
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,99
Pond1Fish9_TimeLeft,1121.099
Type,N
FishN,15
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,10
Pond1Fish10_CatchTime,0.983
Pond1Fish10_PondTime,95.668
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,110
Pond1Fish10_TimeLeft,1106.731
PondEnd_LastFish,10
FishN,15
Type,N
GiveUpTime,16.269
PondTime,111.135
TimeLeft,1090.76
PondOutcome,110
TotalOutcome,110
PondStart,PondStart
PondIntroTime,18.185449531301856
Type,N
FishN,14
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,0.904
Pond4Fish1_PondTime,9.266
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,121
Pond4Fish1_TimeLeft,1062.681
Type,N
FishN,14
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,1.103
Pond4Fish2_PondTime,17.082
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,132
Pond4Fish2_TimeLeft,1054.865
Type,N
FishN,14
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,0.871
Pond4Fish3_PondTime,25.45
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,143
Pond4Fish3_TimeLeft,1046.497
Type,N
FishN,14
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,0.759
Pond4Fish4_PondTime,34.483
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,154
Pond4Fish4_TimeLeft,1037.464
Type,N
FishN,14
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,0.903
Pond4Fish5_PondTime,44.35
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,165
Pond4Fish5_TimeLeft,1027.597
Type,N
FishN,14
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,0.935
Pond4Fish6_PondTime,55.284
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,176
Pond4Fish6_TimeLeft,1016.663
Type,N
FishN,14
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,8.571428571428571
Pond4Fish7_CatchTime,0.653
Pond4Fish7_PondTime,67.649
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,187
Pond4Fish7_TimeLeft,1004.298
PondEnd_LastFish,7
FishN,13
Type,N
GiveUpTime,0.835
PondTime,81.967
TimeLeft,989.478
PondOutcome,77
TotalOutcome,187
PondStart,PondStart
PondIntroTime,19.41300417529419
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,1.288
Pond3Fish1_PondTime,8.017
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,197
Pond3Fish1_TimeLeft,961.429
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,3.75
Pond3Fish2_CatchTime,1.602
Pond3Fish2_PondTime,14.382
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,207
Pond3Fish2_TimeLeft,955.064
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,golden
Pond3Fish3_FishLatency,4
Pond3Fish3_CatchTime,0.857
Pond3Fish3_PondTime,21.033
Pond3Fish3_PondOutcome,40
Pond3Fish3_TotalOutcome,227
Pond3Fish3_TimeLeft,948.413
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4.285714285714286
Pond3Fish4_CatchTime,0.633
Pond3Fish4_PondTime,28.018
Pond3Fish4_PondOutcome,50
Pond3Fish4_TotalOutcome,237
Pond3Fish4_TimeLeft,941.428
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,4.615384615384615
Pond3Fish5_CatchTime,0.626
Pond3Fish5_PondTime,35.383
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,247
Pond3Fish5_TimeLeft,934.063
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,5
Pond3Fish6_CatchTime,0.784
Pond3Fish6_PondTime,43.201
Pond3Fish6_PondOutcome,70
Pond3Fish6_TotalOutcome,257
Pond3Fish6_TimeLeft,926.245
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,5.454545454545454
Pond3Fish7_CatchTime,0.724
Pond3Fish7_PondTime,51.566
Pond3Fish7_PondOutcome,80
Pond3Fish7_TotalOutcome,267
Pond3Fish7_TimeLeft,917.88
PondEnd_LastFish,7
FishN,17
Type,RT
GiveUpTime,0.479
PondTime,60.029
TimeLeft,908.915
PondOutcome,80
TotalOutcome,267
PondEnd_LastFish,7
FishN,17
Type,RT
GiveUpTime,0.639
PondTime,60.189
TimeLeft,908.755
PondOutcome,80
TotalOutcome,267
PondStart,PondStart
PondIntroTime,16.902186456136405
PondStart,PondStart
PondIntroTime,16.902186456136405
Type,N
FishN,16
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,1.294
Pond10Fish2_PondTime,10.265
Pond10Fish2_PondOutcome,11
Pond10Fish2_TotalOutcome,278
Pond10Fish2_TimeLeft,881.129
Type,N
FishN,16
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,-1
Pond10Fish2_PondTime,10.265
Pond10Fish2_PondOutcome,11
Pond10Fish2_TotalOutcome,278
Pond10Fish2_TimeLeft,881.129
Type,N
FishN,16
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,0.868
Pond10Fish4_PondTime,20.132
Pond10Fish4_PondOutcome,22
Pond10Fish4_TotalOutcome,289
Pond10Fish4_TimeLeft,871.262
Type,N
FishN,16
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,-1
Pond10Fish4_PondTime,20.132
Pond10Fish4_PondOutcome,22
Pond10Fish4_TotalOutcome,289
Pond10Fish4_TimeLeft,871.262
Type,N
FishN,16
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,0.982
Pond10Fish6_PondTime,32.498
Pond10Fish6_PondOutcome,33
Pond10Fish6_TotalOutcome,300
Pond10Fish6_TimeLeft,858.896
Type,N
FishN,16
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,-1
Pond10Fish6_PondTime,32.498
Pond10Fish6_PondOutcome,33
Pond10Fish6_TotalOutcome,300
Pond10Fish6_TimeLeft,858.896
Type,N
FishN,16
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,12
Pond10Fish8_CatchTime,0.767
Pond10Fish8_PondTime,49.866
Pond10Fish8_PondOutcome,44
Pond10Fish8_TotalOutcome,311
Pond10Fish8_TimeLeft,841.528
Type,N
FishN,16
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,12
Pond10Fish8_CatchTime,-1
Pond10Fish8_PondTime,49.867
Pond10Fish8_PondOutcome,44
Pond10Fish8_TotalOutcome,311
Pond10Fish8_TimeLeft,841.527
PondEnd_LastFish,8
FishN,12
Type,N
GiveUpTime,2.549
PondTime,51.397
TimeLeft,839.495
PondOutcome,44
TotalOutcome,311
PondEnd_LastFish,8
FishN,12
Type,N
GiveUpTime,2.74
PondTime,51.588
TimeLeft,839.305
PondOutcome,44
TotalOutcome,311
PondStart,PondStart
PondIntroTime,19.853723959531635
PondStart,PondStart
PondIntroTime,19.853723959531635
Type,RD
FishN,17
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,0.618
Pond6Fish2_PondTime,7.833
Pond6Fish2_PondOutcome,12
Pond6Fish2_TotalOutcome,323
Pond6Fish2_TimeLeft,811.178
Type,RD
FishN,17
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,-1
Pond6Fish2_PondTime,7.834
Pond6Fish2_PondOutcome,12
Pond6Fish2_TotalOutcome,323
Pond6Fish2_TimeLeft,811.178
Type,RD
FishN,17
Fish,4
Pond6Fish4_FishType,gray
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,0.786
Pond6Fish4_PondTime,9.85
Pond6Fish4_PondOutcome,14
Pond6Fish4_TotalOutcome,325
Pond6Fish4_TimeLeft,809.162
Type,RD
FishN,17
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,1.141
Pond6Fish5_PondTime,14.201
Pond6Fish5_PondOutcome,26
Pond6Fish5_TotalOutcome,337
Pond6Fish5_TimeLeft,804.811
Type,RD
FishN,17
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,-1
Pond6Fish5_PondTime,14.201
Pond6Fish5_PondOutcome,26
Pond6Fish5_TotalOutcome,337
Pond6Fish5_TimeLeft,804.81
