,5d9cc7e8d81c510017447d62
Pond8Fish6_PondTime,49.008
Pond8Fish6_PondOutcome,62
Pond8Fish6_TotalOutcome,278
Pond8Fish6_TimeLeft,910.758
Type,RD
FishN,15
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,6.666666666666667
Pond8Fish7_CatchTime,0.885
Pond8Fish7_PondTime,58.872
Pond8Fish7_PondOutcome,74
Pond8Fish7_TotalOutcome,290
Pond8Fish7_TimeLeft,900.895
Type,RD
FishN,15
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,7.5
Pond8Fish8_CatchTime,0.991
Pond8Fish8_PondTime,69.823
Pond8Fish8_PondOutcome,86
Pond8Fish8_TotalOutcome,302
Pond8Fish8_TimeLeft,889.944
Type,RD
FishN,15
Fish,9
Pond8Fish9_FishType,gray
Pond8Fish9_FishLatency,8.571428571428571
Pond8Fish9_CatchTime,1.04
Pond8Fish9_PondTime,82.209
Pond8Fish9_PondOutcome,88
Pond8Fish9_TotalOutcome,304
Pond8Fish9_TimeLeft,877.558
Type,RD
FishN,15
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,10
Pond8Fish10_CatchTime,0.763
Pond8Fish10_PondTime,96.571
Pond8Fish10_PondOutcome,100
Pond8Fish10_TotalOutcome,316
Pond8Fish10_TimeLeft,863.195
Type,RD
FishN,15
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,12
Pond8Fish11_CatchTime,0.853
Pond8Fish11_PondTime,113.953
Pond8Fish11_PondOutcome,112
Pond8Fish11_TotalOutcome,328
Pond8Fish11_TimeLeft,845.813
PondEnd_LastFish,11
FishN,15
Type,RD
GiveUpTime,5.598
PondTime,118.613
TimeLeft,840.648
PondOutcome,112
TotalOutcome,328
PondStart,PondStart
PondIntroTime,17.966233871411532
Type,N
FishN,15
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,-1
Pond1Fish1_PondTime,7.932
Pond1Fish1_PondOutcome,0
Pond1Fish1_TotalOutcome,328
Pond1Fish1_TimeLeft,814.114
Type,N
FishN,15
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,0.757
Pond1Fish2_PondTime,14.062
Pond1Fish2_PondOutcome,11
Pond1Fish2_TotalOutcome,339
Pond1Fish2_TimeLeft,807.984
Type,N
FishN,15
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,1.097
Pond1Fish3_PondTime,20.445
Pond1Fish3_PondOutcome,22
Pond1Fish3_TotalOutcome,350
Pond1Fish3_TimeLeft,801.601
Type,N
FishN,15
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4
