,58752a4b2bd3c90001859e1d
Pond5Fish7_FishLatency,6
Pond5Fish7_CatchTime,2.011
Pond5Fish7_PondTime,54.524
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,281
Pond5Fish7_TimeLeft,911.225
Type,RT
FishN,17
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,6.666666666666667
Pond5Fish8_CatchTime,1.319
Pond5Fish8_PondTime,64.384
Pond5Fish8_PondOutcome,80
Pond5Fish8_TotalOutcome,291
Pond5Fish8_TimeLeft,901.365
Type,RT
FishN,17
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,7.5
Pond5Fish9_CatchTime,1.472
Pond5Fish9_PondTime,75.32
Pond5Fish9_PondOutcome,90
Pond5Fish9_TotalOutcome,301
Pond5Fish9_TimeLeft,890.429
Type,RT
FishN,17
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,8.571428571428571
Pond5Fish10_CatchTime,0.928
Pond5Fish10_PondTime,87.681
Pond5Fish10_PondOutcome,100
Pond5Fish10_TotalOutcome,311
Pond5Fish10_TimeLeft,878.068
Type,RT
FishN,17
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,10
Pond5Fish11_CatchTime,0.987
Pond5Fish11_PondTime,102.046
Pond5Fish11_PondOutcome,110
Pond5Fish11_TotalOutcome,321
Pond5Fish11_TimeLeft,863.703
Type,RT
FishN,17
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,12
Pond5Fish12_CatchTime,1.523
Pond5Fish12_PondTime,119.412
Pond5Fish12_PondOutcome,120
Pond5Fish12_TotalOutcome,331
Pond5Fish12_TimeLeft,846.337
Type,RT
FishN,17
Fish,13
Pond5Fish13_FishType,golden
Pond5Fish13_FishLatency,15
Pond5Fish13_CatchTime,1.073
Pond5Fish13_PondTime,141.815
Pond5Fish13_PondOutcome,140
Pond5Fish13_TotalOutcome,351
Pond5Fish13_TimeLeft,823.934
Type,RT
FishN,17
Fish,14
Pond5Fish14_FishType,purple
Pond5Fish14_FishLatency,20
Pond5Fish14_CatchTime,-1
Pond5Fish14_PondTime,174.245
Pond5Fish14_PondOutcome,140
Pond5Fish14_TotalOutcome,351
Pond5Fish14_TimeLeft,791.504
Type,RT
FishN,17
Fish,15
Pond5Fish15_FishType,purple
Pond5Fish15_FishLatency,30
Pond5Fish15_CatchTime,1.57
Pond5Fish15_PondTime,236.601
Pond5Fish15_PondOutcome,150
