,5dc1d03762ec50143144ac3f
Pond1Fish8_TimeLeft,219.322
Type,RD
FishN,15
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,10
Pond1Fish9_CatchTime,0.736
Pond1Fish9_PondTime,89.359
Pond1Fish9_PondOutcome,98
Pond1Fish9_TotalOutcome,913
Pond1Fish9_TimeLeft,204.91
Type,RD
FishN,15
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,12
Pond1Fish10_CatchTime,0.968
Pond1Fish10_PondTime,106.793
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,925
Pond1Fish10_TimeLeft,187.476
PondEnd_LastFish,10
FishN,14
Type,RD
GiveUpTime,0.568
PondTime,128.947
TimeLeft,164.819
PondOutcome,110
TotalOutcome,925
PondStart,PondStart
PondIntroTime,13.428603711072356
Type,N
FishN,14
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4.285714285714286
Pond9Fish1_CatchTime,1.149
Pond9Fish1_PondTime,8.94
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,936
Pond9Fish1_TimeLeft,141.795
Type,N
FishN,14
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4.615384615384615
Pond9Fish2_CatchTime,1.191
Pond9Fish2_PondTime,16.36
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,947
Pond9Fish2_TimeLeft,134.375
Type,N
FishN,14
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,5
Pond9Fish3_CatchTime,1.721
Pond9Fish3_PondTime,24.259
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,958
Pond9Fish3_TimeLeft,126.476
Type,N
FishN,14
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,5.454545454545454
Pond9Fish4_CatchTime,1.279
Pond9Fish4_PondTime,32.658
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,969
Pond9Fish4_TimeLeft,118.077
Type,N
FishN,14
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,6
Pond9Fish5_CatchTime,1.141
Pond9Fish5_PondTime,41.714
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,980
Pond9Fish5_TimeLeft,109.021
Type,N
FishN,14
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,6.666666666666667
Pond9Fish6_CatchTime,1.189
Pond9Fish6_PondTime,51.639
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,991
Pond9Fish6_TimeLeft,99.096
Type,N
FishN,14
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,7.5
Pond9Fish7_CatchTime,1.073
Pond9Fish7_PondTime,62.637
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,1002
Pond9Fish7_TimeLeft,88.098
Type,N
FishN,14
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,8.571428571428571
Pond9Fish8_CatchTime,1.022
Pond9Fish8_PondTime,75.038
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,1013
Pond9Fish8_TimeLeft,75.697
Type,N
FishN,14
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,10
Pond9Fish9_CatchTime,1.234
Pond9Fish9_PondTime,89.445
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,1024
Pond9Fish9_TimeLeft,61.29
PondEnd_LastFish,9
FishN,14
Type,N
GiveUpTime,0.586
PondTime,89.477
TimeLeft,60.756
PondOutcome,99
TotalOutcome,1024
PondStart,PondStart
PondIntroTime,17.886638292111456
Type,RD
FishN,17
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,0.904
Pond6Fish1_PondTime,8.603
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,1036
Pond6Fish1_TimeLeft,33.632
Type,RD
FishN,17
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,0.897
Pond6Fish2_PondTime,15.636
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,1048
Pond6Fish2_TimeLeft,26.599
Type,RD
FishN,17
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,4.615384615384615
Pond6Fish3_CatchTime,0.931
Pond6Fish3_PondTime,23.059
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,1060
Pond6Fish3_TimeLeft,19.176
Type,RD
FishN,17
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5
Pond6Fish4_CatchTime,0.961
Pond6Fish4_PondTime,30.917
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,1072
Pond6Fish4_TimeLeft,11.318
Type,RD
FishN,17
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,5.454545454545454
Pond6Fish5_CatchTime,0.876
Pond6Fish5_PondTime,39.334
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,1084
Pond6Fish5_TimeLeft,2.901
