,5d6e3252dfe6d10001dbe508
Pond7Fish9_TimeLeft,206.288
Pond7_Type,RT
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,0.502
Pond7Fish10_PondTime,100.806
Pond7Fish10_PondOutcome,120
Pond7Fish10_TotalOutcome,986
Pond7Fish10_TimeLeft,195.356
Pond7_Type,RT
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,0.593
Pond7Fish11_PondTime,113.173
Pond7Fish11_PondOutcome,130
Pond7Fish11_TotalOutcome,996
Pond7Fish11_TimeLeft,182.989
Pond7_GiveUpTime,0.464
Pond7_PondTime,127.352
Pond7_PondOutcome,130
Pond7_TotalOutcome,996
Pond7_TimeLeft,168.81
Pond1IntroTime,17.589190392754972
Pond1_Type,RT
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,1.117
Pond1Fish1_PondTime,26.471
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,1006
Pond1Fish1_TimeLeft,142.339
Pond1_Type,RT
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,0.684
Pond1Fish2_PondTime,33.123
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,1016
Pond1Fish2_TimeLeft,135.687
Pond1_Type,RT
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,1.259
Pond1Fish3_PondTime,40.105
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,1026
Pond1Fish3_TimeLeft,128.705
Pond1_Type,RT
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,0.417
Pond1Fish4_PondTime,47.471
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,1036
Pond1Fish4_TimeLeft,121.339
Pond1_Type,RT
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,1.025
Pond1Fish5_PondTime,55.289
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,1046
Pond1Fish5_TimeLeft,113.521
Pond1_Type,RT
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,0.697
Pond1Fish6_PondTime,63.654
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,1056
Pond1Fish6_TimeLeft,105.156
Pond1_Type,RT
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,6
Pond1Fish7_CatchTime,0.415
Pond1Fish7_PondTime,72.691
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,1066
Pond1Fish7_TimeLeft,96.119
Pond1_Type,RT
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,6.666666666666667
Pond1Fish8_CatchTime,0.777
Pond1Fish8_PondTime,82.554
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,1076
Pond1Fish8_TimeLeft,86.256
Pond1_GiveUpTime,0.654
Pond1_PondTime,93.656
Pond1_PondOutcome,80
Pond1_TotalOutcome,1076
Pond1_TimeLeft,75.154
Pond5IntroTime,19.86547873588279
Pond5_Type,RT
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,0.764
Pond5Fish1_PondTime,29.365
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,1086
Pond5Fish1_TimeLeft,45.789
Pond5_Type,RT
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,0.611
Pond5Fish2_PondTime,36.731
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,1096
Pond5Fish2_TimeLeft,38.423
Pond5_Type,RT
Pond5Fish3_FishType,golden
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,0.396
Pond5Fish3_PondTime,44.55
Pond5Fish3_PondOutcome,40
Pond5Fish3_TotalOutcome,1116
Pond5Fish3_TimeLeft,30.604
Pond5_Type,RT
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,0.596
Pond5Fish4_PondTime,52.916
Pond5Fish4_PondOutcome,50
Pond5Fish4_TotalOutcome,1126
Pond5Fish4_TimeLeft,22.237
Pond5_Type,RT
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,0.61
Pond5Fish5_PondTime,61.947
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,1136
Pond5Fish5_TimeLeft,13.207
Pond5_Type,RT
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,0.587
Pond5Fish6_PondTime,71.814
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,1146
Pond5Fish6_TimeLeft,3.34
