,5bdeeb372562330001b9799a
Pond3_Type,RT
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,6.666666666666667
Pond3Fish5_CatchTime,1.128
Pond3Fish5_PondTime,64.026
Pond3Fish5_PondOutcome,40
Pond3Fish5_TotalOutcome,306
Pond3Fish5_TimeLeft,876.925
Pond3_Type,RT
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,7.5
Pond3Fish6_CatchTime,0.817
Pond3Fish6_PondTime,75.023
Pond3Fish6_PondOutcome,50
Pond3Fish6_TotalOutcome,316
Pond3Fish6_TimeLeft,865.928
Pond3_Type,RT
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,8.571428571428571
Pond3Fish7_CatchTime,1.524
Pond3Fish7_PondTime,87.458
Pond3Fish7_PondOutcome,60
Pond3Fish7_TotalOutcome,326
Pond3Fish7_TimeLeft,853.493
Pond3_Type,RT
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,10
Pond3Fish8_CatchTime,0.951
Pond3Fish8_PondTime,101.881
Pond3Fish8_PondOutcome,70
Pond3Fish8_TotalOutcome,336
Pond3Fish8_TimeLeft,839.07
Pond3_Type,RT
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,12
Pond3Fish9_CatchTime,1.289
Pond3Fish9_PondTime,119.309
Pond3Fish9_PondOutcome,80
Pond3Fish9_TotalOutcome,346
Pond3Fish9_TimeLeft,821.642
Pond3_Type,RT
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,15
Pond3Fish10_CatchTime,1.001
Pond3Fish10_PondTime,141.707
Pond3Fish10_PondOutcome,90
Pond3Fish10_TotalOutcome,356
Pond3Fish10_TimeLeft,799.244
Pond3_GiveUpTime,1.882
Pond3_PondTime,143.199
Pond3_PondOutcome,90
Pond3_TotalOutcome,356
Pond3_TimeLeft,797.752
Pond10IntroTime,12.898969198577106
Pond10_Type,RT
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,1.399
Pond10Fish1_PondTime,23.302
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,366
Pond10Fish1_TimeLeft,774.45
Pond10_Type,RT
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,-1
Pond10Fish2_PondTime,31.782
Pond10Fish2_PondOutcome,10
Pond10Fish2_TotalOutcome,366
Pond10Fish2_TimeLeft,765.97
Pond10_Type,RT
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,0.999
Pond10Fish3_PondTime,40.884
Pond10Fish3_PondOutcome,20
Pond10Fish3_TotalOutcome,376
Pond10Fish3_TimeLeft,756.868
Pond10_Type,RT
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,1.223
Pond10Fish4_PondTime,50.822
Pond10Fish4_PondOutcome,30
Pond10Fish4_TotalOutcome,386
Pond10Fish4_TimeLeft,746.93
Pond10_Type,RT
Pond10Fish5_FishType,golden
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,0.907
Pond10Fish5_PondTime,61.81
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,406
Pond10Fish5_TimeLeft,735.941
Pond10_Type,RT
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,1.165
Pond10Fish6_PondTime,74.178
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,416
Pond10Fish6_TimeLeft,723.574
Pond10_Type,RT
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,1.037
Pond10Fish7_PondTime,88.583
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,426
Pond10Fish7_TimeLeft,709.169
Pond10_Type,RT
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,12
Pond10Fish8_CatchTime,1.138
Pond10Fish8_PondTime,106.025
