,5d39ec60061e950001f42dbd
Pond5Fish9_PondOutcome,70
Pond5Fish9_TotalOutcome,70
Pond5Fish9_TimeLeft,1112.754
Pond5_Type,RT
Pond5Fish10_FishType,golden
Pond5Fish10_FishLatency,12
Pond5Fish10_CatchTime,1.177
Pond5Fish10_PondTime,104.654
Pond5Fish10_PondOutcome,90
Pond5Fish10_TotalOutcome,90
Pond5Fish10_TimeLeft,1095.328
Pond5_Type,RT
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,15
Pond5Fish11_CatchTime,-1
Pond5Fish11_PondTime,127.123
Pond5Fish11_PondOutcome,90
Pond5Fish11_TotalOutcome,90
Pond5Fish11_TimeLeft,1072.859
Pond5_GiveUpTime,42.696
Pond5_PondTime,147.121
Pond5_PondOutcome,90
Pond5_TotalOutcome,90
Pond5_TimeLeft,1052.861
Pond1IntroTime,13.064874573610723
Pond1_Type,RT
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,1.229
Pond1Fish1_PondTime,22.004
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,100
Pond1Fish1_TimeLeft,1030.857
Pond1_Type,RT
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,1.331
Pond1Fish2_PondTime,28.722
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,110
Pond1Fish2_TimeLeft,1024.138
Pond1_Type,RT
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,1.004
Pond1Fish3_PondTime,35.867
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,120
Pond1Fish3_TimeLeft,1016.994
Pond1_Type,RT
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,1.492
Pond1Fish4_PondTime,43.303
Pond1Fish4_PondOutcome,40
Pond1Fish4_TotalOutcome,130
Pond1Fish4_TimeLeft,1009.558
Pond1_Type,RT
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,1.291
Pond1Fish5_PondTime,51.132
Pond1Fish5_PondOutcome,50
Pond1Fish5_TotalOutcome,140
Pond1Fish5_TimeLeft,1001.728
Pond1_Type,RT
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,1.376
Pond1Fish6_PondTime,59.582
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,150
Pond1Fish6_TimeLeft,993.279
Pond1_Type,RT
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,6
Pond1Fish7_CatchTime,1.614
Pond1Fish7_PondTime,68.674
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,160
Pond1Fish7_TimeLeft,984.187
Pond1_Type,RT
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,6.666666666666667
Pond1Fish8_CatchTime,1.336
Pond1Fish8_PondTime,78.59
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,170
Pond1Fish8_TimeLeft,974.271
Pond1_Type,RT
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,7.5
Pond1Fish9_CatchTime,1.366
Pond1Fish9_PondTime,89.577
Pond1Fish9_PondOutcome,90
Pond1Fish9_TotalOutcome,180
Pond1Fish9_TimeLeft,963.284
Pond1_Type,RT
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,8.571428571428571
Pond1Fish10_CatchTime,1.194
Pond1Fish10_PondTime,101.964
Pond1Fish10_PondOutcome,100
Pond1Fish10_TotalOutcome,190
Pond1Fish10_TimeLeft,950.897
Pond1_GiveUpTime,0.526
Pond1_PondTime,116.562
Pond1_PondOutcome,100
Pond1_TotalOutcome,190
Pond1_TimeLeft,936.299
Pond7IntroTime,14.81664998922497
Pond7_Type,RT
Pond7Fish1_FishType,golden
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.023
Pond7Fish1_PondTime,23.53
Pond7Fish1_PondOutcome,20
Pond7Fish1_TotalOutcome,210
Pond7Fish1_TimeLeft,912.769
Pond7_Type,RT
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.522
Pond7Fish2_PondTime,29.934
Pond7Fish2_PondOutcome,30
Pond7Fish2_TotalOutcome,220
Pond7Fish2_TimeLeft,906.364
Pond7_Type,RT
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,-1
Pond7Fish3_PondTime,36.681
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,220
Pond7Fish3_TimeLeft,899.618
Pond7_Type,RT
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,-1
Pond7Fish4_PondTime,43.731
Pond7Fish4_PondOutcome,30
Pond7Fish4_TotalOutcome,220
Pond7Fish4_TimeLeft,892.568
Pond7_Type,RT
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,-1
Pond7Fish5_PondTime,51.222
Pond7Fish5_PondOutcome,30
Pond7Fish5_TotalOutcome,220
Pond7Fish5_TimeLeft,885.077
