,5bf5e55ebf67dc00015a2b3f
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,1.405
Pond9Fish8_PondTime,80.371
Pond9Fish8_PondOutcome,86
Pond9Fish8_TotalOutcome,252
Pond9Fish8_TimeLeft,947.735
Pond9_Type,RD
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,1.836
Pond9Fish9_PondTime,92.868
Pond9Fish9_PondOutcome,98
Pond9Fish9_TotalOutcome,264
Pond9Fish9_TimeLeft,935.238
Pond9_GiveUpTime,0.986
Pond9_PondTime,94.152
Pond9_PondOutcome,98
Pond9_TotalOutcome,264
Pond9_TimeLeft,933.954
Pond11IntroTime,13.717847014777362
Pond11_Type,RT
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,1.232
Pond11Fish1_PondTime,22.638
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,274
Pond11Fish1_TimeLeft,911.316
Pond11_Type,RT
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,1.288
Pond11Fish2_PondTime,29.297
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,284
Pond11Fish2_TimeLeft,904.657
Pond11_Type,RT
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,0.976
Pond11Fish3_PondTime,36.274
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,294
Pond11Fish3_TimeLeft,897.68
Pond11_GiveUpTime,0.564
Pond11_PondTime,43.905
Pond11_PondOutcome,30
Pond11_TotalOutcome,294
Pond11_TimeLeft,890.049
Pond7IntroTime,14.234268530271947
Pond7_Type,RT
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,0.994
Pond7Fish1_PondTime,22.881
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,304
Pond7Fish1_TimeLeft,867.168
Pond7_Type,RT
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.23
Pond7Fish2_PondTime,29.252
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,314
Pond7Fish2_TimeLeft,860.797
Pond7_Type,RT
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.172
Pond7Fish3_PondTime,35.907
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,324
Pond7Fish3_TimeLeft,854.142
Pond7_Type,RT
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,0.713
Pond7Fish4_PondTime,42.882
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,334
Pond7Fish4_TimeLeft,847.167
Pond7_Type,RT
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,1.272
Pond7Fish5_PondTime,50.247
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,344
Pond7Fish5_TimeLeft,839.802
Pond7_Type,RT
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,1.102
Pond7Fish6_PondTime,58.062
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,354
Pond7Fish6_TimeLeft,831.987
Pond7_Type,RT
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,1.386
Pond7Fish7_PondTime,66.42
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,364
Pond7Fish7_TimeLeft,823.629
Pond7_Type,RT
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,1.301
Pond7Fish8_PondTime,75.446
Pond7Fish8_PondOutcome,80
Pond7Fish8_TotalOutcome,374
Pond7Fish8_TimeLeft,814.603
Pond7_Type,RT
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,1.281
Pond7Fish9_PondTime,85.306
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,384
Pond7Fish9_TimeLeft,804.743
Pond7_GiveUpTime,1.7
Pond7_PondTime,86.888
Pond7_PondOutcome,90
Pond7_TotalOutcome,384
Pond7_TimeLeft,803.161
Pond4IntroTime,11.164694000035524
Pond4_Type,RD
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.723
Pond4Fish1_PondTime,20.708
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,396
Pond4Fish1_TimeLeft,782.453
Pond4_Type,RD
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,0.948
Pond4Fish2_PondTime,28.065
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,408
Pond4Fish2_TimeLeft,775.096
Pond4_Type,RD
Pond4Fish3_FishType,gray
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,1.116
Pond4Fish3_PondTime,35.889
Pond4Fish3_PondOutcome,26
Pond4Fish3_TotalOutcome,410
Pond4Fish3_TimeLeft,767.272
Pond4_Type,RD
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,1.255
