,5c798168b5254b00019065f5
Pond4Fish8_CatchTime,-1
Pond4Fish8_PondTime,93.231
Pond4Fish8_PondOutcome,84
Pond4Fish8_TotalOutcome,976
Pond4Fish8_TimeLeft,190.221
Pond4_Type,RD
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,10
Pond4Fish9_CatchTime,0.759
Pond4Fish9_PondTime,107.59
Pond4Fish9_PondOutcome,96
Pond4Fish9_TotalOutcome,988
Pond4Fish9_TimeLeft,175.862
Pond4_GiveUpTime,0.571
Pond4_PondTime,124.777
Pond4_PondOutcome,96
Pond4_TotalOutcome,988
Pond4_TimeLeft,158.675
Pond1IntroTime,11.492985766381025
Pond1_Type,RT
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,0.759
Pond1Fish1_PondTime,20.401
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,998
Pond1Fish1_TimeLeft,138.274
Pond1_Type,RT
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,0.85
Pond1Fish2_PondTime,27.06
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,1008
Pond1Fish2_TimeLeft,131.615
Pond1_Type,RT
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,0.585
Pond1Fish3_PondTime,34.048
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,1018
Pond1Fish3_TimeLeft,124.627
Pond1_Type,RT
Pond1Fish4_FishType,golden
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,1.311
Pond1Fish4_PondTime,41.406
Pond1Fish4_PondOutcome,50
Pond1Fish4_TotalOutcome,1038
Pond1Fish4_TimeLeft,117.269
Pond1_Type,RT
Pond1Fish5_FishType,golden
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,0.455
Pond1Fish5_PondTime,49.23
Pond1Fish5_PondOutcome,70
Pond1Fish5_TotalOutcome,1058
Pond1Fish5_TimeLeft,109.445
Pond1_Type,RT
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,0.687
Pond1Fish6_PondTime,57.585
Pond1Fish6_PondOutcome,80
Pond1Fish6_TotalOutcome,1068
Pond1Fish6_TimeLeft,101.09
Pond1_Type,RT
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,6
Pond1Fish7_CatchTime,1.625
Pond1Fish7_PondTime,66.61
Pond1Fish7_PondOutcome,90
Pond1Fish7_TotalOutcome,1078
Pond1Fish7_TimeLeft,92.064
Pond1_Type,RT
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,6.666666666666667
Pond1Fish8_CatchTime,0.898
Pond1Fish8_PondTime,76.473
Pond1Fish8_PondOutcome,100
Pond1Fish8_TotalOutcome,1088
Pond1Fish8_TimeLeft,82.202
Pond1_Type,RT
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,7.5
Pond1Fish9_CatchTime,0.817
Pond1Fish9_PondTime,87.416
Pond1Fish9_PondOutcome,110
Pond1Fish9_TotalOutcome,1098
Pond1Fish9_TimeLeft,71.259
Pond1_Type,RT
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,8.571428571428571
Pond1Fish10_CatchTime,0.938
Pond1Fish10_PondTime,99.779
Pond1Fish10_PondOutcome,120
Pond1Fish10_TotalOutcome,1108
Pond1Fish10_TimeLeft,58.896
Pond1_Type,RT
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,10
Pond1Fish11_CatchTime,0.919
Pond1Fish11_PondTime,114.144
Pond1Fish11_PondOutcome,130
Pond1Fish11_TotalOutcome,1118
Pond1Fish11_TimeLeft,44.531
Pond1_GiveUpTime,0.613
Pond1_PondTime,131.357
Pond1_PondOutcome,130
Pond1_TotalOutcome,1118
Pond1_TimeLeft,27.317
Pond8IntroTime,13.218582402914762
Pond8_Type,RD
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,0.848
Pond8Fish1_PondTime,23.187
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,1130
Pond8Fish1_TimeLeft,4.13
