,5d6ed168d7d0900001831af8
Pond5_Type,RT
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,0.77
Pond5Fish6_PondTime,69.087
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,620
Pond5Fish6_TimeLeft,485.714
Pond5_Type,RT
Pond5Fish7_FishType,golden
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,0.659
Pond5Fish7_PondTime,80.021
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,640
Pond5Fish7_TimeLeft,474.78
Pond5_Type,RT
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.402
Pond5Fish8_PondTime,92.382
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,650
Pond5Fish8_TimeLeft,462.419
Pond5_Type,RT
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,0.926
Pond5Fish9_PondTime,106.746
Pond5Fish9_PondOutcome,100
Pond5Fish9_TotalOutcome,660
Pond5Fish9_TimeLeft,448.055
Pond5_Type,RT
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,12
Pond5Fish10_CatchTime,0.651
Pond5Fish10_PondTime,124.109
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,670
Pond5Fish10_TimeLeft,430.692
Pond5_GiveUpTime,0.288
Pond5_PondTime,146.286
Pond5_PondOutcome,110
Pond5_TotalOutcome,670
Pond5_TimeLeft,408.515
Pond12IntroTime,15.800916124135256
Pond12_Type,RD
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.5294117647058822
Pond12Fish1_CatchTime,0.769
Pond12Fish1_PondTime,24.433
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,682
Pond12Fish1_TimeLeft,384.081
Pond12_Type,RD
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,3.75
Pond12Fish2_CatchTime,0.911
Pond12Fish2_PondTime,30.794
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,694
Pond12Fish2_TimeLeft,377.721
Pond12_Type,RD
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4
Pond12Fish3_CatchTime,1.174
Pond12Fish3_PondTime,37.434
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,706
Pond12Fish3_TimeLeft,371.081
Pond12_Type,RD
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,4.285714285714286
Pond12Fish4_CatchTime,0.91
Pond12Fish4_PondTime,44.411
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,718
Pond12Fish4_TimeLeft,364.104
Pond12_Type,RD
