,5d433248638dca0015da9d7b
Pond8Fish8_TimeLeft,156.8
Pond8_Type,RD
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,12
Pond8Fish9_CatchTime,0.645
Pond8Fish9_PondTime,114.242
Pond8Fish9_PondOutcome,98
Pond8Fish9_TotalOutcome,838
Pond8Fish9_TimeLeft,139.432
Pond8_Type,RD
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,15
Pond8Fish10_CatchTime,0.791
Pond8Fish10_PondTime,136.607
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,850
Pond8Fish10_TimeLeft,117.067
Pond8_Type,RD
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,20
Pond8Fish11_CatchTime,0.911
Pond8Fish11_PondTime,168.971
Pond8Fish11_PondOutcome,122
Pond8Fish11_TotalOutcome,862
Pond8Fish11_TimeLeft,84.703
Pond8_GiveUpTime,39.773
Pond8_PondTime,208.256
Pond8_PondOutcome,122
Pond8_TotalOutcome,862
Pond8_TimeLeft,45.418
Pond7IntroTime,10.149747231043875
Pond7_Type,RT
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,0.771
Pond7Fish1_PondTime,18.809
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,872
Pond7Fish1_TimeLeft,26.609
Pond7_Type,RT
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,0.884
Pond7Fish2_PondTime,25.178
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,882
Pond7Fish2_TimeLeft,20.24
Pond7_Type,RT
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,0.823
Pond7Fish3_PondTime,31.826
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,892
Pond7Fish3_TimeLeft,13.592
Pond7_Type,RT
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,1.327
Pond7Fish4_PondTime,38.808
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,902
Pond7Fish4_TimeLeft,6.61
