,5dbba186a9e74e186663bd60
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,874
Pond11Fish3_TimeLeft,208.979
Pond11_Type,RT
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,1.06
Pond11Fish4_PondTime,43.863
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,884
Pond11Fish4_TimeLeft,201.601
Pond11_Type,RT
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,0.921
Pond11Fish5_PondTime,51.726
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,894
Pond11Fish5_TimeLeft,193.738
Pond11_Type,RT
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,0.874
Pond11Fish6_PondTime,60.15
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,904
Pond11Fish6_TimeLeft,185.314
Pond11_GiveUpTime,0.721
Pond11_PondTime,69.374
Pond11_PondOutcome,60
Pond11_TotalOutcome,904
Pond11_TimeLeft,176.09
Pond9IntroTime,13.15560388378799
Pond9_Type,RD
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,1.407
Pond9Fish1_PondTime,22.395
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,916
Pond9Fish1_TimeLeft,153.695
Pond9_Type,RD
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,0.697
Pond9Fish2_PondTime,29.404
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,928
Pond9Fish2_TimeLeft,146.686
Pond9_Type,RD
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,0.964
Pond9Fish3_PondTime,36.796
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,940
Pond9Fish3_TimeLeft,139.294
Pond9_Type,RD
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,0.822
Pond9Fish4_PondTime,44.652
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,952
Pond9Fish4_TimeLeft,131.438
Pond9_Type,RD
Pond9Fish5_FishType,blue
