,5d8911dd8dffca0016bf3b0b
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,0.915
Pond4Fish4_PondTime,51.609
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,964
Pond4Fish4_TimeLeft,150.954
Pond4_Type,RD
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,0.808
Pond4Fish5_PondTime,60.64
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,976
Pond4Fish5_TimeLeft,141.923
Pond4_Type,RD
Pond4Fish6_FishType,gray
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,1.006
Pond4Fish6_PondTime,70.505
Pond4Fish6_PondOutcome,62
Pond4Fish6_TotalOutcome,978
Pond4Fish6_TimeLeft,132.058
Pond4_Type,RD
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,1.03
Pond4Fish7_PondTime,81.44
Pond4Fish7_PondOutcome,74
Pond4Fish7_TotalOutcome,990
Pond4Fish7_TimeLeft,121.123
Pond4_Type,RD
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,8.571428571428571
Pond4Fish8_CatchTime,0.969
Pond4Fish8_PondTime,93.804
Pond4Fish8_PondOutcome,86
Pond4Fish8_TotalOutcome,1002
Pond4Fish8_TimeLeft,108.759
Pond4_Type,RD
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,10
Pond4Fish9_CatchTime,1.535
Pond4Fish9_PondTime,108.171
Pond4Fish9_PondOutcome,98
Pond4Fish9_TotalOutcome,1014
Pond4Fish9_TimeLeft,94.392
Pond4_GiveUpTime,0.696
Pond4_PondTime,125.995
Pond4_PondOutcome,98
Pond4_TotalOutcome,1014
Pond4_TimeLeft,76.568
Pond11IntroTime,13.27658453490585
Pond11_Type,RT
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,0.766
Pond11Fish1_PondTime,22.193
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,1024
Pond11Fish1_TimeLeft,54.375
Pond11_Type,RT
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,0.956
Pond11Fish2_PondTime,28.867
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,1034
Pond11Fish2_TimeLeft,47.701
Pond11_Type,RT
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,1.041
Pond11Fish3_PondTime,35.869
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,1044
Pond11Fish3_TimeLeft,40.698
Pond11_Type,RT
Pond11Fish4_FishType,golden
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,1.113
Pond11Fish4_PondTime,43.232
Pond11Fish4_PondOutcome,50
Pond11Fish4_TotalOutcome,1064
Pond11Fish4_TimeLeft,33.336
Pond11_Type,RT
Pond11Fish5_FishType,golden
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,0.853
Pond11Fish5_PondTime,51.05
Pond11Fish5_PondOutcome,70
Pond11Fish5_TotalOutcome,1084
Pond11Fish5_TimeLeft,25.518
Pond11_Type,RT
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,1.11
Pond11Fish6_PondTime,59.447
Pond11Fish6_PondOutcome,80
Pond11Fish6_TotalOutcome,1094
Pond11Fish6_TimeLeft,17.121
Pond11_Type,RT
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,6
Pond11Fish7_CatchTime,1.077
Pond11Fish7_PondTime,68.492
Pond11Fish7_PondOutcome,90
Pond11Fish7_TotalOutcome,1104
Pond11Fish7_TimeLeft,8.075
