,5d91ec6e24ba94001803a56a
Pond6Fish6_TimeLeft,988.495
Pond6_Type,RD
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,6.666666666666667
Pond6Fish7_CatchTime,0.743
Pond6Fish7_PondTime,69.869
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,269
Pond6Fish7_TimeLeft,978.623
Pond6_GiveUpTime,0.688
Pond6_PondTime,81.19
Pond6_PondOutcome,84
Pond6_TotalOutcome,269
Pond6_TimeLeft,967.302
Pond11IntroTime,18.976201482582837
Pond11_Type,N
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,1.01
Pond11Fish1_PondTime,29.355
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,280
Pond11Fish1_TimeLeft,937.947
Pond11_Type,N
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,0.976
Pond11Fish2_PondTime,37.733
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,291
Pond11Fish2_TimeLeft,929.569
Pond11_Type,N
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,0.732
Pond11Fish3_PondTime,46.803
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,302
Pond11Fish3_TimeLeft,920.498
Pond11_Type,N
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,0.99
Pond11Fish4_PondTime,56.678
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,313
Pond11Fish4_TimeLeft,910.624
Pond11_Type,N
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,1.292
Pond11Fish5_PondTime,67.629
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,324
Pond11Fish5_TimeLeft,899.673
Pond11_Type,N
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,8.571428571428571
Pond11Fish6_CatchTime,0.834
Pond11Fish6_PondTime,80.033
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,335
Pond11Fish6_TimeLeft,887.269
Pond11_Type,N
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,10
Pond11Fish7_CatchTime,1.07
Pond11Fish7_PondTime,94.406
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,346
Pond11Fish7_TimeLeft,872.896
Pond11_GiveUpTime,0.838
Pond11_PondTime,94.926
Pond11_PondOutcome,77
Pond11_TotalOutcome,346
Pond11_TimeLeft,872.376
Pond2IntroTime,17.5856662215665
Pond2_Type,N
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.3333333333333335
Pond2Fish1_CatchTime,0.874
Pond2Fish1_PondTime,26.053
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,357
Pond2Fish1_TimeLeft,846.322
Pond2_Type,N
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.5294117647058822
Pond2Fish2_CatchTime,1.06
Pond2Fish2_PondTime,32.189
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,368
Pond2Fish2_TimeLeft,840.186
Pond2_Type,N
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,3.75
Pond2Fish3_CatchTime,1.04
Pond2Fish3_PondTime,38.62
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,379
Pond2Fish3_TimeLeft,833.756
Pond2_Type,N
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,4
Pond2Fish4_CatchTime,0.979
Pond2Fish4_PondTime,45.314
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,390
Pond2Fish4_TimeLeft,827.062
Pond2_Type,N
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,4.285714285714286
Pond2Fish5_CatchTime,0.951
Pond2Fish5_PondTime,52.321
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,401
Pond2Fish5_TimeLeft,820.055
Pond2_Type,N
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,4.615384615384615
Pond2Fish6_CatchTime,0.967
Pond2Fish6_PondTime,59.695
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,412
Pond2Fish6_TimeLeft,812.681
Pond2_Type,N
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,5
Pond2Fish7_CatchTime,1.066
Pond2Fish7_PondTime,67.578
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,423
Pond2Fish7_TimeLeft,804.798
Pond2_Type,N
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,5.454545454545454
Pond2Fish8_CatchTime,1.016
Pond2Fish8_PondTime,75.961
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,434
Pond2Fish8_TimeLeft,796.415
Pond2_Type,N
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,6
Pond2Fish9_CatchTime,0.883
Pond2Fish9_PondTime,85.049
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,445
Pond2Fish9_TimeLeft,787.327
Pond2_Type,N
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,6.666666666666667
Pond2Fish10_CatchTime,1.019
Pond2Fish10_PondTime,94.941
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,456
Pond2Fish10_TimeLeft,777.435
Pond2_Type,N
Pond2Fish11_FishType,green
Pond2Fish11_FishLatency,7.5
Pond2Fish11_CatchTime,0.891
Pond2Fish11_PondTime,105.892
Pond2Fish11_PondOutcome,121
Pond2Fish11_TotalOutcome,467
Pond2Fish11_TimeLeft,766.484
Pond2_GiveUpTime,1.087
Pond2_PondTime,106.477
Pond2_PondOutcome,121
Pond2_TotalOutcome,467
Pond2_TimeLeft,765.899
Pond4IntroTime,13.145088832825422
Pond4_Type,RD
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,0.906
Pond4Fish1_PondTime,23.068
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,479
Pond4Fish1_TimeLeft,742.831
Pond4_Type,RD
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,0.926
Pond4Fish2_PondTime,30.948
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,491
Pond4Fish2_TimeLeft,734.95
Pond4_Type,RD
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,0.702
Pond4Fish3_PondTime,39.335
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,503
Pond4Fish3_TimeLeft,726.563
Pond4_Type,RD
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,1.055
Pond4Fish4_PondTime,48.392
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,515
Pond4Fish4_TimeLeft,717.507
Pond4_Type,RD
Pond4Fish5_FishType,gray
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,1.225
Pond4Fish5_PondTime,58.265
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,517
Pond4Fish5_TimeLeft,707.634
Pond4_Type,RD
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,0.84
Pond4Fish6_PondTime,69.227
Pond4Fish6_PondOutcome,62
Pond4Fish6_TotalOutcome,529
Pond4Fish6_TimeLeft,696.672
Pond4_Type,RD
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,8.571428571428571
Pond4Fish7_CatchTime,1.109
Pond4Fish7_PondTime,81.645
Pond4Fish7_PondOutcome,74
Pond4Fish7_TotalOutcome,541
Pond4Fish7_TimeLeft,684.254
Pond4_GiveUpTime,0.476
Pond4_PondTime,95.948
Pond4_PondOutcome,74
Pond4_TotalOutcome,541
Pond4_TimeLeft,669.951
Pond10IntroTime,10.971959123853594
Pond10_Type,N
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,0.918
Pond10Fish1_PondTime,19.659
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,552
Pond10Fish1_TimeLeft,650.292
Pond10_Type,N
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,0.843
Pond10Fish2_PondTime,26.069
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,563
Pond10Fish2_TimeLeft,643.882
Pond10_Type,N
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,0.789
Pond10Fish3_PondTime,32.768
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,574
Pond10Fish3_TimeLeft,637.183
Pond10_Type,N
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,0.794
Pond10Fish4_PondTime,39.787
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,585
Pond10Fish4_TimeLeft,630.164
Pond10_Type,N
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,0.897
Pond10Fish5_PondTime,47.172
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,596
Pond10Fish5_TimeLeft,622.779
Pond10_Type,N
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,0.901
Pond10Fish6_PondTime,55.034
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,607
Pond10Fish6_TimeLeft,614.917
Pond10_Type,N
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,5.454545454545454
Pond10Fish7_CatchTime,0.81
Pond10Fish7_PondTime,63.428
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,618
Pond10Fish7_TimeLeft,606.523
Pond10_Type,N
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,6
Pond10Fish8_CatchTime,0.904
Pond10Fish8_PondTime,72.473
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,629
Pond10Fish8_TimeLeft,597.478
Pond10_Type,N
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,6.666666666666667
Pond10Fish9_CatchTime,1.129
Pond10Fish9_PondTime,82.35
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,640
Pond10Fish9_TimeLeft,587.601
Pond10_Type,N
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,7.5
Pond10Fish10_CatchTime,0.929
Pond10Fish10_PondTime,93.324
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,651
Pond10Fish10_TimeLeft,576.627
Pond10_GiveUpTime,0.699
Pond10_PondTime,105.736
Pond10_PondOutcome,110
Pond10_TotalOutcome,651
Pond10_TimeLeft,564.215
Pond8IntroTime,10.102864380460232
Pond8_Type,N
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,0.965
Pond8Fish1_PondTime,19.635
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,662
Pond8Fish1_TimeLeft,544.58
Pond8_Type,N
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,1.155
Pond8Fish2_PondTime,27.026
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,673
Pond8Fish2_TimeLeft,537.189
Pond8_Type,N
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,0.808
Pond8Fish3_PondTime,34.888
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,684
Pond8Fish3_TimeLeft,529.327
Pond8_Type,N
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,1.198
Pond8Fish4_PondTime,43.268
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,695
Pond8Fish4_TimeLeft,520.947
Pond8_Type,N
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,0.81
Pond8Fish5_PondTime,52.342
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,706
Pond8Fish5_TimeLeft,511.873
Pond8_Type,N
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,0.706
Pond8Fish6_PondTime,62.229
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,717
Pond8Fish6_TimeLeft,501.985
Pond8_Type,N
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,7.5
Pond8Fish7_CatchTime,1.106
Pond8Fish7_PondTime,73.204
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,728
Pond8Fish7_TimeLeft,491.011
Pond8_GiveUpTime,0.692
Pond8_PondTime,85.833
Pond8_PondOutcome,77
Pond8_TotalOutcome,728
Pond8_TimeLeft,478.382
Pond12IntroTime,18.342229328118265
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,0.783
Pond12Fish1_PondTime,27.575
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,739
Pond12Fish1_TimeLeft,450.806
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,0.917
Pond12Fish2_PondTime,34.582
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,750
