,5dcdcc63d30a0e09b2a8349d
Pond7Fish12_FishType,green
Pond7Fish12_FishLatency,12
Pond7Fish12_CatchTime,1.76
Pond7Fish12_PondTime,138.955
Pond7Fish12_PondOutcome,132
Pond7Fish12_TotalOutcome,380
Pond7Fish12_TimeLeft,797.473
Pond7_GiveUpTime,0.814
Pond7_PondTime,140.068
Pond7_PondOutcome,132
Pond7_TotalOutcome,380
Pond7_TimeLeft,796.36
Pond11IntroTime,14.135612968821079
Pond11_Type,N
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,0.809
Pond11Fish1_PondTime,24.473
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,391
Pond11Fish1_TimeLeft,771.887
Pond11_Type,N
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,0.841
Pond11Fish2_PondTime,32.83
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,402
Pond11Fish2_TimeLeft,763.53
Pond11_Type,N
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,0.829
Pond11Fish3_PondTime,41.854
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,413
Pond11Fish3_TimeLeft,754.506
Pond11_Type,N
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,0.899
Pond11Fish4_PondTime,51.714
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,424
Pond11Fish4_TimeLeft,744.646
Pond11_Type,N
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,0.741
Pond11Fish5_PondTime,62.645
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,435
Pond11Fish5_TimeLeft,733.715
Pond11_Type,N
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,8.571428571428571
Pond11Fish6_CatchTime,0.711
Pond11Fish6_PondTime,75.006
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,446
Pond11Fish6_TimeLeft,721.354
Pond11_Type,N
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,10
Pond11Fish7_CatchTime,0.858
Pond11Fish7_PondTime,89.372
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,457
Pond11Fish7_TimeLeft,706.988
Pond11_GiveUpTime,0.702
Pond11_PondTime,106.712
Pond11_PondOutcome,77
Pond11_TotalOutcome,457
Pond11_TimeLeft,689.648
Pond6IntroTime,10.286331267561764
Pond6_Type,RD
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,1.284
Pond6Fish1_PondTime,19.467
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,469
Pond6Fish1_TimeLeft,670.181
Pond6_Type,RD
Pond6Fish2_FishType,gray
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,1.109
Pond6Fish2_PondTime,26.447
Pond6Fish2_PondOutcome,14
Pond6Fish2_TotalOutcome,471
Pond6Fish2_TimeLeft,663.201
Pond6_Type,RD
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,4.615384615384615
Pond6Fish3_CatchTime,0.699
Pond6Fish3_PondTime,33.806
Pond6Fish3_PondOutcome,26
Pond6Fish3_TotalOutcome,483
Pond6Fish3_TimeLeft,655.842
Pond6_Type,RD
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5
Pond6Fish4_CatchTime,0.768
Pond6Fish4_PondTime,41.619
Pond6Fish4_PondOutcome,38
Pond6Fish4_TotalOutcome,495
Pond6Fish4_TimeLeft,648.029
Pond6_Type,RD
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,5.454545454545454
Pond6Fish5_CatchTime,0.768
Pond6Fish5_PondTime,49.976
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,507
Pond6Fish5_TimeLeft,639.672
Pond6_Type,RD
