,5d945ad02d58dc00195ead79
Pond8Fish5_CatchTime,0.727
Pond8Fish5_PondTime,61.642
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,504
Pond8Fish5_TimeLeft,661.7
Pond8_Type,N
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,0.786
Pond8Fish6_PondTime,71.51
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,515
Pond8Fish6_TimeLeft,651.832
Pond8_Type,N
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,7.5
Pond8Fish7_CatchTime,0.843
Pond8Fish7_PondTime,82.444
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,526
Pond8Fish7_TimeLeft,640.898
Pond8_Type,N
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,8.571428571428571
Pond8Fish8_CatchTime,0.781
Pond8Fish8_PondTime,94.814
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,537
Pond8Fish8_TimeLeft,628.528
Pond8_Type,N
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,10
Pond8Fish9_CatchTime,0.944
Pond8Fish9_PondTime,109.179
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,548
Pond8Fish9_TimeLeft,614.163
Pond8_GiveUpTime,0.513
Pond8_PondTime,126.693
Pond8_PondOutcome,99
Pond8_TotalOutcome,548
Pond8_TimeLeft,596.649
Pond12IntroTime,18.984107193537056
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,0.741
Pond12Fish1_PondTime,28.157
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,559
Pond12Fish1_TimeLeft,568.492
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,0.79
Pond12Fish2_PondTime,35.124
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,570
Pond12Fish2_TimeLeft,561.525
Pond12_Type,N
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.768
Pond12Fish3_PondTime,42.492
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,581
Pond12Fish3_TimeLeft,554.157
Pond12_Type,N
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,0.761
Pond12Fish4_PondTime,50.309
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,592
Pond12Fish4_TimeLeft,546.34
Pond12_Type,N
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5.454545454545454
