,5a6ce4d3d5d4cb0001d667c8
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,1.31
Pond11Fish3_PondTime,46.048
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,417
Pond11Fish3_TimeLeft,771.715
Pond11_Type,N
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,0.837
Pond11Fish4_PondTime,55.946
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,428
Pond11Fish4_TimeLeft,761.818
Pond11_Type,N
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,1.254
Pond11Fish5_PondTime,66.903
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,439
Pond11Fish5_TimeLeft,750.861
Pond11_GiveUpTime,1.978
Pond11_PondTime,68.734
Pond11_PondOutcome,55
Pond11_TotalOutcome,439
Pond11_TimeLeft,749.03
Pond10IntroTime,10.101311497855932
Pond10_Type,N
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,0.894
Pond10Fish1_PondTime,18.77
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,450
Pond10Fish1_TimeLeft,730.26
Pond10_Type,N
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,-1
Pond10Fish2_PondTime,25.215
Pond10Fish2_PondOutcome,11
Pond10Fish2_TotalOutcome,450
Pond10Fish2_TimeLeft,723.815
Pond10_Type,N
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,1.468
Pond10Fish3_PondTime,31.866
Pond10Fish3_PondOutcome,22
Pond10Fish3_TotalOutcome,461
Pond10Fish3_TimeLeft,717.164
Pond10_Type,N
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,1.358
Pond10Fish4_PondTime,38.864
Pond10Fish4_PondOutcome,33
Pond10Fish4_TotalOutcome,472
Pond10Fish4_TimeLeft,710.166
Pond10_Type,N
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,1.108
Pond10Fish5_PondTime,46.243
Pond10Fish5_PondOutcome,44
Pond10Fish5_TotalOutcome,483
Pond10Fish5_TimeLeft,702.787
Pond10_Type,N
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,5
Pond10Fish6_CatchTime,1.088
Pond10Fish6_PondTime,54.096
Pond10Fish6_PondOutcome,55
Pond10Fish6_TotalOutcome,494
Pond10Fish6_TimeLeft,694.934
Pond10_GiveUpTime,0.985
Pond10_PondTime,54.777
Pond10_PondOutcome,55
Pond10_TotalOutcome,494
Pond10_TimeLeft,694.253
Pond5IntroTime,19.463182350154966
Pond5_Type,RT
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,1.007
Pond5Fish1_PondTime,27.695
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,504
Pond5Fish1_TimeLeft,666.558
Pond5_Type,RT
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,1.069
Pond5Fish2_PondTime,33.595
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,514
Pond5Fish2_TimeLeft,660.658
Pond5_Type,RT
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,1.024
Pond5Fish3_PondTime,39.725
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,524
Pond5Fish3_TimeLeft,654.527
Pond5_GiveUpTime,0.795
Pond5_PondTime,46.568
Pond5_PondOutcome,30
Pond5_TotalOutcome,524
Pond5_TimeLeft,647.685
Pond1IntroTime,13.604661924764514
Pond1_Type,RD
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,4.615384615384615
Pond1Fish1_CatchTime,0.794
Pond1Fish1_PondTime,23.5
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,536
Pond1Fish1_TimeLeft,624.185
Pond1_Type,RD
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,5
Pond1Fish2_CatchTime,-1
Pond1Fish2_PondTime,31.382
Pond1Fish2_PondOutcome,12
Pond1Fish2_TotalOutcome,536
Pond1Fish2_TimeLeft,616.303
Pond1_Type,RD
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,1.071
Pond1Fish3_PondTime,39.745
Pond1Fish3_PondOutcome,24
Pond1Fish3_TotalOutcome,548
Pond1Fish3_TimeLeft,607.94
Pond1_Type,RD
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,0.805
Pond1Fish4_PondTime,48.777
Pond1Fish4_PondOutcome,36
Pond1Fish4_TotalOutcome,560
Pond1Fish4_TimeLeft,598.908
Pond1_Type,RD
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,0.85
Pond1Fish5_PondTime,58.693
Pond1Fish5_PondOutcome,48
Pond1Fish5_TotalOutcome,572
Pond1Fish5_TimeLeft,588.992
Pond1_Type,RD
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,1.031
Pond1Fish6_PondTime,69.633
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,584
Pond1Fish6_TimeLeft,578.052
Pond1_Type,RD
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,1.02
Pond1Fish7_PondTime,82.004
Pond1Fish7_PondOutcome,72
Pond1Fish7_TotalOutcome,596
Pond1Fish7_TimeLeft,565.681
Pond1_GiveUpTime,3.067
Pond1_PondTime,84.7
Pond1_PondOutcome,72
Pond1_TotalOutcome,596
Pond1_TimeLeft,562.985
Pond8IntroTime,16.888104535173625
Pond8_Type,N
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,0.681
Pond8Fish1_PondTime,26.41
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,607
Pond8Fish1_TimeLeft,536.575
Pond8_Type,N
Pond8Fish2_FishType,green
