,5bf0d82b5823f30001538ff5
Pond9_TotalOutcome,220
Pond9_TimeLeft,1022.182
Pond3IntroTime,14.200376784428954
Pond3_Type,N
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,1.033
Pond3Fish1_PondTime,24.555
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,231
Pond3Fish1_TimeLeft,997.626
Pond3_Type,N
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,1.12
Pond3Fish2_PondTime,32.921
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,242
Pond3Fish2_TimeLeft,989.261
Pond3_Type,N
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,1.223
Pond3Fish3_PondTime,41.953
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,253
Pond3Fish3_TimeLeft,980.229
Pond3_Type,N
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,1.429
Pond3Fish4_PondTime,51.816
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,264
Pond3Fish4_TimeLeft,970.366
Pond3_Type,N
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,7.5
Pond3Fish5_CatchTime,1.045
Pond3Fish5_PondTime,62.75
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,275
Pond3Fish5_TimeLeft,959.432
Pond3_GiveUpTime,0.556
Pond3_PondTime,75.132
Pond3_PondOutcome,55
Pond3_TotalOutcome,275
Pond3_TimeLeft,947.05
Pond2IntroTime,12.624789013061672
Pond2_GiveUpTime,0.799
Pond2_PondTime,0.243
Pond2_PondOutcome,0
Pond2_TotalOutcome,275
Pond2_TimeLeft,946.806
Pond8IntroTime,18.65650514140725
Pond8_Type,N
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,1.862
Pond8Fish2_PondTime,22.047
Pond8Fish2_PondOutcome,11
Pond8Fish2_TotalOutcome,286
Pond8Fish2_TimeLeft,924.759
Pond8_Type,N
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,1.105
Pond8Fish3_PondTime,27.53
