,5c842b08146e370019e05eb9
Pond8Fish8_PondTime,92.844
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,997
Pond8Fish8_TimeLeft,76.252
Pond8_GiveUpTime,0.883
Pond8_PondTime,107.58
Pond8_PondOutcome,88
Pond8_TotalOutcome,997
Pond8_TimeLeft,61.516
Pond9IntroTime,19.295654308516532
Pond9_Type,N
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,0.659
Pond9Fish1_PondTime,27.981
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,1008
Pond9Fish1_TimeLeft,33.535
Pond9_Type,N
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,0.882
Pond9Fish2_PondTime,34.398
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,1019
Pond9Fish2_TimeLeft,27.118
Pond9_Type,N
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,0.726
Pond9Fish3_PondTime,41.056
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,1030
Pond9Fish3_TimeLeft,20.46
Pond9_Type,N
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,0.674
Pond9Fish4_PondTime,48.071
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,1041
Pond9Fish4_TimeLeft,13.445
Pond9_Type,N
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,0.747
Pond9Fish5_PondTime,55.461
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,1052
Pond9Fish5_TimeLeft,6.055
