,5c9e974dc00f5a0012f9884d
Pond9Fish7_CatchTime,0.823
Pond9Fish7_PondTime,70.59
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,383
Pond9Fish7_TimeLeft,843.321
Pond9_Type,N
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,1.046
Pond9Fish8_PondTime,79.621
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,394
Pond9Fish8_TimeLeft,834.29
Pond9_Type,N
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,6.666666666666667
Pond9Fish9_CatchTime,1.062
Pond9Fish9_PondTime,89.485
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,405
Pond9Fish9_TimeLeft,824.426
Pond9_Type,N
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,7.5
Pond9Fish10_CatchTime,1.046
Pond9Fish10_PondTime,100.412
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,416
Pond9Fish10_TimeLeft,813.499
Pond9_Type,N
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,8.571428571428571
Pond9Fish11_CatchTime,1.03
Pond9Fish11_PondTime,112.788
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,427
Pond9Fish11_TimeLeft,801.123
Pond9_GiveUpTime,1.362
Pond9_PondTime,113.777
Pond9_PondOutcome,121
Pond9_TotalOutcome,427
Pond9_TimeLeft,800.134
Pond5IntroTime,13.493755960371345
Pond5_Type,RT
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,1.192
Pond5Fish1_PondTime,21.71
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,437
Pond5Fish1_TimeLeft,778.424
Pond5_Type,RT
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,0.784
Pond5Fish2_PondTime,27.598
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,447
Pond5Fish2_TimeLeft,772.536
Pond5_Type,RT
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,0.893
Pond5Fish3_PondTime,33.704
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,457
Pond5Fish3_TimeLeft,766.43
Pond5_Type,RT
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,0.756
Pond5Fish4_PondTime,40.065
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,467
Pond5Fish4_TimeLeft,760.069
Pond5_Type,RT
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,0.873
Pond5Fish5_PondTime,46.708
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,477
Pond5Fish5_TimeLeft,753.426
Pond5_Type,RT
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,1.195
Pond5Fish6_PondTime,53.689
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,487
Pond5Fish6_TimeLeft,746.445
Pond5_Type,RT
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,0.798
Pond5Fish7_PondTime,61.06
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,497
Pond5Fish7_TimeLeft,739.074
Pond5_Type,RT
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,0.96
Pond5Fish8_PondTime,68.873
Pond5Fish8_PondOutcome,80
Pond5Fish8_TotalOutcome,507
Pond5Fish8_TimeLeft,731.261
Pond5_Type,RT
Pond5Fish9_FishType,golden
Pond5Fish9_FishLatency,5.454545454545454
Pond5Fish9_CatchTime,0.819
Pond5Fish9_PondTime,77.238
Pond5Fish9_PondOutcome,100
Pond5Fish9_TotalOutcome,527
Pond5Fish9_TimeLeft,722.896
Pond5_Type,RT
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,6
Pond5Fish10_CatchTime,1.044
Pond5Fish10_PondTime,86.268
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,537
Pond5Fish10_TimeLeft,713.866
Pond5_Type,RT
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,6.666666666666667
Pond5Fish11_CatchTime,0.982
Pond5Fish11_PondTime,96.13
Pond5Fish11_PondOutcome,120
Pond5Fish11_TotalOutcome,547
Pond5Fish11_TimeLeft,704.004
Pond5_Type,RT
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,7.5
Pond5Fish12_CatchTime,1.035
Pond5Fish12_PondTime,107.068
Pond5Fish12_PondOutcome,130
Pond5Fish12_TotalOutcome,557
Pond5Fish12_TimeLeft,693.066
Pond5_Type,RT
Pond5Fish13_FishType,purple
Pond5Fish13_FishLatency,8.571428571428571
Pond5Fish13_CatchTime,1.014
Pond5Fish13_PondTime,119.446
Pond5Fish13_PondOutcome,140
Pond5Fish13_TotalOutcome,567
Pond5Fish13_TimeLeft,680.688
Pond5_Type,RT
Pond5Fish14_FishType,golden
Pond5Fish14_FishLatency,10
Pond5Fish14_CatchTime,1.2
Pond5Fish14_PondTime,133.811
Pond5Fish14_PondOutcome,160
Pond5Fish14_TotalOutcome,587
Pond5Fish14_TimeLeft,666.323
Pond5_Type,RT
Pond5Fish15_FishType,purple
Pond5Fish15_FishLatency,12
Pond5Fish15_CatchTime,0.985
Pond5Fish15_PondTime,151.169
Pond5Fish15_PondOutcome,170
Pond5Fish15_TotalOutcome,597
Pond5Fish15_TimeLeft,648.965
Pond5_GiveUpTime,0.575
Pond5_PondTime,174.053
Pond5_PondOutcome,170
Pond5_TotalOutcome,597
Pond5_TimeLeft,626.081
Pond6IntroTime,13.58621786814183
Pond6_Type,RD
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,1.202
Pond6Fish1_PondTime,22.789
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,609
Pond6Fish1_TimeLeft,603.292
Pond6_Type,RD
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,1.455
Pond6Fish2_PondTime,29.767
Pond6Fish2_PondOutcome,24
