,5c670f321b9d0e000190a113
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,0.86
Pond1Fish5_PondTime,62.262
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,760
Pond1Fish5_TimeLeft,353.947
Pond1_Type,RD
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,0.799
Pond1Fish6_PondTime,73.235
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,772
Pond1Fish6_TimeLeft,342.974
Pond1_Type,RD
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,1.086
Pond1Fish7_PondTime,85.629
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,784
Pond1Fish7_TimeLeft,330.58
Pond1_Type,RD
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,10
Pond1Fish8_CatchTime,0.952
Pond1Fish8_PondTime,100.02
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,796
Pond1Fish8_TimeLeft,316.189
Pond1_GiveUpTime,9.019
Pond1_PondTime,108.582
Pond1_PondOutcome,96
Pond1_TotalOutcome,796
Pond1_TimeLeft,307.627
Pond8IntroTime,14.608537591993809
Pond8_Type,N
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,1.399
Pond8Fish1_PondTime,24.197
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,807
Pond8Fish1_TimeLeft,283.43
Pond8_Type,N
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,0.767
Pond8Fish2_PondTime,31.594
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,818
Pond8Fish2_TimeLeft,276.032
Pond8_Type,N
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,0.853
Pond8Fish3_PondTime,39.444
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,829
Pond8Fish3_TimeLeft,268.183
Pond8_Type,N
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,1.284
Pond8Fish4_PondTime,47.854
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,840
Pond8Fish4_TimeLeft,259.773
Pond8_Type,N
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,0.685
Pond8Fish5_PondTime,56.938
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,851
Pond8Fish5_TimeLeft,250.688
Pond8_Type,N
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,1.045
Pond8Fish6_PondTime,66.832
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,862
Pond8Fish6_TimeLeft,240.795
Pond8_Type,N
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,7.5
Pond8Fish7_CatchTime,1.4
Pond8Fish7_PondTime,77.788
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,873
Pond8Fish7_TimeLeft,229.839
Pond8_Type,N
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,8.571428571428571
Pond8Fish8_CatchTime,1.143
Pond8Fish8_PondTime,90.197
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,884
Pond8Fish8_TimeLeft,217.43
Pond8_GiveUpTime,11.422
Pond8_PondTime,101.348
Pond8_PondOutcome,88
Pond8_TotalOutcome,884
Pond8_TimeLeft,206.279
Pond4IntroTime,16.01272970205173
Pond4_Type,RD
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,1.083
Pond4Fish1_PondTime,26.006
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,896
Pond4Fish1_TimeLeft,180.272
Pond4_Type,RD
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,1.639
Pond4Fish2_PondTime,33.871
