,5c670f321b9d0e000190a113
Pond4Fish6_PondTime,72.217
Pond4Fish6_PondOutcome,62
Pond4Fish6_TotalOutcome,946
Pond4Fish6_TimeLeft,134.062
Pond4_Type,RD
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,8.571428571428571
Pond4Fish7_CatchTime,0.737
Pond4Fish7_PondTime,84.607
Pond4Fish7_PondOutcome,74
Pond4Fish7_TotalOutcome,958
Pond4Fish7_TimeLeft,121.672
Pond4_GiveUpTime,11.486
Pond4_PondTime,95.434
Pond4_PondOutcome,74
Pond4_TotalOutcome,958
Pond4_TimeLeft,110.845
Pond12IntroTime,12.00201106024906
Pond12_Type,N
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,1.203
Pond12Fish1_PondTime,21.245
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,969
Pond12Fish1_TimeLeft,89.6
Pond12_Type,N
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,0.924
Pond12Fish2_PondTime,28.271
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,980
Pond12Fish2_TimeLeft,82.574
Pond12_Type,N
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.884
Pond12Fish3_PondTime,35.682
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,991
Pond12Fish3_TimeLeft,75.163
Pond12_Type,N
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,0.873
Pond12Fish4_PondTime,43.549
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,1002
Pond12Fish4_TimeLeft,67.296
Pond12_Type,N
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.855
Pond12Fish5_PondTime,51.943
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,1013
Pond12Fish5_TimeLeft,58.902
Pond12_Type,N
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,0.876
Pond12Fish6_PondTime,60.999
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,1024
Pond12Fish6_TimeLeft,49.846
Pond12_Type,N
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,1.018
Pond12Fish7_PondTime,70.908
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,1035
Pond12Fish7_TimeLeft,39.937
Pond12_Type,N
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,0.852
Pond12Fish8_PondTime,81.879
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,1046
Pond12Fish8_TimeLeft,28.966
Pond12_Type,N
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,1.001
Pond12Fish9_PondTime,94.287
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,1057
Pond12Fish9_TimeLeft,16.558
Pond12_GiveUpTime,8.929
Pond12_PondTime,102.802
Pond12_PondOutcome,99
Pond12_TotalOutcome,1057
Pond12_TimeLeft,8.043
Pond10IntroTime,13.755224624183029
