,5bad8fc39c0cc900017a6a28
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,0.942
Pond5Fish1_PondTime,21.767
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,965
Pond5Fish1_TimeLeft,195.56
Pond5_Type,RT
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,0.808
Pond5Fish2_PondTime,27.667
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,975
Pond5Fish2_TimeLeft,189.66
Pond5_Type,RT
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,1.073
Pond5Fish3_PondTime,33.786
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,985
Pond5Fish3_TimeLeft,183.541
Pond5_Type,RT
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,1.079
Pond5Fish4_PondTime,40.153
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,995
Pond5Fish4_TimeLeft,177.174
Pond5_Type,RT
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,0.852
Pond5Fish5_PondTime,46.8
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,1005
Pond5Fish5_TimeLeft,170.527
Pond5_Type,RT
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,1.165
Pond5Fish6_PondTime,53.783
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,1015
Pond5Fish6_TimeLeft,163.544
Pond5_Type,RT
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,0.903
Pond5Fish7_PondTime,61.149
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,1025
Pond5Fish7_TimeLeft,156.178
Pond5_Type,RT
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,1.001
Pond5Fish8_PondTime,68.97
Pond5Fish8_PondOutcome,80
Pond5Fish8_TotalOutcome,1035
Pond5Fish8_TimeLeft,148.357
Pond5_Type,RT
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,5.454545454545454
Pond5Fish9_CatchTime,0.974
Pond5Fish9_PondTime,77.333
Pond5Fish9_PondOutcome,90
Pond5Fish9_TotalOutcome,1045
Pond5Fish9_TimeLeft,139.994
Pond5_Type,RT
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,6
Pond5Fish10_CatchTime,1.065
Pond5Fish10_PondTime,86.366
Pond5Fish10_PondOutcome,100
Pond5Fish10_TotalOutcome,1055
Pond5Fish10_TimeLeft,130.961
Pond5_Type,RT
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,6.666666666666667
Pond5Fish11_CatchTime,0.962
Pond5Fish11_PondTime,96.232
Pond5Fish11_PondOutcome,110
Pond5Fish11_TotalOutcome,1065
Pond5Fish11_TimeLeft,121.095
Pond5_Type,RT
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,7.5
Pond5Fish12_CatchTime,1.303
Pond5Fish12_PondTime,107.166
Pond5Fish12_PondOutcome,120
Pond5Fish12_TotalOutcome,1075
Pond5Fish12_TimeLeft,110.161
Pond5_Type,RT
Pond5Fish13_FishType,purple
Pond5Fish13_FishLatency,8.571428571428571
Pond5Fish13_CatchTime,0.9
Pond5Fish13_PondTime,119.532
Pond5Fish13_PondOutcome,130
Pond5Fish13_TotalOutcome,1085
Pond5Fish13_TimeLeft,97.795
Pond5_GiveUpTime,1.337
Pond5_PondTime,120.369
Pond5_PondOutcome,130
Pond5_TotalOutcome,1085
Pond5_TimeLeft,96.958
Pond8IntroTime,12.041910556145012
Pond8_Type,N
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,0.99
Pond8Fish1_PondTime,21.561
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,1096
Pond8Fish1_TimeLeft,75.397
Pond8_Type,N
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,0.895
Pond8Fish2_PondTime,28.929
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,1107
Pond8Fish2_TimeLeft,68.029
Pond8_Type,N
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,1.066
Pond8Fish3_PondTime,36.746
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,1118
Pond8Fish3_TimeLeft,60.212
Pond8_Type,N
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,0.746
Pond8Fish4_PondTime,45.112
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,1129
Pond8Fish4_TimeLeft,51.846
Pond8_Type,N
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,1.017
Pond8Fish5_PondTime,54.147
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,1140
Pond8Fish5_TimeLeft,42.811
Pond8_Type,N
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,0.952
Pond8Fish6_PondTime,64.012
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,1151
Pond8Fish6_TimeLeft,32.945
Pond8_Type,N
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,7.5
Pond8Fish7_CatchTime,1.106
Pond8Fish7_PondTime,74.946
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,1162
Pond8Fish7_TimeLeft,22.012
Pond8_Type,N
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,8.571428571428571
Pond8Fish8_CatchTime,1.105
Pond8Fish8_PondTime,87.315
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,1173
Pond8Fish8_TimeLeft,9.643
