,5b715fbd6d79f00001375b11
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,1.182
Pond3Fish3_PondTime,20.344
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,249
Pond3Fish3_TimeLeft,915.426
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,1.137
Pond3Fish4_PondTime,27.013
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,259
Pond3Fish4_TimeLeft,908.757
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,1.38
Pond3Fish5_PondTime,34.01
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,269
Pond3Fish5_TimeLeft,901.76
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,1.307
Pond3Fish6_PondTime,41.398
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,279
Pond3Fish6_TimeLeft,894.372
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,1.833
Pond3Fish7_PondTime,49.37
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,289
Pond3Fish7_TimeLeft,886.4
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,golden
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,1.183
Pond3Fish8_PondTime,57.752
Pond3Fish8_PondOutcome,90
Pond3Fish8_TotalOutcome,309
Pond3Fish8_TimeLeft,878.017
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,1.365
Pond3Fish9_PondTime,66.796
Pond3Fish9_PondOutcome,100
Pond3Fish9_TotalOutcome,319
Pond3Fish9_TimeLeft,868.974
Type,RT
FishN,18
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,6.666666666666667
Pond3Fish10_CatchTime,1.246
Pond3Fish10_PondTime,76.682
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,329
Pond3Fish10_TimeLeft,859.088
Type,RT
FishN,18
Fish,11
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,7.5
Pond3Fish11_CatchTime,1.387
Pond3Fish11_PondTime,87.619
Pond3Fish11_PondOutcome,120
Pond3Fish11_TotalOutcome,339
Pond3Fish11_TimeLeft,848.151
Type,RT
FishN,18
Fish,12
Pond3Fish12_FishType,purple
Pond3Fish12_FishLatency,8.571428571428571
Pond3Fish12_CatchTime,1.097
Pond3Fish12_PondTime,99.986
Pond3Fish12_PondOutcome,130
Pond3Fish12_TotalOutcome,349
Pond3Fish12_TimeLeft,835.784
Type,RT
FishN,18
Fish,13
Pond3Fish13_FishType,purple
Pond3Fish13_FishLatency,10
Pond3Fish13_CatchTime,1.638
Pond3Fish13_PondTime,114.359
Pond3Fish13_PondOutcome,140
Pond3Fish13_TotalOutcome,359
Pond3Fish13_TimeLeft,821.411
Type,RT
FishN,18
Fish,14
Pond3Fish14_FishType,purple
Pond3Fish14_FishLatency,12
Pond3Fish14_CatchTime,1.537
Pond3Fish14_PondTime,131.717
Pond3Fish14_PondOutcome,150
Pond3Fish14_TotalOutcome,369
Pond3Fish14_TimeLeft,804.052
Type,RT
FishN,18
Fish,15
Pond3Fish15_FishType,purple
Pond3Fish15_FishLatency,15
Pond3Fish15_CatchTime,1.694
Pond3Fish15_PondTime,154.108
Pond3Fish15_PondOutcome,160
Pond3Fish15_TotalOutcome,379
Pond3Fish15_TimeLeft,781.662
PondEnd_LastFish,15
FishN,18
Type,RT
GiveUpTime,1.012
PondTime,155.019
TimeLeft,780.247
PondOutcome,160
TotalOutcome,379
PondStart,PondStart
PondIntroTime,16.289822177495807
Type,N
FishN,15
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,1.16
Pond11Fish1_PondTime,9.73
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,390
Pond11Fish1_TimeLeft,753.558
Type,N
FishN,15
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,1.416
Pond11Fish2_PondTime,18.088
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,401
Pond11Fish2_TimeLeft,745.2
Type,N
FishN,15
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,1.652
Pond11Fish3_PondTime,27.13
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,412
Pond11Fish3_TimeLeft,736.158
Type,N
FishN,15
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,1.525
Pond11Fish4_PondTime,36.998
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,423
Pond11Fish4_TimeLeft,726.29
Type,N
FishN,15
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,1.304
Pond11Fish5_PondTime,47.954
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,434
Pond11Fish5_TimeLeft,715.333
Type,N
FishN,15
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,8.571428571428571
Pond11Fish6_CatchTime,-1
Pond11Fish6_PondTime,60.399
Pond11Fish6_PondOutcome,55
Pond11Fish6_TotalOutcome,434
Pond11Fish6_TimeLeft,702.888
Type,N
FishN,15
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,10
Pond11Fish7_CatchTime,0.991
Pond11Fish7_PondTime,74.784
Pond11Fish7_PondOutcome,66
Pond11Fish7_TotalOutcome,445
Pond11Fish7_TimeLeft,688.504
Type,N
FishN,15
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,12
Pond11Fish8_CatchTime,1.504
Pond11Fish8_PondTime,92.169
Pond11Fish8_PondOutcome,77
Pond11Fish8_TotalOutcome,456
Pond11Fish8_TimeLeft,671.119
Type,N
FishN,15
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,15
Pond11Fish9_CatchTime,0.982
Pond11Fish9_PondTime,114.55
Pond11Fish9_PondOutcome,88
Pond11Fish9_TotalOutcome,467
Pond11Fish9_TimeLeft,648.738
PondEnd_LastFish,9
FishN,12
Type,N
GiveUpTime,0.946
PondTime,114.685
TimeLeft,648.098
PondOutcome,88
TotalOutcome,467
PondStart,PondStart
PondIntroTime,16.6268656286411
Type,N
FishN,12
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,4
Pond7Fish1_CatchTime,1.395
Pond7Fish1_PondTime,8.568
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,478
Pond7Fish1_TimeLeft,622.283
Type,N
FishN,12
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4.285714285714286
Pond7Fish2_CatchTime,1.066
Pond7Fish2_PondTime,15.568
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,489
Pond7Fish2_TimeLeft,615.283
Type,N
FishN,12
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4.615384615384615
Pond7Fish3_CatchTime,1.698
Pond7Fish3_PondTime,22.95
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,500
Pond7Fish3_TimeLeft,607.901
Type,N
FishN,12
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,5
Pond7Fish4_CatchTime,1.478
Pond7Fish4_PondTime,30.781
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,511
Pond7Fish4_TimeLeft,600.07
Type,N
FishN,12
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,5.454545454545454
Pond7Fish5_CatchTime,1.17
Pond7Fish5_PondTime,39.147
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,522
Pond7Fish5_TimeLeft,591.704
Type,N
FishN,12
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,6
Pond7Fish6_CatchTime,1.459
Pond7Fish6_PondTime,48.192
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,533
Pond7Fish6_TimeLeft,582.659
Type,N
FishN,12
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,6.666666666666667
Pond7Fish7_CatchTime,1.294
Pond7Fish7_PondTime,58.078
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,544
Pond7Fish7_TimeLeft,572.773
Type,N
FishN,12
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,7.5
Pond7Fish8_CatchTime,1.731
Pond7Fish8_PondTime,69.072
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,555
Pond7Fish8_TimeLeft,561.779
Type,N
FishN,12
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,8.571428571428571
Pond7Fish9_CatchTime,1.586
Pond7Fish9_PondTime,81.451
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,566
Pond7Fish9_TimeLeft,549.4
Type,N
FishN,12
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,10
Pond7Fish10_CatchTime,1.672
Pond7Fish10_PondTime,95.83
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,577
Pond7Fish10_TimeLeft,535.021
Type,N
FishN,12
Fish,11
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,12
Pond7Fish11_CatchTime,1.329
Pond7Fish11_PondTime,113.222
Pond7Fish11_PondOutcome,121
Pond7Fish11_TotalOutcome,588
Pond7Fish11_TimeLeft,517.629
Type,N
FishN,12
Fish,12
Pond7Fish12_FishType,green
Pond7Fish12_FishLatency,15
Pond7Fish12_CatchTime,1.225
Pond7Fish12_PondTime,135.594
Pond7Fish12_PondOutcome,132
Pond7Fish12_TotalOutcome,599
Pond7Fish12_TimeLeft,495.256
Type,N
FishN,12
Fish,13
Pond7Fish13_FishType,green
Pond7Fish13_FishLatency,20
Pond7Fish13_CatchTime,1.131
Pond7Fish13_PondTime,167.967
Pond7Fish13_PondOutcome,143
Pond7Fish13_TotalOutcome,610
Pond7Fish13_TimeLeft,462.884
PondEnd_LastFish,13
FishN,15
Type,N
GiveUpTime,1.115
PondTime,168.411
TimeLeft,461.937
PondOutcome,143
TotalOutcome,610
PondStart,PondStart
PondIntroTime,10.836088540963829
Type,RD
FishN,12
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.304
Pond5Fish1_PondTime,8.89
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,622
Pond5Fish1_TimeLeft,441.59
Type,RD
FishN,12
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.342
Pond5Fish2_PondTime,16.278
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,634
Pond5Fish2_TimeLeft,434.202
Type,RD
FishN,12
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.446
Pond5Fish3_PondTime,24.113
