,5bb787e0d2279e0001d00e0b
Pond10Fish5_PondTime,32.897
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,390
Pond10Fish5_TimeLeft,871.197
Type,RT
FishN,14
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,4.285714285714286
Pond10Fish6_CatchTime,1.584
Pond10Fish6_PondTime,39.921
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,400
Pond10Fish6_TimeLeft,864.173
Type,RT
FishN,14
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,4.615384615384615
Pond10Fish7_CatchTime,1.234
Pond10Fish7_PondTime,47.296
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,410
Pond10Fish7_TimeLeft,856.797
Type,RT
FishN,14
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,5
Pond10Fish8_CatchTime,1.145
Pond10Fish8_PondTime,55.146
Pond10Fish8_PondOutcome,80
Pond10Fish8_TotalOutcome,420
Pond10Fish8_TimeLeft,848.947
Type,RT
FishN,14
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,5.454545454545454
Pond10Fish9_CatchTime,1.442
Pond10Fish9_PondTime,63.539
Pond10Fish9_PondOutcome,90
Pond10Fish9_TotalOutcome,430
Pond10Fish9_TimeLeft,840.555
Type,RT
FishN,14
Fish,10
Pond10Fish10_FishType,purple
Pond10Fish10_FishLatency,6
Pond10Fish10_CatchTime,1.445
Pond10Fish10_PondTime,72.582
Pond10Fish10_PondOutcome,100
Pond10Fish10_TotalOutcome,440
Pond10Fish10_TimeLeft,831.511
PondEnd_LastFish,10
FishN,19
Type,RT
GiveUpTime,1.246
PondTime,73.481
TimeLeft,830.11
PondOutcome,100
TotalOutcome,440
PondStart,PondStart
PondIntroTime,15.300107686780393
Type,RD
FishN,18
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,4
Pond3Fish1_CatchTime,1.008
Pond3Fish1_PondTime,8.631
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,452
Pond3Fish1_TimeLeft,805.555
Type,RD
FishN,18
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4.285714285714286
Pond3Fish2_CatchTime,1.264
Pond3Fish2_PondTime,15.651
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,464
Pond3Fish2_TimeLeft,798.536
Type,RD
FishN,18
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4.615384615384615
Pond3Fish3_CatchTime,1.298
Pond3Fish3_PondTime,23.084
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,476
Pond3Fish3_TimeLeft,791.104
Type,RD
FishN,18
Fish,4
Pond3Fish4_FishType,gray
Pond3Fish4_FishLatency,5
Pond3Fish4_CatchTime,1.502
Pond3Fish4_PondTime,30.935
Pond3Fish4_PondOutcome,38
Pond3Fish4_TotalOutcome,478
Pond3Fish4_TimeLeft,783.252
Type,RD
FishN,18
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,5.454545454545454
Pond3Fish5_CatchTime,1.234
Pond3Fish5_PondTime,39.383
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,490
Pond3Fish5_TimeLeft,774.805
Type,RD
FishN,18
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,6
Pond3Fish6_CatchTime,1.272
Pond3Fish6_PondTime,48.499
Pond3Fish6_PondOutcome,62
Pond3Fish6_TotalOutcome,502
Pond3Fish6_TimeLeft,765.689
Type,RD
FishN,18
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,6.666666666666667
Pond3Fish7_CatchTime,1.204
