,5d3a286034acef001ceb73ac
Pond12Fish13_TotalOutcome,275
Pond12Fish13_TimeLeft,964.058
Type,N
FishN,18
Fish,14
Pond12Fish14_FishType,green
Pond12Fish14_FishLatency,10
Pond12Fish14_CatchTime,0.972
Pond12Fish14_PondTime,119.777
Pond12Fish14_PondOutcome,154
Pond12Fish14_TotalOutcome,286
Pond12Fish14_TimeLeft,949.688
Type,N
FishN,18
Fish,15
Pond12Fish15_FishType,green
Pond12Fish15_FishLatency,12
Pond12Fish15_CatchTime,1.251
Pond12Fish15_PondTime,137.147
Pond12Fish15_PondOutcome,165
Pond12Fish15_TotalOutcome,297
Pond12Fish15_TimeLeft,932.318
Type,N
FishN,18
Fish,16
Pond12Fish16_FishType,green
Pond12Fish16_FishLatency,15
Pond12Fish16_CatchTime,1.651
Pond12Fish16_PondTime,159.516
Pond12Fish16_PondOutcome,176
Pond12Fish16_TotalOutcome,308
Pond12Fish16_TimeLeft,909.949
PondEnd_LastFish,16
FishN,19
Type,N
GiveUpTime,0.821
PondTime,160.197
TimeLeft,908.765
PondOutcome,176
TotalOutcome,308
PondStart,PondStart
PondIntroTime,15.443938586395234
Type,N
FishN,18
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4.285714285714286
Pond1Fish1_CatchTime,1.046
Pond1Fish1_PondTime,8.901
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,319
Pond1Fish1_TimeLeft,883.8
Type,N
FishN,18
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4.615384615384615
Pond1Fish2_CatchTime,1.247
Pond1Fish2_PondTime,16.269
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,330
Pond1Fish2_TimeLeft,876.432
Type,N
FishN,18
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,5
Pond1Fish3_CatchTime,0.961
Pond1Fish3_PondTime,24.086
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,341
Pond1Fish3_TimeLeft,868.615
Type,N
FishN,18
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,5.454545454545454
Pond1Fish4_CatchTime,0.897
Pond1Fish4_PondTime,32.455
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,352
Pond1Fish4_TimeLeft,860.246
Type,N
FishN,18
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,6
Pond1Fish5_CatchTime,-1
Pond1Fish5_PondTime,41.555
Pond1Fish5_PondOutcome,44
Pond1Fish5_TotalOutcome,352
Pond1Fish5_TimeLeft,851.146
Type,N
FishN,18
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,6.666666666666667
Pond1Fish6_CatchTime,-1
Pond1Fish6_PondTime,51.503
Pond1Fish6_PondOutcome,44
Pond1Fish6_TotalOutcome,352
Pond1Fish6_TimeLeft,841.198
Type,N
FishN,18
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,7.5
Pond1Fish7_CatchTime,0.814
Pond1Fish7_PondTime,62.441
Pond1Fish7_PondOutcome,55
Pond1Fish7_TotalOutcome,363
Pond1Fish7_TimeLeft,830.26
Type,N
FishN,18
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,8.571428571428571
Pond1Fish8_CatchTime,1.003
Pond1Fish8_PondTime,74.808
Pond1Fish8_PondOutcome,66
Pond1Fish8_TotalOutcome,374
Pond1Fish8_TimeLeft,817.893
Type,N
FishN,18
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,10
Pond1Fish9_CatchTime,1.505
Pond1Fish9_PondTime,89.172
Pond1Fish9_PondOutcome,77
Pond1Fish9_TotalOutcome,385
Pond1Fish9_TimeLeft,803.529
Type,N
FishN,18
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,12
Pond1Fish10_CatchTime,0.869
Pond1Fish10_PondTime,106.539
Pond1Fish10_PondOutcome,88
Pond1Fish10_TotalOutcome,396
Pond1Fish10_TimeLeft,786.162
Type,N
FishN,18
Fish,11
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,15
Pond1Fish11_CatchTime,1.306
Pond1Fish11_PondTime,128.911
Pond1Fish11_PondOutcome,99
Pond1Fish11_TotalOutcome,407
Pond1Fish11_TimeLeft,763.79
Type,N
FishN,18
Fish,12
Pond1Fish12_FishType,green
Pond1Fish12_FishLatency,20
Pond1Fish12_CatchTime,1.308
Pond1Fish12_PondTime,161.276
Pond1Fish12_PondOutcome,110
Pond1Fish12_TotalOutcome,418
Pond1Fish12_TimeLeft,731.425
PondEnd_LastFish,12
FishN,14
Type,N
GiveUpTime,59.25
PondTime,220.041
TimeLeft,672.155
PondOutcome,110
TotalOutcome,418
PondStart,PondStart
PondIntroTime,17.63295875163749
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,1.28
Pond3Fish1_PondTime,8.286
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,428
Pond3Fish1_TimeLeft,645.616
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,1.37
Pond3Fish2_PondTime,14.939
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,438
Pond3Fish2_TimeLeft,638.964
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,1.106
Pond3Fish3_PondTime,21.922
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,448
Pond3Fish3_TimeLeft,631.981
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,0.99
Pond3Fish4_PondTime,29.289
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,458
Pond3Fish4_TimeLeft,624.614
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,1.002
Pond3Fish5_PondTime,37.106
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,468
Pond3Fish5_TimeLeft,616.797
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,purple
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,1.159
Pond3Fish6_PondTime,45.472
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,478
Pond3Fish6_TimeLeft,608.431
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,1.179
Pond3Fish7_PondTime,54.506
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,488
Pond3Fish7_TimeLeft,599.397
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,6.666666666666667
Pond3Fish8_CatchTime,1.205
Pond3Fish8_PondTime,64.391
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,498
Pond3Fish8_TimeLeft,589.512
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,7.5
Pond3Fish9_CatchTime,1.404
Pond3Fish9_PondTime,75.34
Pond3Fish9_PondOutcome,90
Pond3Fish9_TotalOutcome,508
Pond3Fish9_TimeLeft,578.563
Type,RT
FishN,18
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,8.571428571428571
Pond3Fish10_CatchTime,-1
Pond3Fish10_PondTime,87.772
Pond3Fish10_PondOutcome,90
