,57c1ab62ffd38700010b4637
Pond8Fish8_CatchTime,1.42
Pond8Fish8_PondTime,54.886
Pond8Fish8_PondOutcome,96
Pond8Fish8_TotalOutcome,370
Pond8Fish8_TimeLeft,876.948
Type,RD
FishN,18
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,5.454545454545454
Pond8Fish9_CatchTime,1.177
Pond8Fish9_PondTime,63.253
Pond8Fish9_PondOutcome,108
Pond8Fish9_TotalOutcome,382
Pond8Fish9_TimeLeft,868.581
Type,RD
FishN,18
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,6
Pond8Fish10_CatchTime,1.027
Pond8Fish10_PondTime,72.301
Pond8Fish10_PondOutcome,120
Pond8Fish10_TotalOutcome,394
Pond8Fish10_TimeLeft,859.533
Type,RD
FishN,18
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,6.666666666666667
Pond8Fish11_CatchTime,1.159
Pond8Fish11_PondTime,82.185
Pond8Fish11_PondOutcome,132
Pond8Fish11_TotalOutcome,406
Pond8Fish11_TimeLeft,849.649
Type,RD
FishN,18
Fish,12
Pond8Fish12_FishType,gray
Pond8Fish12_FishLatency,7.5
Pond8Fish12_CatchTime,-1
Pond8Fish12_PondTime,93.198
Pond8Fish12_PondOutcome,132
Pond8Fish12_TotalOutcome,406
Pond8Fish12_TimeLeft,838.636
Type,RD
FishN,18
Fish,13
Pond8Fish13_FishType,blue
Pond8Fish13_FishLatency,8.571428571428571
Pond8Fish13_CatchTime,1.418
Pond8Fish13_PondTime,105.572
Pond8Fish13_PondOutcome,144
Pond8Fish13_TotalOutcome,418
Pond8Fish13_TimeLeft,826.262
Type,RD
FishN,18
Fish,14
Pond8Fish14_FishType,blue
Pond8Fish14_FishLatency,10
Pond8Fish14_CatchTime,1.456
Pond8Fish14_PondTime,119.954
Pond8Fish14_PondOutcome,156
Pond8Fish14_TotalOutcome,430
Pond8Fish14_TimeLeft,811.88
Type,RD
FishN,18
Fish,15
Pond8Fish15_FishType,blue
Pond8Fish15_FishLatency,12
Pond8Fish15_CatchTime,1.457
Pond8Fish15_PondTime,137.338
Pond8Fish15_PondOutcome,168
Pond8Fish15_TotalOutcome,442
Pond8Fish15_TimeLeft,794.496
PondEnd_LastFish,15
FishN,19
Type,RD
GiveUpTime,1.524
PondTime,138.521
TimeLeft,792.809
PondOutcome,168
TotalOutcome,442
PondStart,PondStart
PondIntroTime,14.28573971381411
Type,N
FishN,15
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,3.5294117647058822
Pond11Fish1_CatchTime,1.362
Pond11Fish1_PondTime,8.033
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,453
Pond11Fish1_TimeLeft,769.868
Type,N
FishN,15
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,3.75
Pond11Fish2_CatchTime,1.421
Pond11Fish2_PondTime,14.402
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,464
Pond11Fish2_TimeLeft,763.499
Type,N
FishN,15
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,4
Pond11Fish3_CatchTime,1.621
Pond11Fish3_PondTime,21.046
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,475
Pond11Fish3_TimeLeft,756.855
Type,N
FishN,15
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,4.285714285714286
Pond11Fish4_CatchTime,1.313
Pond11Fish4_PondTime,28.045
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,486
