,5d5b9a34a69ee6000143803d
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,1.013
Pond4Fish4_PondTime,34.568
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,294
Pond4Fish4_TimeLeft,726.669
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,0.943
Pond4Fish5_PondTime,44.458
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,305
Pond4Fish5_TimeLeft,716.779
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,7.5
Pond4Fish6_CatchTime,1.03
Pond4Fish6_PondTime,55.418
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,316
Pond4Fish6_TimeLeft,705.82
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,8.571428571428571
Pond4Fish7_CatchTime,1.042
Pond4Fish7_PondTime,67.809
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,327
Pond4Fish7_TimeLeft,693.429
Type,N
FishN,19
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,10
Pond4Fish8_CatchTime,0.841
Pond4Fish8_PondTime,82.201
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,338
Pond4Fish8_TimeLeft,679.037
Type,N
FishN,19
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,12
Pond4Fish9_CatchTime,1.087
Pond4Fish9_PondTime,99.58
Pond4Fish9_PondOutcome,99
Pond4Fish9_TotalOutcome,349
Pond4Fish9_TimeLeft,661.657
Type,N
FishN,19
Fish,10
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,15
Pond4Fish10_CatchTime,1.016
Pond4Fish10_PondTime,121.973
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,360
Pond4Fish10_TimeLeft,639.265
Type,N
FishN,19
Fish,11
Pond4Fish11_FishType,green
Pond4Fish11_FishLatency,20
Pond4Fish11_CatchTime,1.053
Pond4Fish11_PondTime,154.369
Pond4Fish11_PondOutcome,121
Pond4Fish11_TotalOutcome,371
Pond4Fish11_TimeLeft,606.868
PondEnd_LastFish,11
FishN,13
Type,N
GiveUpTime,4.736
PondTime,158.367
TimeLeft,602.365
PondOutcome,121
TotalOutcome,371
PondStart,PondStart
PondIntroTime,18.282471073325723
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,-1
Pond3Fish1_PondTime,8.34
Pond3Fish1_PondOutcome,0
Pond3Fish1_TotalOutcome,371
Pond3Fish1_TimeLeft,574.749
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,0.756
Pond3Fish2_PondTime,15.025
Pond3Fish2_PondOutcome,10
Pond3Fish2_TotalOutcome,381
Pond3Fish2_TimeLeft,568.064
Type,RT
FishN,18
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,1.509
Pond3Fish3_PondTime,22.028
Pond3Fish3_PondOutcome,20
Pond3Fish3_TotalOutcome,391
Pond3Fish3_TimeLeft,561.061
Type,RT
FishN,18
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,0.77
Pond3Fish4_PondTime,29.423
Pond3Fish4_PondOutcome,30
Pond3Fish4_TotalOutcome,401
Pond3Fish4_TimeLeft,553.666
Type,RT
FishN,18
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,1.371
Pond3Fish5_PondTime,37.27
Pond3Fish5_PondOutcome,40
Pond3Fish5_TotalOutcome,411
Pond3Fish5_TimeLeft,545.819
Type,RT
FishN,18
Fish,6
Pond3Fish6_FishType,golden
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,0.606
Pond3Fish6_PondTime,45.664
Pond3Fish6_PondOutcome,60
Pond3Fish6_TotalOutcome,431
Pond3Fish6_TimeLeft,537.425
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,0.819
Pond3Fish7_PondTime,54.719
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,441
Pond3Fish7_TimeLeft,528.37
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,6.666666666666667
Pond3Fish8_CatchTime,0.739
Pond3Fish8_PondTime,64.609
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,451
Pond3Fish8_TimeLeft,518.48
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,7.5
Pond3Fish9_CatchTime,0.892
Pond3Fish9_PondTime,75.576
Pond3Fish9_PondOutcome,90
Pond3Fish9_TotalOutcome,461
Pond3Fish9_TimeLeft,507.513
Type,RT
FishN,18
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,8.571428571428571
Pond3Fish10_CatchTime,0.833
Pond3Fish10_PondTime,87.97
Pond3Fish10_PondOutcome,100
Pond3Fish10_TotalOutcome,471
Pond3Fish10_TimeLeft,495.119
Type,RT
FishN,18
Fish,11
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,10
Pond3Fish11_CatchTime,0.821
Pond3Fish11_PondTime,102.353
Pond3Fish11_PondOutcome,110
Pond3Fish11_TotalOutcome,481
Pond3Fish11_TimeLeft,480.736
Type,RT
FishN,18
Fish,12
Pond3Fish12_FishType,purple
Pond3Fish12_FishLatency,12
Pond3Fish12_CatchTime,0.733
Pond3Fish12_PondTime,119.751
Pond3Fish12_PondOutcome,120
Pond3Fish12_TotalOutcome,491
Pond3Fish12_TimeLeft,463.338
Type,RT
FishN,18
Fish,13
Pond3Fish13_FishType,purple
Pond3Fish13_FishLatency,15
Pond3Fish13_CatchTime,0.915
Pond3Fish13_PondTime,142.14
Pond3Fish13_PondOutcome,130
Pond3Fish13_TotalOutcome,501
Pond3Fish13_TimeLeft,440.949
Type,RT
FishN,18
Fish,14
Pond3Fish14_FishType,purple
Pond3Fish14_FishLatency,20
Pond3Fish14_CatchTime,0.718
Pond3Fish14_PondTime,174.535
Pond3Fish14_PondOutcome,140
Pond3Fish14_TotalOutcome,511
Pond3Fish14_TimeLeft,408.554
PondEnd_LastFish,14
FishN,16
Type,RT
GiveUpTime,46.292
PondTime,219.754
TimeLeft,362.828
PondOutcome,140
TotalOutcome,511
PondStart,PondStart
PondIntroTime,18.465648388955742
Type,RT
FishN,15
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,-1
Pond6Fish1_PondTime,7.688
Pond6Fish1_PondOutcome,0
Pond6Fish1_TotalOutcome,511
Pond6Fish1_TimeLeft,336.036
Type,RT
FishN,15
Fish,2
Pond6Fish2_FishType,golden
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,0.894
Pond6Fish2_PondTime,13.614
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,531
Pond6Fish2_TimeLeft,330.109
Type,RT
FishN,15
Fish,3
Pond6Fish3_FishType,purple
