,5d418fed1cad4d00015e2d1b
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,8.571428571428571
Pond1Fish6_CatchTime,1.307
Pond1Fish6_PondTime,61.323
Pond1Fish6_PondOutcome,80
Pond1Fish6_TotalOutcome,687
Pond1Fish6_TimeLeft,428.447
Type,RT
FishN,18
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,10
Pond1Fish7_CatchTime,1.265
Pond1Fish7_PondTime,75.714
Pond1Fish7_PondOutcome,90
Pond1Fish7_TotalOutcome,697
Pond1Fish7_TimeLeft,414.056
Type,RT
FishN,18
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,12
Pond1Fish8_CatchTime,1.13
Pond1Fish8_PondTime,93.114
Pond1Fish8_PondOutcome,100
Pond1Fish8_TotalOutcome,707
Pond1Fish8_TimeLeft,396.655
Type,RT
FishN,18
Fish,9
Pond1Fish9_FishType,purple
Pond1Fish9_FishLatency,15
Pond1Fish9_CatchTime,1.561
Pond1Fish9_PondTime,115.511
Pond1Fish9_PondOutcome,110
Pond1Fish9_TotalOutcome,717
Pond1Fish9_TimeLeft,374.259
PondEnd_LastFish,9
FishN,12
Type,RT
GiveUpTime,2.005
PondTime,117.269
TimeLeft,371.997
PondOutcome,110
TotalOutcome,717
PondStart,PondStart
PondIntroTime,17.82015023054555
Type,RT
FishN,14
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,1.169
Pond10Fish1_PondTime,9.771
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,727
Pond10Fish1_TimeLeft,343.766
Type,RT
FishN,14
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,1.409
Pond10Fish2_PondTime,18.161
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,737
Pond10Fish2_TimeLeft,335.376
Type,RT
FishN,14
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,0.722
Pond10Fish3_PondTime,27.24
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,747
Pond10Fish3_TimeLeft,326.297
Type,RT
FishN,14
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,0.812
Pond10Fish4_PondTime,37.13
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,757
Pond10Fish4_TimeLeft,316.406
Type,RT
FishN,14
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,0.867
Pond10Fish5_PondTime,48.099
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,767
Pond10Fish5_TimeLeft,305.437
Type,RT
FishN,14
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,1.284
Pond10Fish6_PondTime,60.501
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,777
Pond10Fish6_TimeLeft,293.036
Type,RT
FishN,14
Fish,7
Pond10Fish7_FishType,purple
Pond10Fish7_FishLatency,10
Pond10Fish7_CatchTime,0.797
Pond10Fish7_PondTime,74.896
Pond10Fish7_PondOutcome,70
Pond10Fish7_TotalOutcome,787
Pond10Fish7_TimeLeft,278.64
Type,RT
FishN,14
Fish,8
Pond10Fish8_FishType,purple
Pond10Fish8_FishLatency,12
Pond10Fish8_CatchTime,1.07
Pond10Fish8_PondTime,93.267
Pond10Fish8_PondOutcome,80
Pond10Fish8_TotalOutcome,797
Pond10Fish8_TimeLeft,260.27
PondEnd_LastFish,8
FishN,12
Type,RT
GiveUpTime,1.2
PondTime,93.734
TimeLeft,259.288
PondOutcome,80
TotalOutcome,797
PondStart,PondStart
PondIntroTime,19.72785389982164
Type,RD
FishN,15
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,4
Pond6Fish1_CatchTime,0.725
Pond6Fish1_PondTime,8.609
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,809
Pond6Fish1_TimeLeft,230.325
Type,RD
FishN,15
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,4.285714285714286
Pond6Fish2_CatchTime,1.062
Pond6Fish2_PondTime,15.617
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,821
Pond6Fish2_TimeLeft,223.317
Type,RD
FishN,15
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,4.615384615384615
Pond6Fish3_CatchTime,1.402
Pond6Fish3_PondTime,23.93
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,833
Pond6Fish3_TimeLeft,215.004
Type,RD
FishN,15
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,5
Pond6Fish4_CatchTime,1.107
Pond6Fish4_PondTime,31.805
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,845
Pond6Fish4_TimeLeft,207.128
Type,RD
FishN,15
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,5.454545454545454
Pond6Fish5_CatchTime,0.709
Pond6Fish5_PondTime,40.196
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,857
Pond6Fish5_TimeLeft,198.738
Type,RD
FishN,15
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,6
Pond6Fish6_CatchTime,0.736
Pond6Fish6_PondTime,49.268
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,869
Pond6Fish6_TimeLeft,189.666
Type,RD
FishN,15
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,6.666666666666667
Pond6Fish7_CatchTime,1.187
Pond6Fish7_PondTime,59.154
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,881
Pond6Fish7_TimeLeft,179.78
Type,RD
FishN,15
Fish,8
Pond6Fish8_FishType,gray
Pond6Fish8_FishLatency,7.5
Pond6Fish8_CatchTime,0.843
Pond6Fish8_PondTime,70.086
Pond6Fish8_PondOutcome,86
Pond6Fish8_TotalOutcome,883
Pond6Fish8_TimeLeft,168.848
Type,RD
FishN,15
